ar;val;niva;parti_kalla;parti;roster;andel;giltiga;rostande;rostberattigade
2002;kf;ej_raknade_i_vallokal-Göteborg 1;ND;ND;1;;447;469;
2002;kf;ej_raknade_i_vallokal-Göteborg 1;SFV;SFV;3;;447;469;
2002;kf;ej_raknade_i_vallokal-Göteborg 1;ÖVR;ÖVR;3;;447;469;
2002;kf;ej_raknade_i_vallokal-Göteborg 2;AFF;AFF;1;;495;512;
2002;kf;ej_raknade_i_vallokal-Göteborg 2;SFV;SFV;3;;495;512;
2002;kf;ej_raknade_i_vallokal-Göteborg 2;SOC.P;SOC.P;1;;495;512;
2002;kf;ej_raknade_i_vallokal-Göteborg 2;ÖVR;ÖVR;2;;495;512;
2002;kf;ej_raknade_i_vallokal-Göteborg 3;AFF;AFF;1;;953;992;
2002;kf;ej_raknade_i_vallokal-Göteborg 3;PPG;PPG;2;;953;992;
2002;kf;ej_raknade_i_vallokal-Göteborg 3;SFV;SFV;2;;953;992;
2002;kf;ej_raknade_i_vallokal-Göteborg 3;SOC.P;SOC.P;1;;953;992;
2002;kf;ej_raknade_i_vallokal-Göteborg 3;ÖVR;ÖVR;1;;953;992;
2002;kf;ej_raknade_i_vallokal-Göteborg 4;SFV;SFV;3;;698;708;
2002;kf;ej_raknade_i_vallokal-Göteborg 4;SOC.P;SOC.P;4;;698;708;
2002;kf;ej_raknade_i_vallokal-Göteborg 4;ÖVR;ÖVR;3;;698;708;
2002;kf;riket;0020;0020;11;;5313271;5410101;
2002;kf;riket;0095;0095;29;;5313271;5410101;
2002;kf;riket;0215;0215;230;;5313271;5410101;
2002;kf;riket;0247;0247;486;;5313271;5410101;
2002;kf;riket;0294;0294;250;;5313271;5410101;
2002;kf;riket;0329;0329;34;;5313271;5410101;
2002;kf;riket;0333;0333;46;;5313271;5410101;
2002;kf;riket;0339;0339;111;;5313271;5410101;
2002;kf;riket;0350;0350;16;;5313271;5410101;
2002;kf;riket;0354;0354;64;;5313271;5410101;
2002;kf;riket;0358;0358;24;;5313271;5410101;
2002;kf;riket;0365;0365;1;;5313271;5410101;
2002;kf;riket;0366;0366;18;;5313271;5410101;
2002;kf;riket;0370;0370;4;;5313271;5410101;
2002;kf;riket;0383;0383;1;;5313271;5410101;
2002;kf;riket;0384;0384;1;;5313271;5410101;
2002;kf;riket;0400;0400;2;;5313271;5410101;
2002;kf;riket;0402;0402;1;;5313271;5410101;
2002;kf;riket;0406;0406;10;;5313271;5410101;
2002;kf;riket;0413;0413;5;;5313271;5410101;
2002;kf;riket;0415;0415;46;;5313271;5410101;
2002;kf;riket;0425;0425;176;;5313271;5410101;
2002;kf;riket;A2000;A2000;1969;;5313271;5410101;
2002;kf;riket;ADK;ADK;1578;;5313271;5410101;
2002;kf;riket;AFD;AFD;157;;5313271;5410101;
2002;kf;riket;AFF;AFF;215;;5313271;5410101;
2002;kf;riket;AILAP;AILAP;1308;;5313271;5410101;
2002;kf;riket;AL;AL;205;;5313271;5410101;
2002;kf;riket;ALP;ALP;494;;5313271;5410101;
2002;kf;riket;ALT;ALT;1802;;5313271;5410101;
2002;kf;riket;ALT Ä;ALT Ä;37;;5313271;5410101;
2002;kf;riket;ALV;ALV;1483;;5313271;5410101;
2002;kf;riket;AP;AP;1695;;5313271;5410101;
2002;kf;riket;ASK;ASK;411;;5313271;5410101;
2002;kf;riket;BAP;BAP;1074;;5313271;5410101;
2002;kf;riket;BBPOL;BBPOL;288;;5313271;5410101;
2002;kf;riket;BE;BE;1959;;5313271;5410101;
2002;kf;riket;BJP;BJP;1214;;5313271;5410101;
2002;kf;riket;BLV;BLV;246;;5313271;5410101;
2002;kf;riket;BOP;BOP;1092;;5313271;5410101;
2002;kf;riket;BP;BP;2132;;5313271;5410101;
2002;kf;riket;bsfsp;BSFSP;12;;5313271;5410101;
2002;kf;riket;BV;BV;1055;;5313271;5410101;
2002;kf;riket;BÅP;BÅP;809;;5313271;5410101;
2002;kf;riket;B.Ö;B.Ö;613;;5313271;5410101;
2002;kf;riket;CDK;CDK;158;;5313271;5410101;
2002;kf;riket;Dex;DEX;261;;5313271;5410101;
2002;kf;riket;DKL;DKL;699;;5313271;5410101;
2002;kf;riket;DP;DP;2140;;5313271;5410101;
2002;kf;riket;DPNS;DPNS;2;;5313271;5410101;
2002;kf;riket;DSL;DSL;524;;5313271;5410101;
2002;kf;riket;EBP;EBP;280;;5313271;5410101;
2002;kf;riket;ESL;ESL;205;;5313271;5410101;
2002;kf;riket;FAP;FAP;2441;;5313271;5410101;
2002;kf;riket;FaV;FAV;45;;5313271;5410101;
2002;kf;riket;FDEM;FDEM;22;;5313271;5410101;
2002;kf;riket;FFK;FFK;164;;5313271;5410101;
2002;kf;riket;FHT;FHT;379;;5313271;5410101;
2002;kf;riket;FLB;FLB;551;;5313271;5410101;
2002;kf;riket;FNO;FNO;149;;5313271;5410101;
2002;kf;riket;FOV;FOV;1979;;5313271;5410101;
2002;kf;riket;FPO;FPO;389;;5313271;5410101;
2002;kf;riket;FRAMT;FRAMT;420;;5313271;5410101;
2002;kf;riket;FRK;FRK;265;;5313271;5410101;
2002;kf;riket;FRP;FRP;510;;5313271;5410101;
2002;kf;riket;FrV;FRV;224;;5313271;5410101;
2002;kf;riket;FTP;FTP;172;;5313271;5410101;
2002;kf;riket;FV;FV;2249;;5313271;5410101;
2002;kf;riket;FVS;FVS;34;;5313271;5410101;
2002;kf;riket;FYP;FYP;486;;5313271;5410101;
2002;kf;riket;GGF;GGF;756;;5313271;5410101;
2002;kf;riket;GKS;GKS;686;;5313271;5410101;
2002;kf;riket;GLE;GLE;73;;5313271;5410101;
2002;kf;riket;GM;GM;285;;5313271;5410101;
2002;kf;riket;GNP;GNP;74;;5313271;5410101;
2002;kf;riket;Gp;GP;101;;5313271;5410101;
2002;kf;riket;GSP;GSP;195;;5313271;5410101;
2002;kf;riket;GÖF;GÖF;481;;5313271;5410101;
2002;kf;riket;Hdp;HDP;474;;5313271;5410101;
2002;kf;riket;HEL;HEL;449;;5313271;5410101;
2002;kf;riket;HOB;HOB;783;;5313271;5410101;
2002;kf;riket;HP;HP;2037;;5313271;5410101;
2002;kf;riket;HÖR;HÖR;709;;5313271;5410101;
2002;kf;riket;IdroP;IDROP;8;;5313271;5410101;
2002;kf;riket;KAL;KAL;1044;;5313271;5410101;
2002;kf;riket;KBÖ;KBÖ;1016;;5313271;5410101;
2002;kf;riket;KIP;KIP;4510;;5313271;5410101;
2002;kf;riket;KIS;KIS;173;;5313271;5410101;
2002;kf;riket;KNU;KNU;840;;5313271;5410101;
2002;kf;riket;KOF;KOF;742;;5313271;5410101;
2002;kf;riket;KOMM;KOMM;1307;;5313271;5410101;
2002;kf;riket;KommF;KOMMF;27;;5313271;5410101;
2002;kf;riket;Kop;KOP;1299;;5313271;5410101;
2002;kf;riket;KOSP;KOSP;6;;5313271;5410101;
2002;kf;riket;KPML;KPML;10923;;5313271;5410101;
2002;kf;riket;KPT;KPT;51;;5313271;5410101;
2002;kf;riket;KRT;KRT;367;;5313271;5410101;
2002;kf;riket;KS;KS;366;;5313271;5410101;
2002;kf;riket;KSFF;KSFF;358;;5313271;5410101;
2002;kf;riket;KSP;KSP;212;;5313271;5410101;
2002;kf;riket;KV;KV;1317;;5313271;5410101;
2002;kf;riket;KVF;KVF;1439;;5313271;5410101;
2002;kf;riket;KXP;KXP;215;;5313271;5410101;
2002;kf;riket;Lap;LAP;382;;5313271;5410101;
2002;kf;riket;LBYT;LBYT;1476;;5313271;5410101;
2002;kf;riket;LEKSP;LEKSP;360;;5313271;5410101;
2002;kf;riket;LHK;LHK;93;;5313271;5410101;
2002;kf;riket;LKP;LKP;1900;;5313271;5410101;
2002;kf;riket;LNU;LNU;289;;5313271;5410101;
2002;kf;riket;LOD;LOD;722;;5313271;5410101;
2002;kf;riket;LOK;LOK;321;;5313271;5410101;
2002;kf;riket;LP;LP;2633;;5313271;5410101;
2002;kf;riket;MaP;MAP;2949;;5313271;5410101;
2002;kf;riket;MBP;MBP;1343;;5313271;5410101;
2002;kf;riket;MF;MF;374;;5313271;5410101;
2002;kf;riket;misam;MISAM;1190;;5313271;5410101;
2002;kf;riket;Mitt;MITT;79;;5313271;5410101;
2002;kf;riket;MORAP;MORAP;399;;5313271;5410101;
2002;kf;riket;MR;MR;48;;5313271;5410101;
2002;kf;riket;MSVO;MSVO;324;;5313271;5410101;
2002;kf;riket;MVT;MVT;624;;5313271;5410101;
2002;kf;riket;NAlt;NALT;81;;5313271;5410101;
2002;kf;riket;ND;ND;7477;;5313271;5410101;
2002;kf;riket;NF;NF;248;;5313271;5410101;
2002;kf;riket;Nfr;NFR;208;;5313271;5410101;
2002;kf;riket;NHP;NHP;158;;5313271;5410101;
2002;kf;riket;NoPa;NOPA;375;;5313271;5410101;
2002;kf;riket;Norrp;NORRP;519;;5313271;5410101;
2002;kf;riket;NP;NP;1638;;5313271;5410101;
2002;kf;riket;NS;NS;8769;;5313271;5410101;
2002;kf;riket;NSP;NSP;462;;5313271;5410101;
2002;kf;riket;NYD;NYD;31;;5313271;5410101;
2002;kf;riket;NYF;NYF;44;;5313271;5410101;
2002;kf;riket;OPA;OPA;867;;5313271;5410101;
2002;kf;riket;PIN;PIN;519;;5313271;5410101;
2002;kf;riket;POL;POL;11;;5313271;5410101;
2002;kf;riket;PPG;PPG;373;;5313271;5410101;
2002;kf;riket;PPS;PPS;1256;;5313271;5410101;
2002;kf;riket;RO;RO;2974;;5313271;5410101;
2002;kf;riket;ROP;ROP;592;;5313271;5410101;
2002;kf;riket;ROT;ROT;234;;5313271;5410101;
2002;kf;riket;RP;RP;17;;5313271;5410101;
2002;kf;riket;RS;RS;2982;;5313271;5410101;
2002;kf;riket;SAFE;SAFE;2960;;5313271;5410101;
2002;kf;riket;SALAP;SALAP;342;;5313271;5410101;
2002;kf;riket;SAP;SAP;58;;5313271;5410101;
2002;kf;riket;SB;SB;578;;5313271;5410101;
2002;kf;riket;SD;SD;47704;;5313271;5410101;
2002;kf;riket;SE4VK;SE4VK;481;;5313271;5410101;
2002;kf;riket;SFS;SFS;466;;5313271;5410101;
2002;kf;riket;SFV;SFV;2947;;5313271;5410101;
2002;kf;riket;SIM;SIM;34;;5313271;5410101;
2002;kf;riket;SJP;SJP;4161;;5313271;5410101;
2002;kf;riket;SJVP;SJVP;1110;;5313271;5410101;
2002;kf;riket;SjvZ;SJVZ;712;;5313271;5410101;
2002;kf;riket;SKS;SKS;12;;5313271;5410101;
2002;kf;riket;SKÅ;SKÅ;6480;;5313271;5410101;
2002;kf;riket;SLS;SLS;1370;;5313271;5410101;
2002;kf;riket;SNK;SNK;530;;5313271;5410101;
2002;kf;riket;SOC.P;SOC.P;2186;;5313271;5410101;
2002;kf;riket;SoS;SOS;473;;5313271;5410101;
2002;kf;riket;SP;SP;9137;;5313271;5410101;
2002;kf;riket;SPA;SPA;2192;;5313271;5410101;
2002;kf;riket;SPI;SPI;51801;;5313271;5410101;
2002;kf;riket;Sref;SREF;4;;5313271;5410101;
2002;kf;riket;SSKP;SSKP;18;;5313271;5410101;
2002;kf;riket;SSS;SSS;154;;5313271;5410101;
2002;kf;riket;STA;STA;707;;5313271;5410101;
2002;kf;riket;STOR;STOR;536;;5313271;5410101;
2002;kf;riket;STRP;STRP;416;;5313271;5410101;
2002;kf;riket;SV;SV;209;;5313271;5410101;
2002;kf;riket;SäL;SÄL;408;;5313271;5410101;
2002;kf;riket;SöP;SÖP;472;;5313271;5410101;
2002;kf;riket;S-ALT;S-ALT;292;;5313271;5410101;
2002;kf;riket;TVP;TVP;229;;5313271;5410101;
2002;kf;riket;uc;UC;108;;5313271;5410101;
2002;kf;riket;UNG;UNG;168;;5313271;5410101;
2002;kf;riket;USP;USP;286;;5313271;5410101;
2002;kf;riket;VDM;VDM;1209;;5313271;5410101;
2002;kf;riket;VIP;VIP;592;;5313271;5410101;
2002;kf;riket;VKD;VKD;143;;5313271;5410101;
2002;kf;riket;VOXH;VOXH;721;;5313271;5410101;
2002;kf;riket;VTL;VTL;662;;5313271;5410101;
2002;kf;riket;VTP;VTP;922;;5313271;5410101;
2002;kf;riket;VÄG;VÄG;4225;;5313271;5410101;
2002;kf;riket;VÄLFP;VÄLFP;147;;5313271;5410101;
2002;kf;riket;YP;YP;272;;5313271;5410101;
2002;kf;riket;ÅHP;ÅHP;680;;5313271;5410101;
2002;kf;riket;ÅP;ÅP;392;;5313271;5410101;
2002;kf;riket;ÅS;ÅS;195;;5313271;5410101;
2002;kf;riket;ÅSP;ÅSP;355;;5313271;5410101;
2002;kf;riket;ÄP;ÄP;354;;5313271;5410101;
2002;kf;riket;ÖA;ÖA;303;;5313271;5410101;
2002;kf;riket;ÖP;ÖP;686;;5313271;5410101;
2002;kf;riket;ÖS;ÖS;1089;;5313271;5410101;
2002;kf;riket;ÖVR;ÖVR;19114;;5313271;5410101;
2002;kf;vgregion;0294;0294;250;;886499;903868;
2002;kf;vgregion;0415;0415;46;;886499;903868;
2002;kf;vgregion;0425;0425;176;;886499;903868;
2002;kf;vgregion;ADK;ADK;1578;;886499;903868;
2002;kf;vgregion;AFF;AFF;215;;886499;903868;
2002;kf;vgregion;FFK;FFK;164;;886499;903868;
2002;kf;vgregion;FPO;FPO;389;;886499;903868;
2002;kf;vgregion;FV;FV;2249;;886499;903868;
2002;kf;vgregion;GÖF;GÖF;481;;886499;903868;
2002;kf;vgregion;KAL;KAL;1044;;886499;903868;
