ar;val;niva;parti_kalla;parti;roster;andel;giltiga;rostande;rostberattigade
2002;rd;ej_raknade_i_vallokal;ENH;ENH;1;;3903;4002;
2002;rd;ej_raknade_i_vallokal;NBP;NBP;1;;3903;4002;
2002;rd;ej_raknade_i_vallokal;NYF;NYF;5;;3903;4002;
2002;rd;ej_raknade_i_vallokal;RS;RS;1;;3903;4002;
2002;rd;ej_raknade_i_vallokal;SD;SD;29;;3903;4002;
2002;rd;ej_raknade_i_vallokal;SOC.P;SOC.P;8;;3903;4002;
2002;rd;ej_raknade_i_vallokal;SPI;SPI;15;;3903;4002;
2002;rd;ej_raknade_i_vallokal;ÖVR;ÖVR;15;;3903;4002;
2002;rd;riket;0020;0020;15;;5303212;5385430;
2002;rd;riket;0095;0095;27;;5303212;5385430;
2002;rd;riket;0329;0329;52;;5303212;5385430;
2002;rd;riket;0339;0339;87;;5303212;5385430;
2002;rd;riket;0354;0354;6;;5303212;5385430;
2002;rd;riket;0365;0365;1;;5303212;5385430;
2002;rd;riket;0367;0367;1;;5303212;5385430;
2002;rd;riket;0370;0370;2;;5303212;5385430;
2002;rd;riket;0376;0376;7;;5303212;5385430;
2002;rd;riket;0378;0378;1;;5303212;5385430;
2002;rd;riket;0379;0379;3;;5303212;5385430;
2002;rd;riket;0387;0387;4;;5303212;5385430;
2002;rd;riket;0390;0390;1;;5303212;5385430;
2002;rd;riket;0391;0391;2;;5303212;5385430;
2002;rd;riket;0396;0396;1;;5303212;5385430;
2002;rd;riket;0398;0398;2;;5303212;5385430;
2002;rd;riket;0399;0399;1;;5303212;5385430;
2002;rd;riket;0405;0405;4;;5303212;5385430;
2002;rd;riket;0409;0409;3;;5303212;5385430;
2002;rd;riket;0410;0410;3;;5303212;5385430;
2002;rd;riket;0420;0420;207;;5303212;5385430;
2002;rd;riket;0421;0421;274;;5303212;5385430;
2002;rd;riket;0432;0432;1;;5303212;5385430;
2002;rd;riket;0434;0434;10;;5303212;5385430;
2002;rd;riket;ALP;ALP;58;;5303212;5385430;
2002;rd;riket;DPNS;DPNS;11;;5303212;5385430;
2002;rd;riket;EAP;EAP;163;;5303212;5385430;
2002;rd;riket;ENH;ENH;603;;5303212;5385430;
2002;rd;riket;FDEM;FDEM;12;;5303212;5385430;
2002;rd;riket;IdroP;IDROP;7;;5303212;5385430;
2002;rd;riket;KOMM;KOMM;1182;;5303212;5385430;
2002;rd;riket;KommF;KOMMF;46;;5303212;5385430;
2002;rd;riket;ND;ND;4122;;5303212;5385430;
2002;rd;riket;NYD;NYD;106;;5303212;5385430;
2002;rd;riket;NYF;NYF;9337;;5303212;5385430;
2002;rd;riket;POL;POL;8;;5303212;5385430;
2002;rd;riket;Pop;POP;8;;5303212;5385430;
2002;rd;riket;Riksh;RIKSH;17;;5303212;5385430;
2002;rd;riket;RS;RS;1519;;5303212;5385430;
2002;rd;riket;SD;SD;76300;;5303212;5385430;
2002;rd;riket;SKÅ;SKÅ;4564;;5303212;5385430;
2002;rd;riket;SOC.P;SOC.P;3213;;5303212;5385430;
2002;rd;riket;SPI;SPI;37573;;5303212;5385430;
2002;rd;riket;Sref;SREF;14;;5303212;5385430;
2002;rd;riket;SSKP;SSKP;3;;5303212;5385430;
2002;rd;riket;VÄLFP;VÄLFP;94;;5303212;5385430;
2002;rd;riket;ÖVR;ÖVR;10861;;5303212;5385430;
2002;rd;vgregion;EAP;EAP;24;;887493;902525;
2002;rd;vgregion;ENH;ENH;66;;887493;902525;
2002;rd;vgregion;KOMM;KOMM;146;;887493;902525;
2002;rd;vgregion;KommF;KOMMF;13;;887493;902525;
2002;rd;vgregion;NBP;NBP;48;;887493;902525;
2002;rd;vgregion;NYF;NYF;1833;;887493;902525;
2002;rd;vgregion;Riksh;RIKSH;5;;887493;902525;
2002;rd;vgregion;RS;RS;14;;887493;902525;
2002;rd;vgregion;SD;SD;12592;;887493;902525;
2002;rd;vgregion;SOC.P;SOC.P;544;;887493;902525;
2002;rd;vgregion;SPI;SPI;4290;;887493;902525;
2002;rd;vgregion;Sref;SREF;1;;887493;902525;
2002;rd;vgregion;ÖVR;ÖVR;2165;;887493;902525;
2002;rd;goteborg;EAP;EAP;10;;273056;277489;
2002;rd;goteborg;ENH;ENH;22;;273056;277489;
2002;rd;goteborg;KOMM;KOMM;115;;273056;277489;
2002;rd;goteborg;KommF;KOMMF;12;;273056;277489;
2002;rd;goteborg;NBP;NBP;23;;273056;277489;
2002;rd;goteborg;NYF;NYF;223;;273056;277489;
2002;rd;goteborg;RS;RS;5;;273056;277489;
2002;rd;goteborg;SD;SD;4311;;273056;277489;
2002;rd;goteborg;SOC.P;SOC.P;436;;273056;277489;
2002;rd;goteborg;SPI;SPI;1174;;273056;277489;
2002;rd;goteborg;ÖVR;ÖVR;709;;273056;277489;
