ar;val;niva;parti_kalla;parti;roster;andel;giltiga;rostande;rostberattigade
2002;rf;ej_raknade_i_vallokal;KPML;KPML;22;;2512;2626;
2002;rf;ej_raknade_i_vallokal;ND;ND;2;;2512;2626;
2002;rf;ej_raknade_i_vallokal;PPG;PPG;1;;2512;2626;
2002;rf;ej_raknade_i_vallokal;ÖVR;ÖVR;12;;2512;2626;
2002;rf;riket;0020;0020;18;;5227376;5343961;
2002;rf;riket;0095;0095;42;;5227376;5343961;
2002;rf;riket;0252;0252;1;;5227376;5343961;
2002;rf;riket;0329;0329;169;;5227376;5343961;
2002;rf;riket;0332;0332;7442;;5227376;5343961;
2002;rf;riket;0346;0346;3168;;5227376;5343961;
2002;rf;riket;0358;0358;12;;5227376;5343961;
2002;rf;riket;0365;0365;6;;5227376;5343961;
2002;rf;riket;0367;0367;2;;5227376;5343961;
2002;rf;riket;0370;0370;8;;5227376;5343961;
2002;rf;riket;0373;0373;2;;5227376;5343961;
2002;rf;riket;0377;0377;1;;5227376;5343961;
2002;rf;riket;0378;0378;5;;5227376;5343961;
2002;rf;riket;0384;0384;3;;5227376;5343961;
2002;rf;riket;0395;0395;4;;5227376;5343961;
2002;rf;riket;ALP;ALP;137;;5227376;5343961;
2002;rf;riket;DPNS;DPNS;6;;5227376;5343961;
2002;rf;riket;FDEM;FDEM;23;;5227376;5343961;
2002;rf;riket;Fks;FKS;3479;;5227376;5343961;
2002;rf;riket;IdroP;IDROP;11;;5227376;5343961;
2002;rf;riket;KOMM;KOMM;1375;;5227376;5343961;
2002;rf;riket;KommF;KOMMF;50;;5227376;5343961;
2002;rf;riket;KOSP;KOSP;19;;5227376;5343961;
2002;rf;riket;KPML;KPML;5645;;5227376;5343961;
2002;rf;riket;LBYT;LBYT;1333;;5227376;5343961;
2002;rf;riket;MSP;MSP;2;;5227376;5343961;
2002;rf;riket;MSVO;MSVO;178;;5227376;5343961;
2002;rf;riket;ND;ND;7609;;5227376;5343961;
2002;rf;riket;NoPa;NOPA;296;;5227376;5343961;
2002;rf;riket;NS;NS;35593;;5227376;5343961;
2002;rf;riket;POL;POL;12;;5227376;5343961;
2002;rf;riket;PPG;PPG;395;;5227376;5343961;
2002;rf;riket;RO;RO;2664;;5227376;5343961;
2002;rf;riket;RS;RS;2270;;5227376;5343961;
2002;rf;riket;SD;SD;29511;;5227376;5343961;
2002;rf;riket;SFV;SFV;33108;;5227376;5343961;
2002;rf;riket;SJPG;SJPG;11320;;5227376;5343961;
2002;rf;riket;SJVP;SJVP;9836;;5227376;5343961;
2002;rf;riket;SjvV;SJVV;28611;;5227376;5343961;
2002;rf;riket;SjvZ;SJVZ;3432;;5227376;5343961;
2002;rf;riket;SKV;SKV;18927;;5227376;5343961;
2002;rf;riket;SKÅ;SKÅ;9073;;5227376;5343961;
2002;rf;riket;SOC.P;SOC.P;1720;;5227376;5343961;
2002;rf;riket;SPI;SPI;52888;;5227376;5343961;
2002;rf;riket;Sref;SREF;10;;5227376;5343961;
2002;rf;riket;SSKP;SSKP;2;;5227376;5343961;
2002;rf;riket;USP;USP;756;;5227376;5343961;
2002;rf;riket;VÄLFP;VÄLFP;144;;5227376;5343961;
2002;rf;riket;ÖVR;ÖVR;11396;;5227376;5343961;
2002;rf;vgregion;0332;0332;7442;;873945;895445;
2002;rf;vgregion;KommF;KOMMF;14;;873945;895445;
2002;rf;vgregion;KPML;KPML;4750;;873945;895445;
2002;rf;vgregion;ND;ND;924;;873945;895445;
2002;rf;vgregion;PPG;PPG;395;;873945;895445;
2002;rf;vgregion;ÖVR;ÖVR;899;;873945;895445;
2002;rf;goteborg;0332;0332;14;;268882;274125;
2002;rf;goteborg;KommF;KOMMF;9;;268882;274125;
2002;rf;goteborg;KPML;KPML;3157;;268882;274125;
2002;rf;goteborg;ND;ND;342;;268882;274125;
2002;rf;goteborg;PPG;PPG;382;;268882;274125;
2002;rf;goteborg;ÖVR;ÖVR;278;;268882;274125;
