ar;val;niva;parti_kalla;parti;roster;andel;giltiga;rostande;rostberattigade
2018;kf;riket;M;M;1310182;20.06;6532135;6613451;7861590
2018;kf;riket;C;C;631812;9.67;6532135;6613451;7861590
2018;kf;riket;L;L;444674;6.81;6532135;6613451;7861590
2018;kf;riket;KD;KD;339375;5.20;6532135;6613451;7861590
2018;kf;riket;S;S;1801843;27.58;6532135;6613451;7861590
2018;kf;riket;V;V;502147;7.69;6532135;6613451;7861590
2018;kf;riket;MP;MP;301825;4.62;6532135;6613451;7861590
2018;kf;riket;SD;SD;832083;12.74;6532135;6613451;7861590
2018;kf;riket;FI;FI;61907;0.95;6532135;6613451;7861590
2018;kf;riket;1224;1224;140;0.00;6532135;6613451;7861590
2018;kf;riket;1272;1272;323;0.00;6532135;6613451;7861590
2018;kf;riket;1286;1286;1008;0.02;6532135;6613451;7861590
2018;kf;riket;1346;1346;64;0.00;6532135;6613451;7861590
2018;kf;riket;1363;1363;49;0.00;6532135;6613451;7861590
2018;kf;riket;1368;1368;19;0.00;6532135;6613451;7861590
2018;kf;riket;1370;1370;85;0.00;6532135;6613451;7861590
2018;kf;riket;1397;1397;42;0.00;6532135;6613451;7861590
2018;kf;riket;1410;1410;40;0.00;6532135;6613451;7861590
2018;kf;riket;1419;1419;312;0.00;6532135;6613451;7861590
2018;kf;riket;339;339;20;0.00;6532135;6613451;7861590
2018;kf;riket;470;470;25;0.00;6532135;6613451;7861590
2018;kf;riket;555;555;1;0.00;6532135;6613451;7861590
2018;kf;riket;ADK;ADK;407;0.01;6532135;6613451;7861590
2018;kf;riket;AfR;AFR;469;0.01;6532135;6613451;7861590
2018;kf;riket;ALFS;ALFS;122;0.00;6532135;6613451;7861590
2018;kf;riket;Alt;ALT;856;0.01;6532135;6613451;7861590
2018;kf;riket;ALTER;ALTER;918;0.01;6532135;6613451;7861590
2018;kf;riket;ALV;ALV;1409;0.02;6532135;6613451;7861590
2018;kf;riket;Ar P;AR P;3027;0.05;6532135;6613451;7861590
2018;kf;riket;ASB;ASB;2338;0.04;6532135;6613451;7861590
2018;kf;riket;B-ALT;B-ALT;470;0.01;6532135;6613451;7861590
2018;kf;riket;BAP;BAP;673;0.01;6532135;6613451;7861590
2018;kf;riket;BEP;BEP;848;0.01;6532135;6613451;7861590
2018;kf;riket;BJP;BJP;2290;0.04;6532135;6613451;7861590
2018;kf;riket;BoA;BOA;841;0.01;6532135;6613451;7861590
2018;kf;riket;Bollp;BOLLP;2621;0.04;6532135;6613451;7861590
2018;kf;riket;ByP;BYP;712;0.01;6532135;6613451;7861590
2018;kf;riket;BÅP;BÅP;965;0.01;6532135;6613451;7861590
2018;kf;riket;CSIS;CSIS;1;0.00;6532135;6613451;7861590
2018;kf;riket;DD;DD;196;0.00;6532135;6613451;7861590
2018;kf;riket;DEM;D;60013;0.92;6532135;6613451;7861590
2018;kf;riket;DemRä;DEMRÄ;134;0.00;6532135;6613451;7861590
2018;kf;riket;DiN;DIN;451;0.01;6532135;6613451;7861590
2018;kf;riket;DjuP;DJUP;2433;0.04;6532135;6613451;7861590
2018;kf;riket;DKL;DKL;306;0.00;6532135;6613451;7861590
2018;kf;riket;DP;DP;3188;0.05;6532135;6613451;7861590
2018;kf;riket;EMP;EMP;474;0.01;6532135;6613451;7861590
2018;kf;riket;ENH;ENH;70;0.00;6532135;6613451;7861590
2018;kf;riket;EP;EP;1371;0.02;6532135;6613451;7861590
2018;kf;riket;FAP;FAP;1063;0.02;6532135;6613451;7861590
2018;kf;riket;FBj;FBJ;1640;0.03;6532135;6613451;7861590
