ar;val;niva;parti_kalla;parti;roster;andel;giltiga;rostande;rostberattigade
2018;rd;riket;M;M;1284698;19.84;6476725;6535271;7495936
2018;rd;riket;C;C;557500;8.61;6476725;6535271;7495936
2018;rd;riket;L;L;355546;5.49;6476725;6535271;7495936
2018;rd;riket;KD;KD;409478;6.32;6476725;6535271;7495936
2018;rd;riket;S;S;1830386;28.26;6476725;6535271;7495936
2018;rd;riket;V;V;518454;8.00;6476725;6535271;7495936
2018;rd;riket;MP;MP;285899;4.41;6476725;6535271;7495936
2018;rd;riket;SD;SD;1135627;17.53;6476725;6535271;7495936
2018;rd;riket;FI;FI;29665;0.46;6476725;6535271;7495936
2018;rd;riket;AfS;AFS;20290;0.31;6476725;6535271;7495936
2018;rd;riket;BASIP;BASIP;632;0.01;6476725;6535271;7495936
2018;rd;riket;CSIS;CSIS;21;0.00;6476725;6535271;7495936
2018;rd;riket;DD;DD;5153;0.08;6476725;6535271;7495936
2018;rd;riket;DjuP;DJUP;3648;0.06;6476725;6535271;7495936
2018;rd;riket;EAP;EAP;52;0.00;6476725;6535271;7495936
2018;rd;riket;ENH;ENH;4647;0.07;6476725;6535271;7495936
2018;rd;riket;FHS;FHS;2;0.00;6476725;6535271;7495936
2018;rd;riket;Gup;GUP;1;0.00;6476725;6535271;7495936
2018;rd;riket;INI;INI;615;0.01;6476725;6535271;7495936
2018;rd;riket;KLP;KLP;1504;0.02;6476725;6535271;7495936
2018;rd;riket;KrVP;KRVP;3202;0.05;6476725;6535271;7495936
2018;rd;riket;LPo;LPO;4962;0.08;6476725;6535271;7495936
2018;rd;riket;MED;MED;13056;0.20;6476725;6535271;7495936
2018;rd;riket;NMR;NMR;2106;0.03;6476725;6535271;7495936
2018;rd;riket;NORRP;NORRP;60;0.00;6476725;6535271;7495936
2018;rd;riket;NYREF;NYREF;32;0.00;6476725;6535271;7495936
2018;rd;riket;PP;PP;7326;0.11;6476725;6535271;7495936
2018;rd;riket;RNP;RNP;4;0.00;6476725;6535271;7495936
2018;rd;riket;S-FRP;S-FRP;53;0.00;6476725;6535271;7495936
2018;rd;riket;SKP;SKP;702;0.01;6476725;6535271;7495936
2018;rd;riket;SKÅ;SKÅ;296;0.00;6476725;6535271;7495936
2018;rd;riket;TRP;TRP;511;0.01;6476725;6535271;7495936
2018;rd;riket;VL-S;VL-S;9;0.00;6476725;6535271;7495936
2018;rd;riket;ÖVR;ÖVR;588;0.01;6476725;6535271;7495936
2018;rd;vgregion;M;M;212950;19.57;1088002;1098460;1264227
2018;rd;vgregion;C;C;88927;8.17;1088002;1098460;1264227
2018;rd;vgregion;L;L;65504;6.02;1088002;1098460;1264227
2018;rd;vgregion;KD;KD;73636;6.77;1088002;1098460;1264227
2018;rd;vgregion;S;S;289513;26.61;1088002;1098460;1264227
2018;rd;vgregion;V;V;95901;8.81;1088002;1098460;1264227
2018;rd;vgregion;MP;MP;53117;4.88;1088002;1098460;1264227
2018;rd;vgregion;SD;SD;191001;17.56;1088002;1098460;1264227
2018;rd;vgregion;FI;FI;5608;0.52;1088002;1098460;1264227
2018;rd;vgregion;AfS;AFS;3481;0.32;1088002;1098460;1264227
2018;rd;vgregion;BASIP;BASIP;189;0.02;1088002;1098460;1264227
2018;rd;vgregion;CSIS;CSIS;4;0.00;1088002;1098460;1264227
2018;rd;vgregion;DD;DD;911;0.08;1088002;1098460;1264227
2018;rd;vgregion;DjuP;DJUP;896;0.08;1088002;1098460;1264227
2018;rd;vgregion;EAP;EAP;5;0.00;1088002;1098460;1264227
2018;rd;vgregion;ENH;ENH;750;0.07;1088002;1098460;1264227
2018;rd;vgregion;INI;INI;85;0.01;1088002;1098460;1264227
2018;rd;vgregion;KLP;KLP;241;0.02;1088002;1098460;1264227
2018;rd;vgregion;KrVP;KRVP;568;0.05;1088002;1098460;1264227
2018;rd;vgregion;LPo;LPO;475;0.04;1088002;1098460;1264227
2018;rd;vgregion;MED;MED;2135;0.20;1088002;1098460;1264227
2018;rd;vgregion;NMR;NMR;399;0.04;1088002;1098460;1264227
2018;rd;vgregion;NYREF;NYREF;1;0.00;1088002;1098460;1264227
2018;rd;vgregion;PP;PP;1507;0.14;1088002;1098460;1264227
2018;rd;vgregion;SKP;SKP;90;0.01;1088002;1098460;1264227
2018;rd;vgregion;SKÅ;SKÅ;1;0.00;1088002;1098460;1264227
2018;rd;vgregion;TRP;TRP;4;0.00;1088002;1098460;1264227
2018;rd;vgregion;ÖVR;ÖVR;103;0.01;1088002;1098460;1264227
2018;rd;goteborg;M;M;69432;19.86;349645;352660;418425
2018;rd;goteborg;C;C;24893;7.12;349645;352660;418425
2018;rd;goteborg;L;L;25337;7.25;349645;352660;418425
2018;rd;goteborg;KD;KD;19283;5.52;349645;352660;418425
2018;rd;goteborg;S;S;83097;23.77;349645;352660;418425
2018;rd;goteborg;V;V;48946;14.00;349645;352660;418425
2018;rd;goteborg;MP;MP;24286;6.95;349645;352660;418425
2018;rd;goteborg;SD;SD;47040;13.45;349645;352660;418425
2018;rd;goteborg;FI;FI;2931;0.84;349645;352660;418425
2018;rd;goteborg;AfS;AFS;1187;0.34;349645;352660;418425
2018;rd;goteborg;BASIP;BASIP;104;0.03;349645;352660;418425
2018;rd;goteborg;DD;DD;375;0.11;349645;352660;418425
2018;rd;goteborg;DjuP;DJUP;435;0.12;349645;352660;418425
2018;rd;goteborg;EAP;EAP;4;0.00;349645;352660;418425
2018;rd;goteborg;ENH;ENH;213;0.06;349645;352660;418425
2018;rd;goteborg;INI;INI;59;0.02;349645;352660;418425
2018;rd;goteborg;KLP;KLP;112;0.03;349645;352660;418425
2018;rd;goteborg;KrVP;KRVP;202;0.06;349645;352660;418425
2018;rd;goteborg;LPo;LPO;20;0.01;349645;352660;418425
2018;rd;goteborg;MED;MED;867;0.25;349645;352660;418425
2018;rd;goteborg;NMR;NMR;121;0.03;349645;352660;418425
2018;rd;goteborg;NYREF;NYREF;1;0.00;349645;352660;418425
2018;rd;goteborg;PP;PP;591;0.17;349645;352660;418425
2018;rd;goteborg;SKP;SKP;65;0.02;349645;352660;418425
2018;rd;goteborg;TRP;TRP;2;0.00;349645;352660;418425
2018;rd;goteborg;ÖVR;ÖVR;42;0.01;349645;352660;418425
