ar;val;niva;parti_kalla;parti;roster;andel;giltiga;rostande;rostberattigade
2022;rf;riket;Alternativ för Sverige;AFS;8973;0.14;6415373;6532382;8147190
2022;rf;riket;Alternativet;ALTERNAT;384;0.01;6415373;6532382;8147190
2022;rf;riket;ANARKISTERNA;ANARK;10;0.00;6415373;6532382;8147190
2022;rf;riket;ANDOPARTIET;ANDOPART;3;0.00;6415373;6532382;8147190
2022;rf;riket;Ändrings partiet revolution;ANDRINGS;3;0.00;6415373;6532382;8147190
2022;rf;riket;Basinkomstpartiet;BASIP;45;0.00;6415373;6532382;8147190
2022;rf;riket;Bevara akutsjukhusen;BEVARAAK;21078;0.33;6415373;6532382;8147190
2022;rf;riket;Bjornpartiet;BJORNPAR;1;0.00;6415373;6532382;8147190
2022;rf;riket;BOHUSLÄNPARTIET;BOHUS;193;0.00;6415373;6532382;8147190
2022;rf;riket;Centerpartiet;C;405148;6.32;6415373;6532382;8147190
2022;rf;riket;Common sense in Sweden;COMMONSE;3;0.00;6415373;6532382;8147190
2022;rf;riket;Demokraterna;D;22729;0.35;6415373;6532382;8147190
2022;rf;riket;Dalarnas Sjukvårdsparti;DALARNAS;9703;0.15;6415373;6532382;8147190
2022;rf;riket;Direktdemokraterna;DD;897;0.01;6415373;6532382;8147190
2022;rf;riket;Demokratiska Sekulära Socialister Arbetarpartiet;DEMOKRAT;1266;0.02;6415373;6532382;8147190
2022;rf;riket;Det minst dåliga partiet;DMDP;2;0.00;6415373;6532382;8147190
2022;rf;riket;Europeiska Arbetarpartiet-EAP;EAP;1;0.00;6415373;6532382;8147190
2022;rf;riket;Enad Politik;ENADPOLI;5;0.00;6415373;6532382;8147190
2022;rf;riket;Enhet;ENH;687;0.01;6415373;6532382;8147190
2022;rf;riket;En Vis Avskaffar Asylrätten!;ENVISAVS;142;0.00;6415373;6532382;8147190
2022;rf;riket;FAMILJENS FRIHET;FAMILJEN;13;0.00;6415373;6532382;8147190
2022;rf;riket;Fattigmans parti;FATTIGMA;2;0.00;6415373;6532382;8147190
2022;rf;riket;Förenade Demokratiska Partiet;FDP;173;0.00;6415373;6532382;8147190
2022;rf;riket;Feministiskt initiativ;FI;8954;0.14;6415373;6532382;8147190
2022;rf;riket;FN Parti art.27;FNPARTIA;1;0.00;6415373;6532382;8147190
2022;rf;riket;Företaget Sverige;FORETAGE;2;0.00;6415373;6532382;8147190
2022;rf;riket;Framtid Kalmar län;FRAMTIDK;188;0.00;6415373;6532382;8147190
2022;rf;riket;FramtidsTro;FRAMTIDS;1;0.00;6415373;6532382;8147190
2022;rf;riket;Fredspartiet;FREDSPAR;1;0.00;6415373;6532382;8147190
2022;rf;riket;Fria Wermland;FRIAWERM;4;0.00;6415373;6532382;8147190
2022;rf;riket;Partiet Frihet;FRIH;45;0.00;6415373;6532382;8147190
2022;rf;riket;Frihetsrörelsen;FRIHETSR;8;0.00;6415373;6532382;8147190
2022;rf;riket;Fritt val;FRITTVAL;2;0.00;6415373;6532382;8147190
2022;rf;riket;GRÖNA DEMOKRATER;GRONADEM;1;0.00;6415373;6532382;8147190
2022;rf;riket;Gula västarna;GULAVAST;1;0.00;6415373;6532382;8147190
2022;rf;riket;Humanistisk demokrati (HD);HD;1;0.00;6415373;6532382;8147190
2022;rf;riket;Invandrarpartiet;INVANDRA;2;0.00;6415373;6532382;8147190
2022;rf;riket;John Mikkonen;JOHNMIKK;1;0.00;6415373;6532382;8147190
2022;rf;riket;Kalle ankapartiet;KALLE;120;0.00;6415373;6532382;8147190
2022;rf;riket;Kärlek;KARLEK;10;0.00;6415373;6532382;8147190
2022;rf;riket;Kristdemokraterna;KD;469033;7.31;6415373;6532382;8147190
2022;rf;riket;Klassiskt liberala partiet;KLP;164;0.00;6415373;6532382;8147190
2022;rf;riket;Knapptryckarna;KNAPP;990;0.02;6415373;6532382;8147190
2022;rf;riket;Kristna Värdepartiet;KRVP;6007;0.09;6415373;6532382;8147190
2022;rf;riket;KSP;KSP;1;0.00;6415373;6532382;8147190
2022;rf;riket;Kungsbackaborna;KUNGSBAC;715;0.01;6415373;6532382;8147190
2022;rf;riket;KUSTLANDSPARTIET;KUSTLAND;388;0.01;6415373;6532382;8147190
2022;rf;riket;Liberalerna (tidigare Folkpartiet);L;295120;4.60;6415373;6532382;8147190
2022;rf;riket;Linköpingslistan;LINKOPIN;20;0.00;6415373;6532382;8147190
2022;rf;riket;Lokala partier i Uppsala län;LOKALAPA;1440;0.02;6415373;6532382;8147190
2022;rf;riket;Landsbygdspartiet Oberoende;LPO;1624;0.03;6415373;6532382;8147190
2022;rf;riket;Moderaterna;M;1224210;19.08;6415373;6532382;8147190
2022;rf;riket;Majspartiet;MAJSPART;2;0.00;6415373;6532382;8147190
2022;rf;riket;Medborgerlig Samling;MED;25909;0.40;6415373;6532382;8147190
2022;rf;riket;Min röst;MINROST;1;0.00;6415373;6532382;8147190
2022;rf;riket;MITT SVERIGE;MITTSVER;52;0.00;6415373;6532382;8147190
2022;rf;riket;MoD;MOD;2669;0.04;6415373;6532382;8147190
2022;rf;riket;Monisterna;MONISTER;1;0.00;6415373;6532382;8147190
2022;rf;riket;Miljöpartiet de gröna;MP;207072;3.23;6415373;6532382;8147190
2022;rf;riket;Nationalsocialistiska reformistiska Partiet;NATIONAL;1;0.00;6415373;6532382;8147190
2022;rf;riket;NaturFilosoferna;NATURFIL;1;0.00;6415373;6532382;8147190
2022;rf;riket;Naturistpartiet;NATURIST;4;0.00;6415373;6532382;8147190
2022;rf;riket;Neoteknokraterna;NEO;1;0.00;6415373;6532382;8147190
2022;rf;riket;Nix to the Six;NIX;3;0.00;6415373;6532382;8147190
2022;rf;riket;Nu får det fan vara nog;NUFAN;4;0.00;6415373;6532382;8147190
2022;rf;riket;Partiet Nyans;NYANS;30519;0.48;6415373;6532382;8147190
2022;rf;riket;Ny Demokrati;NYDEMOKR;7;0.00;6415373;6532382;8147190
2022;rf;riket;NY REFORM (NR);NYREFORM;66;0.00;6415373;6532382;8147190
2022;rf;riket;OK;OK;1;0.00;6415373;6532382;8147190
2022;rf;riket;Ond Kyckling Partiet;OKP;19;0.00;6415373;6532382;8147190
2022;rf;riket;Olofströmsdemokraterna;OLOFSTRO;47;0.00;6415373;6532382;8147190
2022;rf;riket;Örebropartiet;OREBROPA;8593;0.13;6415373;6532382;8147190
2022;rf;riket;Östgötapartiet;OSTGOTAP;466;0.01;6415373;6532382;8147190
2022;rf;riket;Partiet Folkomröstning;PARTIETF;1;0.00;6415373;6532382;8147190
2022;rf;riket;Pax;PAX;1;0.00;6415373;6532382;8147190
2022;rf;riket;Politiskt Skifte;POLSK;20;0.00;6415373;6532382;8147190
2022;rf;riket;Piratpartiet;PP;2842;0.04;6415373;6532382;8147190
2022;rf;riket;RÄDDA AKUTSJUKHUSEN;RADDAAKU;1489;0.02;6415373;6532382;8147190
2022;rf;riket;Arbetarepartiet-Socialdemokraterna;S;2032541;31.68;6415373;6532382;8147190
2022;rf;riket;Sverigedemokraterna;SD;958137;14.94;6415373;6532382;8147190
2022;rf;riket;Sjukvårdspartiet i Jönköpings län;SJUKVARD;59814;0.93;6415373;6532382;8147190
2022;rf;riket;SKÅNEPARTIET;SKANEPAR;451;0.01;6415373;6532382;8147190
2022;rf;riket;SKP;SKP;1255;0.02;6415373;6532382;8147190
2022;rf;riket;Stram Kurs Sverige;SKS;36;0.00;6415373;6532382;8147190
2022;rf;riket;Sociallibertarianerna;SOCIALLI;1;0.00;6415373;6532382;8147190
2022;rf;riket;Socialisterna-Välfärdspartiet;SOCV;33;0.00;6415373;6532382;8147190
2022;rf;riket;Sjukvårdspartiet - Västra Götaland;SPVG;4896;0.08;6415373;6532382;8147190
2022;rf;riket;Stora Norrlands oberoende Frihetsparti;STORANOR;1;0.00;6415373;6532382;8147190
2022;rf;riket;Svenska Rikslagen;SVENSKAR;4;0.00;6415373;6532382;8147190
2022;rf;riket;Sverigepartiet;SVERIGEP;1;0.00;6415373;6532382;8147190
2022;rf;riket;Sverige ut ur EU/Frihetliga Rättvisepartiet (FRP);SVERIGEU;1;0.00;6415373;6532382;8147190
2022;rf;riket;Swexitpartiet;SWEXIT;1;0.00;6415373;6532382;8147190
2022;rf;riket;Telgelistan;TELGELIS;118;0.00;6415373;6532382;8147190
2022;rf;riket;TRYGGHETSPARTIET;TRYGGHET;99;0.00;6415373;6532382;8147190
2022;rf;riket;Utvecklingspartiet demokraterna;UTVECKLI;2047;0.03;6415373;6532382;8147190
2022;rf;riket;Vänsterpartiet;V;570603;8.89;6415373;6532382;8147190
2022;rf;riket;Vägval Stockholm;VAGVALST;1047;0.02;6415373;6532382;8147190
2022;rf;riket;Vård för Pengarna;VARDFORP;22488;0.35;6415373;6532382;8147190
2022;rf;riket;Värmlandslistan;VARMLAND;1252;0.02;6415373;6532382;8147190
2022;rf;riket;Volt Sverige;VOLT;85;0.00;6415373;6532382;8147190
2022;rf;riket;Valsamverkanspartiet;VSP;4;0.00;6415373;6532382;8147190
2022;rf;riket;Partiet Vändpunkt;VÄND;148;0.00;6415373;6532382;8147190
2022;rf;riket;Yggdrasil;YGGDRASI;1;0.00;6415373;6532382;8147190
2022;rf;riket;övriga anmälda partier;ÖVR;3;0.00;6415373;6532382;8147190
2022;rf;vgregion;Alternativ för Sverige;AFS;3918;0.36;1078962;1100809;1370031
2022;rf;vgregion;ANARKISTERNA;ANARK;3;0.00;1078962;1100809;1370031
2022;rf;vgregion;Basinkomstpartiet;BASIP;8;0.00;1078962;1100809;1370031
2022;rf;vgregion;BOHUSLÄNPARTIET;BOHUS;193;0.02;1078962;1100809;1370031
2022;rf;vgregion;Centerpartiet;C;64127;5.94;1078962;1100809;1370031
2022;rf;vgregion;Demokraterna;D;22729;2.11;1078962;1100809;1370031
2022;rf;vgregion;Direktdemokraterna;DD;167;0.02;1078962;1100809;1370031
2022;rf;vgregion;Enhet;ENH;123;0.01;1078962;1100809;1370031
2022;rf;vgregion;Förenade Demokratiska Partiet;FDP;83;0.01;1078962;1100809;1370031
2022;rf;vgregion;Feministiskt initiativ;FI;2133;0.20;1078962;1100809;1370031
2022;rf;vgregion;Partiet Frihet;FRIH;6;0.00;1078962;1100809;1370031
2022;rf;vgregion;Kalle ankapartiet;KALLE;23;0.00;1078962;1100809;1370031
2022;rf;vgregion;Kärlek;KARLEK;1;0.00;1078962;1100809;1370031
2022;rf;vgregion;Kristdemokraterna;KD;85553;7.93;1078962;1100809;1370031
2022;rf;vgregion;Klassiskt liberala partiet;KLP;29;0.00;1078962;1100809;1370031
2022;rf;vgregion;Knapptryckarna;KNAPP;190;0.02;1078962;1100809;1370031
2022;rf;vgregion;Kristna Värdepartiet;KRVP;1239;0.11;1078962;1100809;1370031
2022;rf;vgregion;Liberalerna (tidigare Folkpartiet);L;51545;4.78;1078962;1100809;1370031
2022;rf;vgregion;Landsbygdspartiet Oberoende;LPO;34;0.00;1078962;1100809;1370031
2022;rf;vgregion;Moderaterna;M;198911;18.44;1078962;1100809;1370031
2022;rf;vgregion;Medborgerlig Samling;MED;3692;0.34;1078962;1100809;1370031
2022;rf;vgregion;MITT SVERIGE;MITTSVER;1;0.00;1078962;1100809;1370031
2022;rf;vgregion;MoD;MOD;669;0.06;1078962;1100809;1370031
2022;rf;vgregion;Miljöpartiet de gröna;MP;38391;3.56;1078962;1100809;1370031
2022;rf;vgregion;Nix to the Six;NIX;2;0.00;1078962;1100809;1370031
2022;rf;vgregion;Nu får det fan vara nog;NUFAN;1;0.00;1078962;1100809;1370031
2022;rf;vgregion;Partiet Nyans;NYANS;7402;0.69;1078962;1100809;1370031
2022;rf;vgregion;Ny Demokrati;NYDEMOKR;1;0.00;1078962;1100809;1370031
2022;rf;vgregion;Ond Kyckling Partiet;OKP;3;0.00;1078962;1100809;1370031
2022;rf;vgregion;Politiskt Skifte;POLSK;6;0.00;1078962;1100809;1370031
2022;rf;vgregion;Piratpartiet;PP;347;0.03;1078962;1100809;1370031
2022;rf;vgregion;Arbetarepartiet-Socialdemokraterna;S;317728;29.45;1078962;1100809;1370031
2022;rf;vgregion;Sverigedemokraterna;SD;166432;15.43;1078962;1100809;1370031
2022;rf;vgregion;SKP;SKP;23;0.00;1078962;1100809;1370031
2022;rf;vgregion;Stram Kurs Sverige;SKS;8;0.00;1078962;1100809;1370031
2022;rf;vgregion;Sociallibertarianerna;SOCIALLI;1;0.00;1078962;1100809;1370031
2022;rf;vgregion;Socialisterna-Välfärdspartiet;SOCV;2;0.00;1078962;1100809;1370031
2022;rf;vgregion;Sjukvårdspartiet - Västra Götaland;SPVG;4896;0.45;1078962;1100809;1370031
2022;rf;vgregion;Swexitpartiet;SWEXIT;1;0.00;1078962;1100809;1370031
2022;rf;vgregion;Vänsterpartiet;V;108328;10.04;1078962;1100809;1370031
2022;rf;vgregion;Volt Sverige;VOLT;5;0.00;1078962;1100809;1370031
2022;rf;vgregion;Partiet Vändpunkt;VÄND;7;0.00;1078962;1100809;1370031
2022;rf;vgregion;Yggdrasil;YGGDRASI;1;0.00;1078962;1100809;1370031
2022;rf;vgregion;övriga anmälda partier;ÖVR;0;0.00;1078962;1100809;1370031
2022;rf;goteborg;Alternativ för Sverige;AFS;1125;0.32;349550;353953;463983
2022;rf;goteborg;ANARKISTERNA;ANARK;1;0.00;349550;353953;463983
2022;rf;goteborg;Basinkomstpartiet;BASIP;6;0.00;349550;353953;463983
2022;rf;goteborg;BOHUSLÄNPARTIET;BOHUS;15;0.00;349550;353953;463983
2022;rf;goteborg;Centerpartiet;C;15640;4.47;349550;353953;463983
2022;rf;goteborg;Demokraterna;D;14891;4.26;349550;353953;463983
2022;rf;goteborg;Direktdemokraterna;DD;91;0.03;349550;353953;463983
2022;rf;goteborg;Enhet;ENH;29;0.01;349550;353953;463983
2022;rf;goteborg;Förenade Demokratiska Partiet;FDP;76;0.02;349550;353953;463983
2022;rf;goteborg;Feministiskt initiativ;FI;1151;0.33;349550;353953;463983
2022;rf;goteborg;Partiet Frihet;FRIH;4;0.00;349550;353953;463983
2022;rf;goteborg;Kalle ankapartiet;KALLE;6;0.00;349550;353953;463983
2022;rf;goteborg;Kristdemokraterna;KD;19562;5.60;349550;353953;463983
2022;rf;goteborg;Klassiskt liberala partiet;KLP;16;0.00;349550;353953;463983
2022;rf;goteborg;Knapptryckarna;KNAPP;66;0.02;349550;353953;463983
2022;rf;goteborg;Kristna Värdepartiet;KRVP;393;0.11;349550;353953;463983
2022;rf;goteborg;Liberalerna (tidigare Folkpartiet);L;18416;5.27;349550;353953;463983
2022;rf;goteborg;Landsbygdspartiet Oberoende;LPO;4;0.00;349550;353953;463983
2022;rf;goteborg;Moderaterna;M;59374;16.99;349550;353953;463983
2022;rf;goteborg;Medborgerlig Samling;MED;1519;0.43;349550;353953;463983
2022;rf;goteborg;MoD;MOD;266;0.08;349550;353953;463983
2022;rf;goteborg;Miljöpartiet de gröna;MP;17435;4.99;349550;353953;463983
2022;rf;goteborg;Nix to the Six;NIX;2;0.00;349550;353953;463983
2022;rf;goteborg;Partiet Nyans;NYANS;5062;1.45;349550;353953;463983
2022;rf;goteborg;Ond Kyckling Partiet;OKP;1;0.00;349550;353953;463983
