ar;val;kod;namn;andrad_indelning
2002;rd;14800101;Domkyrko 1;1
2002;rd;14800102;Domkyrko 2;1
2002;rd;14800103;Domkyrko 3;1
2002;rd;14800104;Domkyrko 4;1
2002;rd;14800105;Domkyrko 5;1
2002;rd;14800106;Domkyrko 6;1
2002;rd;14800107;Domkyrko 7;0
2002;rd;14800108;Domkyrko 8;0
2002;rd;14800401;Nylöse 1;0
2002;rd;14800402;Nylöse 2;1
2002;rd;14800403;Nylöse 3;0
2002;rd;14800404;Nylöse 4;0
2002;rd;14800405;Nylöse 5;1
2002;rd;14800406;Nylöse 6;0
2002;rd;14800407;Nylöse 7;0
2002;rd;14800501;Kortedala 1;1
2002;rd;14800502;Kortedala 2;1
2002;rd;14800503;Kortedala 3;0
2002;rd;14800504;Kortedala 4;1
2002;rd;14800505;Kortedala 5;1
2002;rd;14800506;Kortedala 6;1
2002;rd;14800507;Kortedala 7;1
2002;rd;14800508;Kortedala 8;0
2002;rd;14800509;Kortedala 9;0
2002;rd;14800601;Härlanda 1;1
2002;rd;14800602;Härlanda 2;0
2002;rd;14800603;Härlanda 3;0
2002;rd;14800604;Härlanda 4;1
2002;rd;14800605;Härlanda 5;1
2002;rd;14800606;Härlanda 6;1
2002;rd;14800607;Härlanda 7;1
2002;rd;14800608;Härlanda 8;1
2002;rd;14800609;Härlanda 9;1
2002;rd;14800610;Härlanda 10;1
2002;rd;14800611;Härlanda 11;0
2002;rd;14800701;Vasa 1;1
2002;rd;14800702;Vasa 2;1
2002;rd;14800703;Vasa 3;1
2002;rd;14800704;Vasa 4;1
2002;rd;14800705;Vasa 5;1
2002;rd;14800706;Vasa 6;0
2002;rd;14800707;Vasa 7;0
2002;rd;14800708;Vasa 8;1
2002;rd;14800709;Vasa 9;1
2002;rd;14800710;Vasa 10;0
2002;rd;14800801;Johanneberg 1;1
2002;rd;14800802;Johanneberg 2;1
2002;rd;14800803;Johanneberg 3;1
2002;rd;14800804;Johanneberg 4;1
2002;rd;14800805;Johanneberg 5;1
2002;rd;14800806;Johanneberg 6;1
2002;rd;14800807;Johanneberg 7;1
2002;rd;14800808;Johanneberg 8;1
2002;rd;14800809;Johanneberg 9;0
2002;rd;14800810;Johanneberg 10;1
2002;rd;14800811;Johanneberg 11;0
2002;rd;14800812;Johanneberg 12;0
2002;rd;14800813;Johanneberg 13;0
2002;rd;14800901;Annedal 1;0
2002;rd;14800902;Annedal 2;0
2002;rd;14800903;Annedal 3;1
2002;rd;14800904;Annedal 4;1
2002;rd;14800905;Annedal 5;0
2002;rd;14800906;Annedal 6;1
2002;rd;14800907;Annedal 7;1
2002;rd;14800908;Annedal 8;0
2002;rd;14800909;Annedal 9;0
2002;rd;14800910;Annedal 10;1
2002;rd;14800911;Annedal 11;0
2002;rd;14801001;Haga 1;0
2002;rd;14801002;Haga 2;0
2002;rd;14801003;Haga 3;0
2002;rd;14801101;Oskar Fredrik 1;1
