kod;namn;valkrets_kod;valkrets;kvk_dbf;lvk_dbf;rvk_dbf;indelning_rd;indelning_rf;indelning_kf;giltiga_2002_rd;giltiga_2002_rf;giltiga_2002_kf;kalla_fil
14800101;Backa-Brunnsbo 1;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800102;Backa-Brunnsbo 2;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800103;Backa-Brunnsbo 3;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800104;Backa-Brunnsbo 4;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800105;Backa-Brunnsbo 5;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800106;Backa-Brunnsbo 6;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800107;Backa-Brunnsbo 7;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800201;Biskopsgården 1;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800202;Biskopsgården 2;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800203;Biskopsgården 3;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800204;Biskopsgården 4;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800205;Biskopsgården 5;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800206;Biskopsgården 6;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800301;Björlanda 1;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800302;Björlanda 2;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800303;Björlanda 3;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800401;Brämaregården 1;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800402;Brämaregården 2;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800403;Brämaregården 3;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800404;Brämaregården 4;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800405;Brämaregården 5;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800501;Hjuvik 1;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800502;Hjuvik 2;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800503;Hjuvik 3;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800601;Jättesten-Svartedalen 1;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800602;Jättesten-Svartedalen 2;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800603;Jättesten-Svartedalen 3;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800604;Jättesten-Svartedalen 4;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800605;Jättesten-Svartedalen 5;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800701;Kvillebäcken 1;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800702;Kvillebäcken 2;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800703;Kvillebäcken 3;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800704;Kvillebäcken 4;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800705;Kvillebäcken 5;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800801;Kärra-Rödbo 1;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800802;Kärra-Rödbo 2;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800803;Kärra-Rödbo 3;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800804;Kärra-Rödbo 4;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800805;Kärra-Rödbo 5;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800806;Kärra-Rödbo 6;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800807;Kärra-Rödbo 7;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800901;Kärrdalen-Slätta Damm 1;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800902;Kärrdalen-Slätta Damm 2;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800903;Kärrdalen-Slätta Damm 3;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800904;Kärrdalen-Slätta Damm 4;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14800905;Kärrdalen-Slätta Damm 5;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801001;Länsmansgården 1;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801002;Länsmansgården 2;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801003;Länsmansgården 3;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801101;Nolered-Torslanda 1;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801102;Nolered-Torslanda 2;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801103;Nolered-Torslanda 3;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801104;Nolered-Torslanda 4;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801105;Nolered-Torslanda 5;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801201;Sannegården 1;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801202;Sannegården 2;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801203;Sannegården 3;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801204;Sannegården 4;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801205;Sannegården 5;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801206;Sannegården 6;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801207;Sannegården 7;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801301;Skälltorp-Skogome 1;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801302;Skälltorp-Skogome 2;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801303;Skälltorp-Skogome 3;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801304;Skälltorp-Skogome 4;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801305;Skälltorp-Skogome 5;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801306;Skälltorp-Skogome 6;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
14801401;Tuve-Säve 1;148001;Göteborg 1;01;01 Göteborgs kommun;16 Göteborgs kommun;Modifierad;Modifierad;Modifierad;;;;"slutresultat_1480R/L/K.xml; riksdagen_i_valdistrikt.dbf"
