ar;val;kod;namn;valkrets;giltiga;blanka;ogiltiga_ovriga;ogiltiga;rostande;rostberattigade;valdeltagande;kalla_fil
2014;rf;14800001;Uppsamlingsdistrikt;Göteborg, Hisingen;1732;43;2;45;1777;;;2014_landstingsval_per_valdistrikt.xls
2014;rf;14800002;Uppsamlingsdistrikt;Göteborg, Öster;1891;47;4;51;1942;;;2014_landstingsval_per_valdistrikt.xls
2014;rf;14800003;Uppsamlingsdistrikt;Göteborg, Centrum;2496;54;2;56;2552;;;2014_landstingsval_per_valdistrikt.xls
2014;rf;14800004;Uppsamlingsdistrikt;Göteborg, Väster;1698;31;3;34;1732;;;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801011;Majorna-Linné, Klippan;Göteborg, Väster;1415;21;1;22;1437;1738;82.68;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801012;Majorna-Linné, Kungsladugård;Göteborg, Väster;1194;15;0;15;1209;1490;81.14;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801013;Majorna-Linné, Mariaplan;Göteborg, Väster;1085;18;0;18;1103;1338;82.44;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801014;Majorna-Linné, Silverkällan;Göteborg, Väster;1196;15;0;15;1211;1479;81.88;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801015;Majorna-Linné, Skytteskogen;Göteborg, Väster;1424;13;0;13;1437;1715;83.79;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801016;Majorna-Linné, Svalebo;Göteborg, Väster;1015;15;0;15;1030;1298;79.35;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801021;Majorna-Linné, Sandarne;Göteborg, Väster;1304;27;0;27;1331;1780;74.78;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801031;Majorna-Linné, Godhem;Göteborg, Väster;988;11;0;11;999;1177;84.88;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801032;Majorna-Linné, Gråberget;Göteborg, Väster;1301;16;2;18;1319;1609;81.98;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801033;Majorna-Linné, Hängmattan;Göteborg, Väster;1236;9;0;9;1245;1508;82.56;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801034;Majorna-Linné, Majorna;Göteborg, Väster;1170;17;0;17;1187;1559;76.14;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801035;Majorna-Linné, Marieberg;Göteborg, Väster;1152;11;0;11;1163;1380;84.28;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801036;Majorna-Linné, Slottsskogsgatan m fl;Göteborg, Väster;1367;9;0;9;1376;1670;82.40;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801041;Majorna-Linné, Djurgårdsgatan m fl;Göteborg, Centrum;1308;13;0;13;1321;1613;81.90;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801042;Majorna-Linné, Gatenhielmska;Göteborg, Centrum;1043;13;0;13;1056;1297;81.42;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801043;Majorna-Linné, Karl Johans torg;Göteborg, Centrum;1462;12;0;12;1474;1778;82.90;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801044;Majorna-Linné, Söderlingska ängen;Göteborg, Centrum;1084;12;0;12;1096;1406;77.95;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801051;Majorna-Linné, Masthugget, Nedre;Göteborg, Centrum;1152;8;1;9;1161;1336;86.90;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801052;Majorna-Linné, Masthugget, Övre;Göteborg, Centrum;1327;19;1;20;1347;1555;86.62;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801053;Majorna-Linné, Masthuggstorget;Göteborg, Centrum;1039;12;0;12;1051;1320;79.62;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801054;Majorna-Linné, Oscar Fredrik;Göteborg, Centrum;1115;12;0;12;1127;1332;84.61;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801055;Majorna-Linné, Slottsskogen;Göteborg, Centrum;872;15;0;15;887;1129;78.57;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801056;Majorna-Linné, Stigberget;Göteborg, Centrum;1239;13;0;13;1252;1538;81.40;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801057;Majorna-Linné, Vegastaden;Göteborg, Centrum;1065;6;0;6;1071;1267;84.53;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801061;Majorna-Linné, Änggården;Göteborg, Centrum;977;12;0;12;989;1266;78.12;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801071;Majorna-Linné, Haga;Göteborg, Centrum;1390;23;0;23;1413;1741;81.16;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801072;Majorna-Linné, Skansberget;Göteborg, Centrum;1319;13;0;13;1332;1615;82.48;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801081;Majorna-Linné, Annedal;Göteborg, Centrum;1524;18;1;19;1543;1935;79.74;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801082;Majorna-Linné, Nilssonsberg;Göteborg, Centrum;1499;24;0;24;1523;1794;84.89;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801091;Majorna-Linné, Kommendantsängen;Göteborg, Centrum;1078;16;0;16;1094;1261;86.76;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801092;Majorna-Linné, Linné;Göteborg, Centrum;1280;9;0;9;1289;1532;84.14;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801093;Majorna-Linné, Linnéplatsen;Göteborg, Centrum;911;10;0;10;921;1065;86.48;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801094;Majorna-Linné, Långgatorna;Göteborg, Centrum;1335;10;0;10;1345;1641;81.96;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801095;Majorna-Linné, Olivedal;Göteborg, Centrum;1426;9;0;9;1435;1698;84.51;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801096;Majorna-Linné, Risåsen;Göteborg, Centrum;952;13;0;13;965;1149;83.99;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801097;Majorna-Linné, Sveaplan;Göteborg, Centrum;1182;9;1;10;1192;1375;86.69;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801101;Centrum, Framnäs;Göteborg, Centrum;1189;9;0;9;1198;1574;76.11;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801102;Centrum, Fredriksdal;Göteborg, Centrum;846;7;0;7;853;1029;82.90;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801103;Centrum, Fridkullagatan m fl;Göteborg, Centrum;1203;13;0;13;1216;1516;80.21;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801104;Centrum, Getebergsäng;Göteborg, Centrum;1172;11;1;12;1184;1479;80.05;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801105;Centrum, Kristinehöjd;Göteborg, Centrum;1059;15;1;16;1075;1345;79.93;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801106;Centrum, Krokslätt;Göteborg, Centrum;1121;14;0;14;1135;1406;80.73;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801107;Centrum, Mossen;Göteborg, Centrum;992;18;0;18;1010;1311;77.04;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801108;Centrum, Olofshöjd;Göteborg, Centrum;638;15;0;15;653;1125;58.04;2014_landstingsval_per_valdistrikt.xls
2014;rf;14801111;Centrum, Eklanda;Göteborg, Centrum;1379;22;1;23;1402;1706;82.18;2014_landstingsval_per_valdistrikt.xls
