ar;val;kod;namn;valkrets;giltiga;blanka;ogiltiga_ovriga;ogiltiga;rostande;rostberattigade;valdeltagande;kalla_fil
2018;kf;14800000;Uppsamlingsdistrikt;;8707;107;49;156;8863;;;slutresultat_1480K.xml
2018;kf;14801011;Majorna-Linné, Gröna Vallen;;1114;10;3;13;1127;1371;82.20;slutresultat_1480K.xml
2018;kf;14801012;Majorna-Linné, Klippan;;1000;9;3;12;1012;1180;85.76;slutresultat_1480K.xml
2018;kf;14801013;Majorna-Linné, Kungsladugård, Västra;;1084;6;0;6;1090;1266;86.10;slutresultat_1480K.xml
2018;kf;14801014;Majorna-Linné, Kungsladugård, Östra;;972;9;2;11;983;1161;84.67;slutresultat_1480K.xml
2018;kf;14801015;Majorna-Linné, Mariaplan;;943;8;0;8;951;1106;85.99;slutresultat_1480K.xml
2018;kf;14801016;Majorna-Linné, Skytteskogen;;1194;7;0;7;1201;1415;84.88;slutresultat_1480K.xml
2018;kf;14801017;Majorna-Linné, Svalebo;;943;9;2;11;954;1220;78.20;slutresultat_1480K.xml
2018;kf;14801021;Majorna-Linné, Sandarne;;1010;8;2;10;1020;1258;81.08;slutresultat_1480K.xml
2018;kf;14801022;Majorna-Linné, Silverkällan;;918;10;1;11;929;1104;84.15;slutresultat_1480K.xml
2018;kf;14801031;Majorna-Linné, Chapmans Torg;;886;6;1;7;893;1075;83.07;slutresultat_1480K.xml
2018;kf;14801032;Majorna-Linné, Godhem;;1060;11;2;13;1073;1230;87.24;slutresultat_1480K.xml
2018;kf;14801033;Majorna-Linné, Gråberget, Västra;;836;5;1;6;842;952;88.45;slutresultat_1480K.xml
2018;kf;14801034;Majorna-Linné, Gråberget, Östra;;928;9;1;10;938;1139;82.35;slutresultat_1480K.xml
2018;kf;14801035;Majorna-Linné, Hängmattan;;942;8;2;10;952;1153;82.57;slutresultat_1480K.xml
2018;kf;14801036;Majorna-Linné, Majorna;;956;13;2;15;971;1169;83.06;slutresultat_1480K.xml
2018;kf;14801037;Majorna-Linné, Marieberg;;972;1;3;4;976;1097;88.97;slutresultat_1480K.xml
2018;kf;14801038;Majorna-Linné, Slottsskogsgatan m fl;;830;12;3;15;845;1022;82.68;slutresultat_1480K.xml
2018;kf;14801041;Majorna-Linné, Djurgårdsgatan m fl;;1027;10;0;10;1037;1170;88.63;slutresultat_1480K.xml
2018;kf;14801042;Majorna-Linné, Gatenhielmska;;1069;7;1;8;1077;1293;83.29;slutresultat_1480K.xml
2018;kf;14801043;Majorna-Linné, Karl Johans torg;;1032;12;2;14;1046;1204;86.88;slutresultat_1480K.xml
2018;kf;14801044;Majorna-Linné, Klareborgsgatan m fl;;947;8;3;11;958;1134;84.48;slutresultat_1480K.xml
2018;kf;14801045;Majorna-Linné, Söderlingska ängen;;953;11;0;11;964;1246;77.37;slutresultat_1480K.xml
2018;kf;14801051;Majorna-Linné, Masthugget, Nedre;;894;10;2;12;906;1017;89.09;slutresultat_1480K.xml
2018;kf;14801052;Majorna-Linné, Masthugget, Övre;;1209;9;0;9;1218;1340;90.90;slutresultat_1480K.xml
2018;kf;14801053;Majorna-Linné, Masthuggstorget;;1052;6;1;7;1059;1300;81.46;slutresultat_1480K.xml
2018;kf;14801054;Majorna-Linné, Oscar Fredrik;;971;9;2;11;982;1093;89.84;slutresultat_1480K.xml
2018;kf;14801055;Majorna-Linné, Sjömansgatan m fl;;986;6;0;6;992;1136;87.32;slutresultat_1480K.xml
2018;kf;14801056;Majorna-Linné, Slottsskogen;;905;8;2;10;915;1123;81.48;slutresultat_1480K.xml
2018;kf;14801057;Majorna-Linné, Stigberget;;965;9;2;11;976;1161;84.07;slutresultat_1480K.xml
2018;kf;14801058;Majorna-Linné, Vegastaden;;1126;6;0;6;1132;1310;86.41;slutresultat_1480K.xml
2018;kf;14801061;Majorna-Linné, Änggården;;987;5;1;6;993;1264;78.56;slutresultat_1480K.xml
2018;kf;14801071;Majorna-Linné, Haga Västra;;1077;10;1;11;1088;1290;84.34;slutresultat_1480K.xml
2018;kf;14801072;Majorna-Linné, Haga Östra;;829;5;1;6;835;952;87.71;slutresultat_1480K.xml
2018;kf;14801073;Majorna-Linné, Skansberget;;922;4;0;4;926;1095;84.57;slutresultat_1480K.xml
2018;kf;14801081;Majorna-Linné, Annedal, Norra;;1048;6;0;6;1054;1257;83.85;slutresultat_1480K.xml
2018;kf;14801082;Majorna-Linné, Annedal, Södra;;977;10;1;11;988;1158;85.32;slutresultat_1480K.xml
2018;kf;14801083;Majorna-Linné, Nilssonsberg;;1167;8;1;9;1176;1366;86.09;slutresultat_1480K.xml
2018;kf;14801091;Majorna-Linné, Kommendantsängen;;1080;5;0;5;1085;1267;85.64;slutresultat_1480K.xml
2018;kf;14801092;Majorna-Linné, Linné;;1202;10;2;12;1214;1381;87.91;slutresultat_1480K.xml
2018;kf;14801093;Majorna-Linné, Linnéplatsen;;1233;7;2;9;1242;1386;89.61;slutresultat_1480K.xml
2018;kf;14801094;Majorna-Linné, Långgatorna;;904;11;0;11;915;1095;83.56;slutresultat_1480K.xml
2018;kf;14801095;Majorna-Linné, Olivedal;;922;6;0;6;928;1093;84.90;slutresultat_1480K.xml
2018;kf;14801096;Majorna-Linné, Plantagegatan, m fl;;889;3;0;3;892;1017;87.71;slutresultat_1480K.xml
2018;kf;14801097;Majorna-Linné, Risåsen;;1016;6;1;7;1023;1168;87.59;slutresultat_1480K.xml
2018;kf;14801098;Majorna-Linné, Sveaplan;;1206;8;0;8;1214;1357;89.46;slutresultat_1480K.xml
2018;kf;14801100;Centrum, Framnäs;;926;15;3;18;944;1159;81.45;slutresultat_1480K.xml
2018;kf;14801101;Centrum, Fredriksdal;;678;6;2;8;686;818;83.86;slutresultat_1480K.xml
2018;kf;14801102;Centrum, Fridkullagatan m fl;;1020;3;0;3;1023;1180;86.69;slutresultat_1480K.xml
2018;kf;14801103;Centrum, Getebergsäng;;1256;6;1;7;1263;1469;85.98;slutresultat_1480K.xml
2018;kf;14801104;Centrum, Kristinehöjd, Västra;;1109;11;0;11;1120;1364;82.11;slutresultat_1480K.xml
2018;kf;14801105;Centrum, Kristinehöjd, Östra;;1183;8;0;8;1191;1392;85.56;slutresultat_1480K.xml
2018;kf;14801106;Centrum, Krokslätt, Norra;;883;5;10;15;898;1175;76.43;slutresultat_1480K.xml
2018;kf;14801107;Centrum, Krokslätt, Södra;;484;4;0;4;488;587;83.13;slutresultat_1480K.xml
2018;kf;14801108;Centrum, Mossen;;770;18;2;20;790;1015;77.83;slutresultat_1480K.xml
2018;kf;14801109;Centrum, Olofshöjd;;694;13;0;13;707;1120;63.13;slutresultat_1480K.xml
2018;kf;14801111;Centrum, Eklanda Norra;;958;8;1;9;967;1107;87.35;slutresultat_1480K.xml
2018;kf;14801112;Centrum, Eklanda Södra;;954;10;0;10;964;1135;84.93;slutresultat_1480K.xml
