ar;val;kod;namn;valkrets;giltiga;blanka;ogiltiga_ovriga;ogiltiga;rostande;rostberattigade;valdeltagande;kalla_fil
2018;rd;14800000;Uppsamlingsdistrikt;Göteborgs kommun;13316;87;32;119;13435;;;slutresultat_1480R.xml
2018;rd;14801011;Majorna-Linné, Gröna Vallen;Göteborgs kommun;1085;12;2;14;1099;1316;83.51;slutresultat_1480R.xml
2018;rd;14801012;Majorna-Linné, Klippan;Göteborgs kommun;987;6;3;9;996;1161;85.79;slutresultat_1480R.xml
2018;rd;14801013;Majorna-Linné, Kungsladugård, Västra;Göteborgs kommun;1062;3;1;4;1066;1237;86.18;slutresultat_1480R.xml
2018;rd;14801014;Majorna-Linné, Kungsladugård, Östra;Göteborgs kommun;965;7;1;8;973;1130;86.11;slutresultat_1480R.xml
2018;rd;14801015;Majorna-Linné, Mariaplan;Göteborgs kommun;919;11;2;13;932;1064;87.59;slutresultat_1480R.xml
2018;rd;14801016;Majorna-Linné, Skytteskogen;Göteborgs kommun;1165;0;0;0;1165;1389;83.87;slutresultat_1480R.xml
2018;rd;14801017;Majorna-Linné, Svalebo;Göteborgs kommun;909;7;2;9;918;1149;79.90;slutresultat_1480R.xml
2018;rd;14801021;Majorna-Linné, Sandarne;Göteborgs kommun;986;9;1;10;996;1212;82.18;slutresultat_1480R.xml
2018;rd;14801022;Majorna-Linné, Silverkällan;Göteborgs kommun;915;9;0;9;924;1078;85.71;slutresultat_1480R.xml
2018;rd;14801031;Majorna-Linné, Chapmans Torg;Göteborgs kommun;851;0;0;0;851;1038;81.98;slutresultat_1480R.xml
2018;rd;14801032;Majorna-Linné, Godhem;Göteborgs kommun;1038;9;1;10;1048;1199;87.41;slutresultat_1480R.xml
2018;rd;14801033;Majorna-Linné, Gråberget, Västra;Göteborgs kommun;815;7;1;8;823;923;89.17;slutresultat_1480R.xml
2018;rd;14801034;Majorna-Linné, Gråberget, Östra;Göteborgs kommun;915;8;2;10;925;1174;78.79;slutresultat_1480R.xml
2018;rd;14801035;Majorna-Linné, Hängmattan;Göteborgs kommun;917;8;0;8;925;1110;83.33;slutresultat_1480R.xml
