ar;val;kod;namn;valkrets;giltiga;blanka;ogiltiga_ovriga;ogiltiga;rostande;rostberattigade;valdeltagande;kalla_fil
2018;rf;14800000;Uppsamlingsdistrikt;Göteborgs kommun;8687;116;42;158;8845;;;slutresultat_1480L.xml
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Göteborgs kommun;1101;17;4;21;1122;1371;81.84;slutresultat_1480L.xml
2018;rf;14801012;Majorna-Linné, Klippan;Göteborgs kommun;992;12;0;12;1004;1180;85.08;slutresultat_1480L.xml
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Göteborgs kommun;1075;12;4;16;1091;1266;86.18;slutresultat_1480L.xml
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Göteborgs kommun;969;10;2;12;981;1161;84.50;slutresultat_1480L.xml
2018;rf;14801015;Majorna-Linné, Mariaplan;Göteborgs kommun;925;14;2;16;941;1106;85.08;slutresultat_1480L.xml
2018;rf;14801016;Majorna-Linné, Skytteskogen;Göteborgs kommun;1180;10;1;11;1191;1415;84.17;slutresultat_1480L.xml
2018;rf;14801017;Majorna-Linné, Svalebo;Göteborgs kommun;937;9;2;11;948;1220;77.70;slutresultat_1480L.xml
2018;rf;14801021;Majorna-Linné, Sandarne;Göteborgs kommun;999;11;1;12;1011;1258;80.37;slutresultat_1480L.xml
2018;rf;14801022;Majorna-Linné, Silverkällan;Göteborgs kommun;906;13;4;17;923;1104;83.61;slutresultat_1480L.xml
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Göteborgs kommun;875;8;2;10;885;1075;82.33;slutresultat_1480L.xml
2018;rf;14801032;Majorna-Linné, Godhem;Göteborgs kommun;1045;16;4;20;1065;1230;86.59;slutresultat_1480L.xml
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;Göteborgs kommun;828;6;2;8;836;952;87.82;slutresultat_1480L.xml
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;Göteborgs kommun;912;11;2;13;925;1139;81.21;slutresultat_1480L.xml
2018;rf;14801035;Majorna-Linné, Hängmattan;Göteborgs kommun;931;11;2;13;944;1153;81.87;slutresultat_1480L.xml
2018;rf;14801036;Majorna-Linné, Majorna;Göteborgs kommun;943;15;3;18;961;1169;82.21;slutresultat_1480L.xml
2018;rf;14801037;Majorna-Linné, Marieberg;Göteborgs kommun;952;9;6;15;967;1097;88.15;slutresultat_1480L.xml
2018;rf;14801038;Majorna-Linné, Slottsskogsgatan m fl;Göteborgs kommun;822;12;3;15;837;1022;81.90;slutresultat_1480L.xml
2018;rf;14801041;Majorna-Linné, Djurgårdsgatan m fl;Göteborgs kommun;1009;14;3;17;1026;1170;87.69;slutresultat_1480L.xml
2018;rf;14801042;Majorna-Linné, Gatenhielmska;Göteborgs kommun;1064;7;1;8;1072;1293;82.91;slutresultat_1480L.xml
2018;rf;14801043;Majorna-Linné, Karl Johans torg;Göteborgs kommun;1025;13;4;17;1042;1204;86.54;slutresultat_1480L.xml
2018;rf;14801044;Majorna-Linné, Klareborgsgatan m fl;Göteborgs kommun;940;10;3;13;953;1134;84.04;slutresultat_1480L.xml
2018;rf;14801045;Majorna-Linné, Söderlingska ängen;Göteborgs kommun;949;10;3;13;962;1246;77.21;slutresultat_1480L.xml
