ar;val;kod;namn;valkrets;giltiga;blanka;ogiltiga_ovriga;ogiltiga;rostande;rostberattigade;valdeltagande;kalla_fil
2022;kf;14800000;Uppsamlingsdistrikt;Göteborg;8234;156;30;208;8442;;;roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-kommunval-2022.xlsx flik roster_KF
2022;kf;14800101;Nordöstra Göteborg, Bergum;Göteborg;832;9;0;9;841;1121;75.02;roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-kommunval-2022.xlsx flik roster_KF
2022;kf;14800102;Nordöstra Göteborg, Olofstorp;Göteborg;779;14;0;15;794;1089;72.91;roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-kommunval-2022.xlsx flik roster_KF
2022;kf;14800103;Nordöstra Göteborg, Björsared;Göteborg;853;12;1;13;866;1130;76.64;roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-kommunval-2022.xlsx flik roster_KF
2022;kf;14800104;Nordöstra Göteborg, Gunnilse;Göteborg;868;8;1;9;877;1117;78.51;roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-kommunval-2022.xlsx flik roster_KF
2022;kf;14800105;Nordöstra Göteborg, Linnarhult;Göteborg;887;15;1;16;903;1162;77.71;roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-kommunval-2022.xlsx flik roster_KF
2022;kf;14800106;Nordöstra Göteborg, Angereds Centrum;Göteborg;867;5;0;5;872;1428;61.06;roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-kommunval-2022.xlsx flik roster_KF
2022;kf;14800107;Nordöstra Göteborg, Storås;Göteborg;622;8;0;8;630;1098;57.38;roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-kommunval-2022.xlsx flik roster_KF
2022;kf;14800108;Nordöstra Göteborg, Eriksbo Östra;Göteborg;456;5;0;6;462;1021;45.25;roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-kommunval-2022.xlsx flik roster_KF
2022;kf;14800109;Nordöstra Göteborg, Hammarkullen C;Göteborg;468;1;0;1;469;943;49.73;roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-kommunval-2022.xlsx flik roster_KF
