ar;val;kod;namn;valkrets;giltiga;blanka;ogiltiga_ovriga;ogiltiga;rostande;rostberattigade;valdeltagande;kalla_fil
2022;rd;14800000;Uppsamlingsdistrikt;Göteborgs kommun;11840;106;28;146;11986;;;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800101;Nordöstra Göteborg, Bergum;Göteborgs kommun;838;3;0;3;841;1047;80.32;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800102;Nordöstra Göteborg, Olofstorp;Göteborgs kommun;777;8;0;8;785;1030;76.21;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800103;Nordöstra Göteborg, Björsared;Göteborgs kommun;860;9;0;9;869;1072;81.06;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800104;Nordöstra Göteborg, Gunnilse;Göteborgs kommun;859;6;0;7;866;1049;82.55;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800105;Nordöstra Göteborg, Linnarhult;Göteborgs kommun;859;10;0;10;869;1085;80.09;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800106;Nordöstra Göteborg, Angereds Centrum;Göteborgs kommun;851;5;0;5;856;1408;60.80;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800107;Nordöstra Göteborg, Storås;Göteborgs kommun;561;8;0;8;569;954;59.64;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800108;Nordöstra Göteborg, Eriksbo Östra;Göteborgs kommun;439;4;0;4;443;954;46.44;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800109;Nordöstra Göteborg, Hammarkullen C;Göteborgs kommun;399;4;0;4;403;748;53.88;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800110;Nordöstra Göteborg, Hammarkullen Ö;Göteborgs kommun;568;7;0;7;575;1047;54.92;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800111;Nordöstra Göteborg, Sandeslätt;Göteborgs kommun;535;7;2;9;544;882;61.68;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800112;Nordöstra Göteborg, Hammarkullen V;Göteborgs kommun;537;4;1;6;543;934;58.14;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800113;Nordöstra Göteborg, Eriksbo Västra;Göteborgs kommun;579;0;0;0;579;1060;54.62;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800114;Nordöstra Göteborg, Bläsebo;Göteborgs kommun;614;3;0;3;617;1170;52.74;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800115;Nordöstra Göteborg, Hjällbo Norra;Göteborgs kommun;680;5;0;5;685;1252;54.71;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800116;Nordöstra Göteborg, Skolspåret;Göteborgs kommun;551;3;0;3;554;1041;53.22;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800117;Nordöstra Göteborg, Hjällbo Södra;Göteborgs kommun;504;4;1;5;509;955;53.30;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800118;Nordöstra Göteborg, Agnesberg;Göteborgs kommun;631;4;0;4;635;911;69.70;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800119;Nordöstra Göteborg, Gårdsten Västra;Göteborgs kommun;458;6;2;8;466;858;54.31;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800120;Nordöstra Göteborg, Gårdsten Södra;Göteborgs kommun;361;0;0;0;361;676;53.40;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800121;Nordöstra Göteborg, Gårdsten Centrum;Göteborgs kommun;440;0;0;0;440;783;56.19;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800122;Nordöstra Göteborg, Gårdsten Östra;Göteborgs kommun;675;4;1;5;680;1274;53.38;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800123;Nordöstra Göteborg, Gårdstensdalen;Göteborgs kommun;362;3;0;3;365;719;50.76;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800124;Nordöstra Göteborg, Gårdsten Norra;Göteborgs kommun;384;2;0;2;386;740;52.16;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800125;Nordöstra Göteborg, Lövgärdet C;Göteborgs kommun;582;5;0;6;588;1188;49.49;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800126;Nordöstra Göteborg, Senapsgatan m fl;Göteborgs kommun;415;1;0;1;416;883;47.11;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800127;Nordöstra Göteborg, Mejramgatan m fl;Göteborgs kommun;437;2;0;2;439;819;53.60;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800128;Nordöstra Göteborg, Lövgärdet Övre;Göteborgs kommun;550;3;0;3;553;936;59.08;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
