ar_fg;val;kod_2010;namn_2010;giltiga_2010;giltiga_fgval;rostande_2010;rostande_fgval;rostberattigade_2010;rostberattigade_fgval;valdeltagande_2010;valdeltagande_fgval;indelning
2006;kf;14800711;Centrum, Burås;1189;1161;1200;1180;1469;1474;81.69;80.05;
2006;kf;14800742;Centrum, Centrala Guldheden;938;883;955;899;1176;1105;81.21;81.36;
2006;kf;14800746;Centrum, Doktor Forselius gata m fl;971;976;980;986;1219;1232;80.39;80.03;
2006;kf;14800723;Centrum, Eklanda;1267;1279;1275;1298;1652;1771;77.18;73.29;
2006;kf;14800713;Centrum, Framnäs;1423;1240;1444;1262;1851;1702;78.01;74.15;
2006;kf;14800783;Centrum, Friggagatan-Stampen;1124;1095;1140;1109;1491;1476;76.46;75.14;
2006;kf;14800717;Centrum, Getebergsäng;915;879;920;893;1082;1067;85.03;83.69;
2006;kf;14800741;Centrum, Guldheden vattentornet;1232;1221;1253;1236;1545;1530;81.10;80.78;
2006;kf;14800782;Centrum, Gullbergsvass-Svingeln;1457;856;1475;870;1859;1150;79.34;75.65;
2006;kf;14800791;Centrum, Hedås-Gårda;1386;1334;1398;1359;1772;1765;78.89;77.00;
2006;kf;14800771;Centrum, Inom Vallgraven;1340;1256;1352;1274;1678;1622;80.57;78.55;
2006;kf;14800716;Centrum, Kristinehöjd;1032;964;1040;989;1354;1300;76.81;76.08;
2006;kf;14800715;Centrum, Krokslätt;1386;1268;1412;1288;1759;1689;80.27;76.26;
2006;kf;14800732;Centrum, Landala;1066;1040;1082;1050;1321;1301;81.91;80.71;
2006;kf;14800744;Centrum, Landala Egnahem;1043;1003;1056;1015;1273;1256;82.95;80.81;
2006;kf;14800731;Centrum, Landalabergen m fl;1377;1362;1394;1392;1747;1728;79.79;80.56;
2006;kf;14800733;Centrum, Landalagången m fl;721;644;730;658;1004;939;72.71;70.07;
2006;kf;14800751;Centrum, Lorensberg;1286;1172;1293;1185;1568;1511;82.46;78.42;
2006;kf;14800712;Centrum, Mossen;1048;895;1062;912;1516;1295;70.05;70.42;
2006;kf;14800721;Centrum, Nedre Johanneberg;1542;1180;1573;1197;1900;1446;82.79;82.78;
2006;kf;14800772;Centrum, Nordstan-Otterhällan;1321;1227;1338;1240;1663;1614;80.46;76.83;
2006;kf;14800743;Centrum, Norra Guldheden;1196;1123;1214;1137;1415;1363;85.80;83.42;
2006;kf;14800793;Centrum, Norra Heden-Gårda;1582;1420;1596;1431;1913;1749;83.43;81.82;
2006;kf;14800762;Centrum, Norra Vasastaden;1200;1163;1212;1175;1554;1564;77.99;75.13;
2006;kf;14800781;Centrum, Odinsgatan-Stampen;1255;1187;1275;1208;1589;1591;80.24;75.93;
2006;kf;14800714;Centrum, Olofshöjd;663;745;699;774;1177;1204;59.39;64.29;
2006;kf;14800745;Centrum, Södra Guldheden;1068;976;1075;990;1296;1241;82.95;79.77;
2006;kf;14800792;Centrum, Södra Heden;1189;1098;1203;1121;1452;1420;82.85;78.94;
2006;kf;14800724;Centrum, Södra Johanneberg;1151;1081;1161;1105;1426;1408;81.42;78.48;
2006;kf;14800761;Centrum, Södra Vasastaden;1353;1324;1359;1341;1648;1630;82.46;82.27;
2006;kf;14800763;Centrum, Valand;884;884;890;892;1107;1107;80.40;80.58;
2006;kf;14800764;Centrum, Östra Vasastaden;1207;1051;1216;1065;1497;1405;81.23;75.80;
