ar_fg;val;kod_2010;namn_2010;giltiga_2010;giltiga_fgval;rostande_2010;rostande_fgval;rostberattigade_2010;rostberattigade_fgval;valdeltagande_2010;valdeltagande_fgval;indelning
2006;rd;14800711;Centrum, Burås;1200;1174;1211;1191;1449;1452;83.57;82.02;
2006;rd;14800742;Centrum, Centrala Guldheden;955;895;966;910;1163;1110;83.06;81.98;
2006;rd;14800746;Centrum, Doktor Forselius gata m fl;994;975;1001;985;1203;1208;83.21;81.54;
2006;rd;14800723;Centrum, Eklanda;1319;1318;1321;1338;1775;1864;74.42;71.78;
2006;rd;14800713;Centrum, Framnäs;1444;1239;1459;1257;1797;1649;81.19;76.23;
2006;rd;14800783;Centrum, Friggagatan-Stampen;1138;1086;1148;1099;1469;1453;78.15;75.64;
2006;rd;14800717;Centrum, Getebergsäng;920;886;923;899;1076;1063;85.78;84.57;
2006;rd;14800741;Centrum, Guldheden vattentornet;1246;1226;1264;1243;1522;1513;83.05;82.15;
2006;rd;14800782;Centrum, Gullbergsvass-Svingeln;1493;874;1507;885;1793;1108;84.05;79.87;
2006;rd;14800791;Centrum, Hedås-Gårda;1404;1336;1411;1361;1763;1749;80.03;77.82;
2006;rd;14800771;Centrum, Inom Vallgraven;1353;1244;1359;1262;1677;1592;81.04;79.27;
2006;rd;14800716;Centrum, Kristinehöjd;1066;987;1073;1002;1345;1301;79.78;77.02;
2006;rd;14800715;Centrum, Krokslätt;1405;1282;1421;1299;1752;1667;81.11;77.92;
2006;rd;14800732;Centrum, Landala;1077;1045;1090;1054;1341;1299;81.28;81.14;
2006;rd;14800744;Centrum, Landala Egnahem;1074;1030;1083;1037;1280;1270;84.61;81.65;
2006;rd;14800731;Centrum, Landalabergen m fl;1388;1371;1403;1397;1731;1718;81.05;81.32;
2006;rd;14800733;Centrum, Landalagången m fl;738;660;744;672;975;900;76.31;74.67;
2006;rd;14800751;Centrum, Lorensberg;1302;1193;1310;1202;1725;1702;75.94;70.62;
2006;rd;14800712;Centrum, Mossen;1089;910;1099;918;1341;1146;81.95;80.10;
2006;rd;14800721;Centrum, Nedre Johanneberg;1567;1197;1579;1217;1869;1450;84.48;83.93;
2006;rd;14800772;Centrum, Nordstan-Otterhällan;1327;1230;1346;1242;1655;1601;81.33;77.58;
2006;rd;14800743;Centrum, Norra Guldheden;1209;1118;1217;1138;1417;1362;85.89;83.55;
2006;rd;14800793;Centrum, Norra Heden-Gårda;1579;1410;1591;1424;1899;1722;83.78;82.69;
2006;rd;14800762;Centrum, Norra Vasastaden;1238;1179;1245;1188;1682;1673;74.02;71.01;
2006;rd;14800781;Centrum, Odinsgatan-Stampen;1272;1199;1292;1223;1574;1568;82.08;78.00;
2006;rd;14800714;Centrum, Olofshöjd;689;777;704;783;887;1002;79.37;78.14;
2006;rd;14800745;Centrum, Södra Guldheden;1063;978;1075;994;1276;1244;84.25;79.90;
2006;rd;14800792;Centrum, Södra Heden;1211;1124;1226;1143;1471;1445;83.34;79.10;
2006;rd;14800724;Centrum, Södra Johanneberg;1170;1105;1183;1128;1445;1417;81.87;79.60;
2006;rd;14800761;Centrum, Södra Vasastaden;1362;1329;1371;1346;1677;1643;81.75;81.92;
2006;rd;14800763;Centrum, Valand;898;879;906;886;1129;1112;80.25;79.68;
2006;rd;14800764;Centrum, Östra Vasastaden;1225;1052;1228;1066;1482;1383;82.86;77.08;
2006;rd;14800722;Centrum, Övre Johanneberg;1148;1177;1163;1207;1401;1447;83.01;83.41;
2006;rd;14800841;Linnéstaden, Annedal;1392;1281;1407;1314;1779;1742;79.09;75.43;
2006;rd;14800832;Linnéstaden, Haga;1430;1316;1448;1334;1757;1660;82.41;80.36;
2006;rd;14800856;Linnéstaden, Kommendantsängen;1045;997;1050;1014;1247;1218;84.20;83.25;
2006;rd;14800854;Linnéstaden, Linné;1261;1168;1270;1182;1489;1445;85.29;81.80;
2006;rd;14800851;Linnéstaden, Linnéplatsen;882;830;885;851;1036;1008;85.42;84.42;
2006;rd;14800853;Linnéstaden, Långgatorna;1351;1280;1362;1295;1722;1696;79.09;76.36;
2006;rd;14800813;Linnéstaden, Masthuggstorget;1074;930;1091;949;1327;1245;82.22;76.22;
2006;rd;14800814;Linnéstaden, Nedre Masthugget;1133;1054;1139;1072;1301;1287;87.55;83.29;
2006;rd;14800842;Linnéstaden, Nilssonsberg;1471;1416;1486;1440;1762;1752;84.34;82.19;
2006;rd;14800852;Linnéstaden, Olivedal;1353;1320;1364;1337;1617;1598;84.35;83.67;
2006;rd;14800815;Linnéstaden, Oscar Fredrik;1050;986;1061;1008;1287;1265;82.44;79.68;
2006;rd;14800855;Linnéstaden, Risåsen;999;958;1007;974;1339;1356;75.21;71.83;
2006;rd;14800831;Linnéstaden, Skansberget;1322;1244;1333;1266;1617;1555;82.44;81.41;
2006;rd;14800817;Linnéstaden, Slottsskogen;892;817;908;824;1108;1057;81.95;77.96;
2006;rd;14800812;Linnéstaden, Stigberget;1204;1144;1212;1158;1547;1564;78.35;74.04;
2006;rd;14800857;Linnéstaden, Sveaplan;1149;1110;1154;1126;1346;1339;85.74;84.09;
2006;rd;14800816;Linnéstaden, Vegastaden;984;890;988;902;1192;1130;82.89;79.82;
2006;rd;14800821;Linnéstaden, Änggården;917;897;929;909;1166;1134;79.67;80.16;
2006;rd;14800811;Linnéstaden, Övre Masthugget;1293;1213;1304;1238;1473;1459;88.53;84.85;
2006;rd;14800943;Majorna, Djurgårdsgatan m fl;1258;1190;1271;1214;1507;1501;84.34;80.88;
2006;rd;14800944;Majorna, Gatenhielmska;998;941;1011;961;1219;1202;82.94;79.95;
