ar_fg;val;kod_2010;namn_2010;parti;roster_2010;roster_fgval
2006;rf;14800711;Centrum, Burås;M;358;372
2006;rf;14800711;Centrum, Burås;C;57;53
2006;rf;14800711;Centrum, Burås;L;134;161
2006;rf;14800711;Centrum, Burås;KD;66;91
2006;rf;14800711;Centrum, Burås;S;232;260
2006;rf;14800711;Centrum, Burås;V;71;81
2006;rf;14800711;Centrum, Burås;MP;151;90
2006;rf;14800711;Centrum, Burås;SPVG;33;16
2006;rf;14800711;Centrum, Burås;SD;37;15
2006;rf;14800711;Centrum, Burås;PP;10;
2006;rf;14800711;Centrum, Burås;RS;3;
2006;rf;14800711;Centrum, Burås;K;0;5
2006;rf;14800711;Centrum, Burås;SPI;0;4
2006;rf;14800711;Centrum, Burås;HANDSKRIVNA;8;3
2006;rf;14800711;Centrum, Burås;ÖVRIGA_FGVAL;0;1
2006;rf;14800711;Centrum, Burås;BLANK;14;32
2006;rf;14800711;Centrum, Burås;OG;0;1
2006;rf;14800742;Centrum, Centrala Guldheden;M;190;197
2006;rf;14800742;Centrum, Centrala Guldheden;C;23;30
2006;rf;14800742;Centrum, Centrala Guldheden;L;80;86
2006;rf;14800742;Centrum, Centrala Guldheden;KD;26;46
2006;rf;14800742;Centrum, Centrala Guldheden;S;227;233
2006;rf;14800742;Centrum, Centrala Guldheden;V;128;83
2006;rf;14800742;Centrum, Centrala Guldheden;MP;144;109
2006;rf;14800742;Centrum, Centrala Guldheden;SPVG;35;17
2006;rf;14800742;Centrum, Centrala Guldheden;SD;41;29
2006;rf;14800742;Centrum, Centrala Guldheden;PP;9;
2006;rf;14800742;Centrum, Centrala Guldheden;K;4;3
2006;rf;14800742;Centrum, Centrala Guldheden;SPI;0;6
2006;rf;14800742;Centrum, Centrala Guldheden;HANDSKRIVNA;3;3
2006;rf;14800742;Centrum, Centrala Guldheden;ÖVRIGA_FGVAL;0;1
2006;rf;14800742;Centrum, Centrala Guldheden;BLANK;19;27
2006;rf;14800742;Centrum, Centrala Guldheden;OG;1;
2006;rf;14800746;Centrum, Doktor Forselius gata m fl;M;287;245
2006;rf;14800746;Centrum, Doktor Forselius gata m fl;C;35;35
2006;rf;14800746;Centrum, Doktor Forselius gata m fl;L;86;115
2006;rf;14800746;Centrum, Doktor Forselius gata m fl;KD;51;80
2006;rf;14800746;Centrum, Doktor Forselius gata m fl;S;218;228
2006;rf;14800746;Centrum, Doktor Forselius gata m fl;V;93;103
2006;rf;14800746;Centrum, Doktor Forselius gata m fl;MP;134;98
2006;rf;14800746;Centrum, Doktor Forselius gata m fl;SPVG;20;17
2006;rf;14800746;Centrum, Doktor Forselius gata m fl;SD;23;19
2006;rf;14800746;Centrum, Doktor Forselius gata m fl;PP;5;
2006;rf;14800746;Centrum, Doktor Forselius gata m fl;K;4;8
2006;rf;14800746;Centrum, Doktor Forselius gata m fl;RS;1;3
2006;rf;14800746;Centrum, Doktor Forselius gata m fl;SPI;0;1
2006;rf;14800746;Centrum, Doktor Forselius gata m fl;HANDSKRIVNA;5;4
2006;rf;14800746;Centrum, Doktor Forselius gata m fl;ÖVRIGA_FGVAL;0;1
