ar_fg;val;kod_2018;namn_2018;parti;roster_2018;roster_fgval
2014;kf;14800000;Uppsamlingsdistrikt;M;1424;1783
2014;kf;14800000;Uppsamlingsdistrikt;C;505;278
2014;kf;14800000;Uppsamlingsdistrikt;L;581;550
2014;kf;14800000;Uppsamlingsdistrikt;KD;404;217
2014;kf;14800000;Uppsamlingsdistrikt;S;1859;1706
2014;kf;14800000;Uppsamlingsdistrikt;V;1235;799
2014;kf;14800000;Uppsamlingsdistrikt;MP;785;1287
2014;kf;14800000;Uppsamlingsdistrikt;SD;649;458
2014;kf;14800000;Uppsamlingsdistrikt;FI;265;404
2014;kf;14800000;Uppsamlingsdistrikt;VÄGV;63;125
2014;kf;14800000;Uppsamlingsdistrikt;K;27;29
2014;kf;14800000;Uppsamlingsdistrikt;RS;15;19
2014;kf;14800000;Uppsamlingsdistrikt;PP;14;45
2014;kf;14800000;Uppsamlingsdistrikt;DJUP;12;10
2014;kf;14800000;Uppsamlingsdistrikt;KRVP;3;4
2014;kf;14800000;Uppsamlingsdistrikt;ENH;0;10
2014;kf;14800000;Uppsamlingsdistrikt;HANDSKRIVNA;21;38
2014;kf;14800000;Uppsamlingsdistrikt;ÖVRIGA_FGVAL;0;76
2014;kf;14800000;Uppsamlingsdistrikt;BLANK;107;154
2014;kf;14800000;Uppsamlingsdistrikt;OG;27;20
2014;kf;14801032;Majorna-Linné, Godhem;M;77;118
2014;kf;14801032;Majorna-Linné, Godhem;C;38;17
2014;kf;14801032;Majorna-Linné, Godhem;L;59;70
2014;kf;14801032;Majorna-Linné, Godhem;KD;26;32
2014;kf;14801032;Majorna-Linné, Godhem;S;160;153
2014;kf;14801032;Majorna-Linné, Godhem;V;307;217
2014;kf;14801032;Majorna-Linné, Godhem;MP;116;158
2014;kf;14801032;Majorna-Linné, Godhem;SD;53;43
2014;kf;14801032;Majorna-Linné, Godhem;FI;66;95
2014;kf;14801032;Majorna-Linné, Godhem;VÄGV;30;36
2014;kf;14801032;Majorna-Linné, Godhem;K;14;13
2014;kf;14801032;Majorna-Linné, Godhem;DJUP;3;4
2014;kf;14801032;Majorna-Linné, Godhem;PP;3;4
2014;kf;14801032;Majorna-Linné, Godhem;ENH;0;5
2014;kf;14801032;Majorna-Linné, Godhem;RS;0;1
2014;kf;14801032;Majorna-Linné, Godhem;HANDSKRIVNA;2;1
2014;kf;14801032;Majorna-Linné, Godhem;ÖVRIGA_FGVAL;0;34
2014;kf;14801032;Majorna-Linné, Godhem;BLANK;11;8
2014;kf;14801032;Majorna-Linné, Godhem;OG;1;0
2014;kf;14801042;Majorna-Linné, Gatenhielmska;M;82;108
2014;kf;14801042;Majorna-Linné, Gatenhielmska;C;28;29
2014;kf;14801042;Majorna-Linné, Gatenhielmska;L;55;59
2014;kf;14801042;Majorna-Linné, Gatenhielmska;KD;17;19
2014;kf;14801042;Majorna-Linné, Gatenhielmska;S;192;180
2014;kf;14801042;Majorna-Linné, Gatenhielmska;V;306;206
2014;kf;14801042;Majorna-Linné, Gatenhielmska;MP;108;191
2014;kf;14801042;Majorna-Linné, Gatenhielmska;SD;77;49
2014;kf;14801042;Majorna-Linné, Gatenhielmska;FI;59;125
2014;kf;14801042;Majorna-Linné, Gatenhielmska;VÄGV;14;35
2014;kf;14801042;Majorna-Linné, Gatenhielmska;K;20;19
2014;kf;14801042;Majorna-Linné, Gatenhielmska;DJUP;6;1
2014;kf;14801042;Majorna-Linné, Gatenhielmska;PP;2;6
2014;kf;14801042;Majorna-Linné, Gatenhielmska;ENH;0;4
2014;kf;14801042;Majorna-Linné, Gatenhielmska;RS;0;4
2014;kf;14801042;Majorna-Linné, Gatenhielmska;HANDSKRIVNA;1;3
2014;kf;14801042;Majorna-Linné, Gatenhielmska;ÖVRIGA_FGVAL;0;29
2014;kf;14801042;Majorna-Linné, Gatenhielmska;BLANK;7;9
2014;kf;14801042;Majorna-Linné, Gatenhielmska;OG;0;0
2014;kf;14801053;Majorna-Linné, Masthuggstorget;M;174;264
2014;kf;14801053;Majorna-Linné, Masthuggstorget;C;45;39
2014;kf;14801053;Majorna-Linné, Masthuggstorget;L;96;92
2014;kf;14801053;Majorna-Linné, Masthuggstorget;KD;30;30
2014;kf;14801053;Majorna-Linné, Masthuggstorget;S;194;196
2014;kf;14801053;Majorna-Linné, Masthuggstorget;V;141;106
2014;kf;14801053;Majorna-Linné, Masthuggstorget;MP;75;140
2014;kf;14801053;Majorna-Linné, Masthuggstorget;SD;83;53
2014;kf;14801053;Majorna-Linné, Masthuggstorget;FI;20;54
2014;kf;14801053;Majorna-Linné, Masthuggstorget;VÄGV;9;35
2014;kf;14801053;Majorna-Linné, Masthuggstorget;K;9;15
2014;kf;14801053;Majorna-Linné, Masthuggstorget;DJUP;3;2
2014;kf;14801053;Majorna-Linné, Masthuggstorget;PP;3;6
2014;kf;14801053;Majorna-Linné, Masthuggstorget;RS;0;1
2014;kf;14801053;Majorna-Linné, Masthuggstorget;HANDSKRIVNA;1;2
2014;kf;14801053;Majorna-Linné, Masthuggstorget;ÖVRIGA_FGVAL;0;16
2014;kf;14801053;Majorna-Linné, Masthuggstorget;BLANK;6;9
2014;kf;14801053;Majorna-Linné, Masthuggstorget;OG;0;0
2014;kf;14801056;Majorna-Linné, Slottsskogen;M;103;165
2014;kf;14801056;Majorna-Linné, Slottsskogen;C;34;14
2014;kf;14801056;Majorna-Linné, Slottsskogen;L;88;80
2014;kf;14801056;Majorna-Linné, Slottsskogen;KD;19;21
2014;kf;14801056;Majorna-Linné, Slottsskogen;S;163;162
2014;kf;14801056;Majorna-Linné, Slottsskogen;V;167;120
2014;kf;14801056;Majorna-Linné, Slottsskogen;MP;75;125
2014;kf;14801056;Majorna-Linné, Slottsskogen;SD;54;63
2014;kf;14801056;Majorna-Linné, Slottsskogen;FI;31;58
2014;kf;14801056;Majorna-Linné, Slottsskogen;VÄGV;11;35
2014;kf;14801056;Majorna-Linné, Slottsskogen;K;8;9
2014;kf;14801056;Majorna-Linné, Slottsskogen;DJUP;2;1
2014;kf;14801056;Majorna-Linné, Slottsskogen;KRVP;1;1
2014;kf;14801056;Majorna-Linné, Slottsskogen;ENH;0;4
2014;kf;14801056;Majorna-Linné, Slottsskogen;HANDSKRIVNA;3;4
