kod_2018;namn_2018;val;parti;fgval;skattning_area;skattning_officiell;diff_area;diff_officiell
14801011;Majorna-Linné, Gröna Vallen;rd;V;;160.1;240.7;;
14801011;Majorna-Linné, Gröna Vallen;rd;S;;126.6;206.5;;
14801011;Majorna-Linné, Gröna Vallen;rd;MP;;104.8;164.7;;
14801011;Majorna-Linné, Gröna Vallen;rd;M;;74.4;134.6;;
14801011;Majorna-Linné, Gröna Vallen;rd;SD;;49.8;87.8;;
14801012;Majorna-Linné, Klippan;rd;V;;388.2;196.0;;
14801012;Majorna-Linné, Klippan;rd;S;;347.5;181.0;;
14801012;Majorna-Linné, Klippan;rd;MP;;280.3;142.1;;
14801012;Majorna-Linné, Klippan;rd;M;;216.4;121.8;;
14801012;Majorna-Linné, Klippan;rd;SD;;152.4;81.6;;
14801013;Majorna-Linné, Kungsladugård, Västra;rd;V;;128.4;195.0;;
14801013;Majorna-Linné, Kungsladugård, Västra;rd;S;;98.5;150.7;;
14801013;Majorna-Linné, Kungsladugård, Västra;rd;MP;;100.1;160.6;;
14801013;Majorna-Linné, Kungsladugård, Västra;rd;M;;75.5;125.2;;
14801013;Majorna-Linné, Kungsladugård, Västra;rd;SD;;41.6;65.5;;
14801014;Majorna-Linné, Kungsladugård, Östra;rd;V;;234.7;209.1;;
14801014;Majorna-Linné, Kungsladugård, Östra;rd;S;;174.1;155.0;;
14801014;Majorna-Linné, Kungsladugård, Östra;rd;MP;;155.6;138.6;;
14801014;Majorna-Linné, Kungsladugård, Östra;rd;M;;112.5;100.2;;
14801014;Majorna-Linné, Kungsladugård, Östra;rd;SD;;79.1;70.5;;
14801015;Majorna-Linné, Mariaplan;rd;V;;137.7;191.1;;
14801015;Majorna-Linné, Mariaplan;rd;S;;105.8;147.5;;
14801015;Majorna-Linné, Mariaplan;rd;MP;;94.0;131.9;;
14801015;Majorna-Linné, Mariaplan;rd;M;;46.6;62.5;;
14801015;Majorna-Linné, Mariaplan;rd;SD;;39.8;55.5;;
14801016;Majorna-Linné, Skytteskogen;rd;V;;191.7;163.4;;
14801016;Majorna-Linné, Skytteskogen;rd;S;;167.0;143.7;;
14801016;Majorna-Linné, Skytteskogen;rd;MP;;230.5;195.4;;
14801016;Majorna-Linné, Skytteskogen;rd;M;;209.7;177.9;;
14801016;Majorna-Linné, Skytteskogen;rd;SD;;83.0;71.5;;
14801017;Majorna-Linné, Svalebo;rd;V;;149.8;143.9;;
14801017;Majorna-Linné, Svalebo;rd;S;;166.6;164.6;;
14801017;Majorna-Linné, Svalebo;rd;MP;;141.8;139.4;;
14801017;Majorna-Linné, Svalebo;rd;M;;130.6;133.2;;
14801017;Majorna-Linné, Svalebo;rd;SD;;87.2;84.9;;
14801021;Majorna-Linné, Sandarne;rd;V;;230.7;174.8;;
14801021;Majorna-Linné, Sandarne;rd;S;;201.2;152.4;;
14801021;Majorna-Linné, Sandarne;rd;MP;;173.5;131.4;;
14801021;Majorna-Linné, Sandarne;rd;M;;127.5;96.6;;
14801021;Majorna-Linné, Sandarne;rd;SD;;118.8;90.0;;
14801022;Majorna-Linné, Silverkällan;rd;V;;82.7;191.6;;
14801022;Majorna-Linné, Silverkällan;rd;S;;65.7;156.5;;
