ar_fg;val;kod_2018;namn_2018;giltiga_2018;giltiga_fgval;rostande_2018;rostande_fgval;rostberattigade_2018;rostberattigade_fgval;valdeltagande_2018;valdeltagande_fgval;indelning
2014;rf;14800000;Uppsamlingsdistrikt;8687;7817;8845;;;;;;Summerad
2014;rf;14801011;Majorna-Linné, Gröna Vallen;1101;;1122;;1371;;81.84;;Modifierad
2014;rf;14801012;Majorna-Linné, Klippan;992;;1004;;1180;;85.08;;Modifierad
2014;rf;14801013;Majorna-Linné, Kungsladugård, Västra;1075;;1091;;1266;;86.18;;Modifierad
2014;rf;14801014;Majorna-Linné, Kungsladugård, Östra;969;;981;;1161;;84.50;;Modifierad
2014;rf;14801015;Majorna-Linné, Mariaplan;925;;941;;1106;;85.08;;Modifierad
2014;rf;14801016;Majorna-Linné, Skytteskogen;1180;;1191;;1415;;84.17;;Modifierad
2014;rf;14801017;Majorna-Linné, Svalebo;937;;948;;1220;;77.70;;Modifierad
2014;rf;14801021;Majorna-Linné, Sandarne;999;;1011;;1258;;80.37;;Modifierad
2014;rf;14801022;Majorna-Linné, Silverkällan;906;;923;;1104;;83.61;;Modifierad
2014;rf;14801031;Majorna-Linné, Chapmans Torg;875;;885;;1075;;82.33;;Modifierad
2014;rf;14801032;Majorna-Linné, Godhem;1045;988;1065;999;1230;1177;86.59;84.88;
2014;rf;14801033;Majorna-Linné, Gråberget, Västra;828;;836;;952;;87.82;;Modifierad
2014;rf;14801034;Majorna-Linné, Gråberget, Östra;912;;925;;1139;;81.21;;Modifierad
2014;rf;14801035;Majorna-Linné, Hängmattan;931;;944;;1153;;81.87;;Modifierad
2014;rf;14801036;Majorna-Linné, Majorna;943;;961;;1169;;82.21;;Modifierad
2014;rf;14801037;Majorna-Linné, Marieberg;952;;967;;1097;;88.15;;Modifierad
2014;rf;14801038;Majorna-Linné, Slottsskogsgatan m fl;822;;837;;1022;;81.90;;Modifierad
2014;rf;14801041;Majorna-Linné, Djurgårdsgatan m fl;1009;;1026;;1170;;87.69;;Modifierad
2014;rf;14801042;Majorna-Linné, Gatenhielmska;1064;1043;1072;1056;1293;1297;82.91;81.42;
2014;rf;14801043;Majorna-Linné, Karl Johans torg;1025;;1042;;1204;;86.54;;Modifierad
2014;rf;14801044;Majorna-Linné, Klareborgsgatan m fl;940;;953;;1134;;84.04;;Modifierad
2014;rf;14801045;Majorna-Linné, Söderlingska ängen;949;;962;;1246;;77.21;;Modifierad
2014;rf;14801051;Majorna-Linné, Masthugget, Nedre;886;;904;;1017;;88.89;;Modifierad
2014;rf;14801052;Majorna-Linné, Masthugget, Övre;1196;;1209;;1340;;90.22;;Modifierad
2014;rf;14801053;Majorna-Linné, Masthuggstorget;1028;1039;1039;1051;1300;1320;79.92;79.62;
2014;rf;14801054;Majorna-Linné, Oscar Fredrik;961;;977;;1093;;89.39;;Modifierad
2014;rf;14801055;Majorna-Linné, Sjömansgatan m fl;973;;985;;1136;;86.71;;Modifierad
2014;rf;14801056;Majorna-Linné, Slottsskogen;901;872;911;887;1123;1129;81.12;78.57;
2014;rf;14801057;Majorna-Linné, Stigberget;964;;980;;1161;;84.41;;Modifierad
2014;rf;14801058;Majorna-Linné, Vegastaden;1115;1065;1126;1071;1310;1267;85.95;84.53;
2014;rf;14801061;Majorna-Linné, Änggården;980;977;988;989;1264;1266;78.16;78.12;
2014;rf;14801071;Majorna-Linné, Haga Västra;1059;;1079;;1290;;83.64;;Modifierad
2014;rf;14801072;Majorna-Linné, Haga Östra;827;;835;;952;;87.71;;Modifierad
2014;rf;14801073;Majorna-Linné, Skansberget;911;;922;;1095;;84.20;;Modifierad
2014;rf;14801081;Majorna-Linné, Annedal, Norra;1041;;1050;;1257;;83.53;;Modifierad
2014;rf;14801082;Majorna-Linné, Annedal, Södra;965;;980;;1158;;84.63;;Modifierad
2014;rf;14801083;Majorna-Linné, Nilssonsberg;1154;;1166;;1366;;85.36;;Modifierad
2014;rf;14801091;Majorna-Linné, Kommendantsängen;1072;1078;1081;1094;1267;1261;85.32;86.76;
2014;rf;14801092;Majorna-Linné, Linné;1189;;1203;;1381;;87.11;;Modifierad
2014;rf;14801093;Majorna-Linné, Linnéplatsen;1205;;1223;;1386;;88.24;;Modifierad
2014;rf;14801094;Majorna-Linné, Långgatorna;897;;907;;1095;;82.83;;Modifierad
2014;rf;14801095;Majorna-Linné, Olivedal;917;;926;;1093;;84.72;;Modifierad
2014;rf;14801096;Majorna-Linné, Plantagegatan, m fl;879;;885;;1017;;87.02;;Modifierad
