val;kod_2014;namn_2014;indelning;kod_2010;namn_2010;matchning
rd;14800001;Uppsamlingsdistrikt;Oförändrad;14800001;;exakt
rd;14800002;Uppsamlingsdistrikt;Oförändrad;14800002;;exakt
rd;14800003;Uppsamlingsdistrikt;Oförändrad;14800003;;exakt
rd;14800004;Uppsamlingsdistrikt;Oförändrad;14800004;;exakt
rd;14801011;Majorna-Linné, Klippan;Oförändrad;14800916;Majorna, Klippan;exakt
rd;14801012;Majorna-Linné, Kungsladugård;Oförändrad;14800913;Majorna, Kungsladugård;exakt
rd;14801013;Majorna-Linné, Mariaplan;Oförändrad;14800914;Majorna, Mariaplan;exakt
rd;14801014;Majorna-Linné, Silverkällan;Oförändrad;14800915;Majorna, Silverkällan;exakt
rd;14801015;Majorna-Linné, Skytteskogen;Oförändrad;14800912;Majorna, Skytteskogen;exakt
rd;14801016;Majorna-Linné, Svalebo;Modifierad;;;ingen FGVAL
rd;14801021;Majorna-Linné, Sandarne;Oförändrad;14800921;Majorna, Sandarne;exakt
rd;14801031;Majorna-Linné, Godhem;Oförändrad;14800936;Majorna, Godhem;exakt
rd;14801032;Majorna-Linné, Gråberget;Oförändrad;14800934;Majorna, Gråberget;exakt
rd;14801033;Majorna-Linné, Hängmattan;Modifierad;;;ingen FGVAL
rd;14801034;Majorna-Linné, Majorna;Modifierad;;;ingen FGVAL
rd;14801035;Majorna-Linné, Marieberg;Modifierad;;;ingen FGVAL
rd;14801036;Majorna-Linné, Slottsskogsgatan m fl;Modifierad;;;ingen FGVAL
rd;14801041;Majorna-Linné, Djurgårdsgatan m fl;Oförändrad;14800943;Majorna, Djurgårdsgatan m fl;exakt
rd;14801042;Majorna-Linné, Gatenhielmska;Oförändrad;14800944;Majorna, Gatenhielmska;exakt
rd;14801043;Majorna-Linné, Karl Johans torg;Oförändrad;14800942;Majorna, Karl Johans torg;exakt
rd;14801044;Majorna-Linné, Söderlingska ängen;Oförändrad;14800941;Majorna, Söderlingska ängen;exakt
rd;14801051;Majorna-Linné, Masthugget, Nedre;Oförändrad;14800814;Linnéstaden, Nedre Masthugget;exakt
rd;14801052;Majorna-Linné, Masthugget, Övre;Oförändrad;14800811;Linnéstaden, Övre Masthugget;exakt
rd;14801053;Majorna-Linné, Masthuggstorget;Oförändrad;14800813;Linnéstaden, Masthuggstorget;exakt
rd;14801054;Majorna-Linné, Oscar Fredrik;Oförändrad;14800815;Linnéstaden, Oscar Fredrik;exakt
rd;14801055;Majorna-Linné, Slottsskogen;Oförändrad;14800817;Linnéstaden, Slottsskogen;exakt
rd;14801056;Majorna-Linné, Stigberget;Oförändrad;14800812;Linnéstaden, Stigberget;exakt
rd;14801057;Majorna-Linné, Vegastaden;Oförändrad;14800816;Linnéstaden, Vegastaden;exakt
rd;14801061;Majorna-Linné, Änggården;Oförändrad;14800821;Linnéstaden, Änggården;exakt
rd;14801071;Majorna-Linné, Haga;Modifierad;;;ingen FGVAL
rd;14801072;Majorna-Linné, Skansberget;Modifierad;;;ingen FGVAL
rd;14801081;Majorna-Linné, Annedal;Oförändrad;14800841;Linnéstaden, Annedal;exakt
rd;14801082;Majorna-Linné, Nilssonsberg;Oförändrad;14800842;Linnéstaden, Nilssonsberg;exakt
rd;14801091;Majorna-Linné, Kommendantsängen;Oförändrad;14800856;Linnéstaden, Kommendantsängen;exakt
rd;14801092;Majorna-Linné, Linné;Oförändrad;14800854;Linnéstaden, Linné;exakt
rd;14801093;Majorna-Linné, Linnéplatsen;Oförändrad;14800851;Linnéstaden, Linnéplatsen;exakt
rd;14801094;Majorna-Linné, Långgatorna;Oförändrad;14800853;Linnéstaden, Långgatorna;exakt
rd;14801095;Majorna-Linné, Olivedal;Oförändrad;14800852;Linnéstaden, Olivedal;exakt
rd;14801096;Majorna-Linné, Risåsen;Oförändrad;14800855;Linnéstaden, Risåsen;exakt
rd;14801097;Majorna-Linné, Sveaplan;Oförändrad;14800857;Linnéstaden, Sveaplan;exakt
rd;14801101;Centrum, Framnäs;Modifierad;;;ingen FGVAL
rd;14801102;Centrum, Fredriksdal;Modifierad;;;ingen FGVAL
rd;14801103;Centrum, Fridkullagatan m fl;Modifierad;;;ingen FGVAL
rd;14801104;Centrum, Getebergsäng;Modifierad;;;ingen FGVAL
rd;14801105;Centrum, Kristinehöjd;Modifierad;;;ingen FGVAL
rd;14801106;Centrum, Krokslätt;Modifierad;;;ingen FGVAL
rd;14801107;Centrum, Mossen;Modifierad;;;ingen FGVAL
rd;14801108;Centrum, Olofshöjd;Oförändrad;14800714;Centrum, Olofshöjd;exakt
rd;14801111;Centrum, Eklanda;Oförändrad;14800723;Centrum, Eklanda;exakt
rd;14801112;Centrum, Johanneberg, Nedre;Oförändrad;14800721;Centrum, Nedre Johanneberg;exakt
rd;14801113;Centrum, Johanneberg, Södra;Oförändrad;14800724;Centrum, Södra Johanneberg;exakt
rd;14801114;Centrum, Johanneberg, Övre;Oförändrad;14800722;Centrum, Övre Johanneberg;exakt
rd;14801121;Centrum, Landala;Oförändrad;14800732;Centrum, Landala;exakt
rd;14801122;Centrum, Landalabergen m fl;Modifierad;;;ingen FGVAL
rd;14801123;Centrum, Landalagången m fl;Modifierad;;;ingen FGVAL
rd;14801131;Centrum, Doktor Forselius gata m fl;Oförändrad;14800746;Centrum, Doktor Forselius gata m fl;exakt
rd;14801132;Centrum, Guldheden vattentornet;Oförändrad;14800741;Centrum, Guldheden vattentornet;exakt
rd;14801133;Centrum, Guldheden, Centrala;Oförändrad;14800742;Centrum, Centrala Guldheden;exakt
rd;14801134;Centrum, Guldheden, Norra;Oförändrad;14800743;Centrum, Norra Guldheden;exakt
rd;14801135;Centrum, Guldheden, Södra;Oförändrad;14800745;Centrum, Södra Guldheden;exakt
rd;14801136;Centrum, Landala Egnahem;Oförändrad;14800744;Centrum, Landala Egnahem;exakt
rd;14801141;Centrum, Lorensberg;Oförändrad;14800751;Centrum, Lorensberg;exakt
rd;14801151;Centrum, Valand;Oförändrad;14800763;Centrum, Valand;exakt
rd;14801152;Centrum, Vasastaden, Norra;Oförändrad;14800762;Centrum, Norra Vasastaden;exakt
rd;14801153;Centrum, Vasastaden, Södra;Oförändrad;14800761;Centrum, Södra Vasastaden;exakt
rd;14801154;Centrum, Vasastaden, Östra;Oförändrad;14800764;Centrum, Östra Vasastaden;exakt
rd;14801161;Centrum, Inom Vallgraven;Oförändrad;14800771;Centrum, Inom Vallgraven;exakt
rd;14801162;Centrum, Nordstan-Otterhällan;Oförändrad;14800772;Centrum, Nordstan-Otterhällan;exakt
rd;14801171;Centrum, Friggagatan-Stampen;Oförändrad;14800783;Centrum, Friggagatan-Stampen;exakt
rd;14801172;Centrum, Gullbergsvass-Svingeln;Modifierad;;;ingen FGVAL
rd;14801173;Centrum, Gårda, Norra;Modifierad;;;ingen FGVAL
rd;14801174;Centrum, Odinsgatan-Stampen;Oförändrad;14800781;Centrum, Odinsgatan-Stampen;exakt
rd;14801181;Centrum, Bohusgatan m fl;Modifierad;;;ingen FGVAL
rd;14801182;Centrum, Gårda, Södra;Modifierad;;;ingen FGVAL
rd;14801183;Centrum, Heden;Modifierad;;;ingen FGVAL
rd;14801184;Centrum, Hedås;Modifierad;;;ingen FGVAL
rd;14802011;Örgryte-Härlanda, Gubbero;Modifierad;;;ingen FGVAL
rd;14802012;Örgryte-Härlanda, Olskroken;Oförändrad;14800612;Örgryte, Olskroken;exakt
rd;14802013;Örgryte-Härlanda, Redberget;Modifierad;;;ingen FGVAL
rd;14802014;Örgryte-Härlanda, Redbergsplatsen;Modifierad;;;ingen FGVAL
rd;14802021;Örgryte-Härlanda, Bagaregården;Oförändrad;14800621;Örgryte, Bagaregården;exakt
rd;14802022;Örgryte-Härlanda, Ånäs;Oförändrad;14800622;Örgryte, Ånäs;exakt
rd;14802031;Örgryte-Härlanda, Redbergslid;Oförändrad;14800632;Örgryte, Redbergslid;exakt
rd;14802032;Örgryte-Härlanda, Strömmensberg;Oförändrad;14800631;Örgryte, Strömmensberg;exakt
rd;14802041;Örgryte-Härlanda, Kallebäck, Västra;Modifierad;;;ingen FGVAL
rd;14802042;Örgryte-Härlanda, Kallebäck, Östra;Modifierad;;;ingen FGVAL
rd;14802051;Örgryte-Härlanda, Jakobsdal;Oförändrad;14800652;Örgryte, Jakobsdal;exakt
rd;14802052;Örgryte-Härlanda, Skår, Norra;Oförändrad;14800653;Örgryte, Norra Skår;exakt
rd;14802053;Örgryte-Härlanda, Skår, Södra;Oförändrad;14800651;Örgryte, Södra Skår;exakt
rd;14802061;Örgryte-Härlanda, Bö;Oförändrad;14800662;Örgryte, Bö;exakt
rd;14802062;Örgryte-Härlanda, Örgryte;Oförändrad;14800661;Örgryte, Örgryte;exakt
rd;14802071;Örgryte-Härlanda, Torp;Oförändrad;14800671;Örgryte, Torp;exakt
rd;14802081;Örgryte-Härlanda, Kärralund;Oförändrad;14800686;Örgryte, Kärralund;exakt
rd;14802082;Örgryte-Härlanda, Lunden, Gamla;Oförändrad;14800682;Örgryte, Gamla Lunden;exakt
rd;14802083;Örgryte-Härlanda, Lunden, Nya;Oförändrad;14800685;Örgryte, Nya Lunden-Prästgårdsängen;exakt
rd;14802084;Örgryte-Härlanda, Nobelplatsen;Oförändrad;14800683;Örgryte, Nobelplatsen;exakt
rd;14802085;Örgryte-Härlanda, Sankt Pauli;Oförändrad;14800684;Örgryte, Sankt Pauli;exakt
rd;14802086;Örgryte-Härlanda, Överås;Oförändrad;14800681;Örgryte, Överås;exakt
rd;14802091;Örgryte-Härlanda, Härlanda;Oförändrad;14800511;Härlanda, Härlanda;exakt
rd;14802101;Örgryte-Härlanda, Kålltorp, Norra;Modifierad;;;ingen FGVAL
rd;14802102;Örgryte-Härlanda, Kålltorp, Södra;Modifierad;;;ingen FGVAL
rd;14802103;Örgryte-Härlanda, Kålltorp, Västra;Modifierad;;;ingen FGVAL
rd;14802104;Örgryte-Härlanda, Kålltorp, Östra;Oförändrad;14800523;Härlanda, Östra Kålltorp;exakt
rd;14802105;Örgryte-Härlanda, Munkebäck, Norra;Modifierad;;;ingen FGVAL
rd;14802106;Örgryte-Härlanda, Munkebäck, Södra;Modifierad;;;ingen FGVAL
rd;14802111;Örgryte-Härlanda, Fräntorp;Modifierad;;;ingen FGVAL
rd;14802112;Örgryte-Härlanda, Torpa;Modifierad;;;ingen FGVAL
rd;14802121;Örgryte-Härlanda, Björkekärr, Norra;Modifierad;;;ingen FGVAL
rd;14802122;Örgryte-Härlanda, Björkekärr, Södra;Modifierad;;;ingen FGVAL
rd;14802123;Örgryte-Härlanda, Björkekärr, Västra;Modifierad;;;ingen FGVAL
rd;14802124;Örgryte-Härlanda, Björkekärr, Östra;Modifierad;;;ingen FGVAL
rd;14802125;Örgryte-Härlanda, Robertshöjd m fl;Modifierad;;;ingen FGVAL
rd;14803011;Östra Göteborg, Bellevue;Modifierad;;;ingen FGVAL
rd;14803012;Östra Göteborg, Gamlestaden;Modifierad;;;ingen FGVAL
rd;14803013;Östra Göteborg, Kviberg, Västra;Modifierad;;;ingen FGVAL
rd;14803014;Östra Göteborg, Kviberg, Östra;Modifierad;;;ingen FGVAL
rd;14803015;Östra Göteborg, Nylöse;Oförändrad;14800312;Kortedala, Nylöse;exakt
rd;14803021;Östra Göteborg, Fjällbo;Modifierad;;;ingen FGVAL
rd;14803022;Östra Göteborg, Utby;Oförändrad;14800322;Kortedala, Utby;exakt
rd;14803023;Östra Göteborg, Utbynäs;Modifierad;;;ingen FGVAL
rd;14803031;Östra Göteborg, Gregorianska g. m fl;Oförändrad;14800331;Kortedala, Gregorianska gatan m fl;exakt
rd;14803032;Östra Göteborg, Kortedala Centrum;Oförändrad;14800334;Kortedala, Kortedala Centrum;exakt
rd;14803033;Östra Göteborg, Kortedala, Södra;Oförändrad;14800335;Kortedala, Södra Kortedala;exakt
rd;14803034;Östra Göteborg, Kortedala, Västra;Oförändrad;14800332;Kortedala, Västra Kortedala;exakt
rd;14803035;Östra Göteborg, Kortedala, Östra;Oförändrad;14800333;Kortedala, Östra Kortedala;exakt
rd;14803041;Östra Göteborg, Adventsparken;Oförändrad;14800341;Kortedala, Adventsparken;exakt
rd;14803042;Östra Göteborg, Kortedala, Norra;Oförändrad;14800342;Kortedala, Norra Kortedala;exakt
rd;14803043;Östra Göteborg, Månadsgatorna m fl;Oförändrad;14800343;Kortedala, Månadsgatorna m fl;exakt
rd;14803051;Östra Göteborg, Bergsjön, Norra;Oförändrad;14800414;Bergsjön, Norra Bergsjön;exakt
rd;14803052;Östra Göteborg, Gärdsmosse;Oförändrad;14800413;Bergsjön, Gärdsmosse;exakt
rd;14803053;Östra Göteborg, Gärdsås;Oförändrad;14800411;Bergsjön, Gärdsås;exakt
rd;14803054;Östra Göteborg, Siriusgatan;Oförändrad;14800412;Bergsjön, Siriusgatan;exakt
rd;14803061;Östra Göteborg, Bergsjön, Södra;Oförändrad;14800421;Bergsjön, Södra Bergsjön;exakt
rd;14803062;Östra Göteborg, Bergsjön, Östra;Oförändrad;14800422;Bergsjön, Östra Bergsjön;exakt
rd;14803063;Östra Göteborg, Komettorget;Oförändrad;14800424;Bergsjön, Komettorget;exakt
rd;14803064;Östra Göteborg, Rymdtorget;Oförändrad;14800423;Bergsjön, Rymdtorget;exakt
rd;14804021;Lundby, Bjurslätt;Oförändrad;14801822;Lundby, Bjurslätt;exakt
rd;14804022;Lundby, Flunsås;Oförändrad;14801821;Lundby, Flunsås;exakt
rd;14804023;Lundby, Kvillebäcken, Norra;Oförändrad;14801823;Lundby, Norra Kvillebäcken;exakt
rd;14804024;Lundby, Kvillebäcken, Södra;Modifierad;;;ingen FGVAL
rd;14804025;Lundby, Kvillebäcken, Östra;Modifierad;;;ingen FGVAL
