ar;lokalid;lokal;totalt;antal_dagar;forsta_dag;sista_dag;rang_goteborg;andel_goteborg_procent;storsta_dag_antal;storsta_dag;antal_valdagen
2010;6868;Altplatsens äldreboende;42;1;2010-09-12;2010-09-12;46;0.03;42;2010-09-12;0
2010;6869;Annedals äldreboende;36;1;2010-09-12;2010-09-12;50;0.03;36;2010-09-12;0
2010;6870;Backadalens äldreboende;27;1;2010-09-12;2010-09-12;63;0.02;27;2010-09-12;0
2010;6871;Backahus;22;1;2010-09-12;2010-09-12;75;0.02;22;2010-09-12;0
2010;6873;Bergsjöhöjds boende;58;1;2010-09-12;2010-09-12;39;0.04;58;2010-09-12;0
2010;6874;Bjurslätts äldreboende;12;1;2010-09-12;2010-09-12;89;0.01;12;2010-09-12;0
2010;6875;Bjöla äldreboende;20;1;2010-09-12;2010-09-12;76;0.01;20;2010-09-12;0
2010;6876;Björkekärrs hus;42;1;2010-09-12;2010-09-12;46;0.03;42;2010-09-12;0
2010;6877;Björkåshemmet;23;1;2010-09-12;2010-09-12;71;0.02;23;2010-09-12;0
2010;6878;Bräcke Västergård;32;1;2010-09-12;2010-09-12;55;0.02;32;2010-09-12;0
2010;6879;Dicksons hus;60;1;2010-09-12;2010-09-12;37;0.04;60;2010-09-12;0
2010;6881;Ekparkens äldreboende;19;1;2010-09-12;2010-09-12;77;0.01;19;2010-09-12;0
2010;6882;Fiskebäcks äldreboende/Capio;30;1;2010-09-12;2010-09-12;58;0.02;30;2010-09-12;0
2010;6883;Fjällyckan/Utbyberg;110;1;2010-09-12;2010-09-12;33;0.08;110;2010-09-12;0
2010;6884;Flatås gård;6;1;2010-09-12;2010-09-12;98;0.00;6;2010-09-12;0
2010;6885;Fogdegårdens äldreboende;31;1;2010-09-12;2010-09-12;56;0.02;31;2010-09-12;0
2010;6886;Fridkulla äldreboende;26;1;2010-09-12;2010-09-12;66;0.02;26;2010-09-12;0
2010;6887;Fyrväpplingens äldreboende;28;1;2010-09-12;2010-09-12;60;0.02;28;2010-09-12;0
2010;6888;Gerdas Gård;27;1;2010-09-12;2010-09-12;63;0.02;27;2010-09-12;0
2010;6891;Granlidens äldreboende;19;1;2010-09-12;2010-09-12;77;0.01;19;2010-09-12;0
2010;6892;Grevegårdens äldreboende;26;1;2010-09-12;2010-09-12;66;0.02;26;2010-09-12;0
2010;6894;Gunnareds äldreboende;10;1;2010-09-12;2010-09-12;91;0.01;10;2010-09-12;0
2010;6896;Häktet Polishuset;53;1;2010-09-12;2010-09-12;40;0.04;53;2010-09-12;0
2010;6897;Högsbo sjukhus/SU Geriatrik;28;1;2010-09-12;2010-09-12;60;0.02;28;2010-09-12;0
2010;6899;KVA Högsbo;60;1;2010-09-12;2010-09-12;37;0.04;60;2010-09-12;0
2010;6900;KVA Skogome;73;1;2010-09-12;2010-09-12;35;0.05;73;2010-09-12;0
2010;6903;Kaverös Äng;37;1;2010-09-12;2010-09-12;48;0.03;37;2010-09-12;0
2010;6904;Krokslätts äldreboende/Örgrytehemmet;76;1;2010-09-12;2010-09-12;34;0.05;76;2010-09-12;0
2010;6905;Kvibergs äldreboende;31;1;2010-09-12;2010-09-12;56;0.02;31;2010-09-12;0
2010;6906;Kyrkbyhemmet;36;1;2010-09-12;2010-09-12;50;0.03;36;2010-09-12;0
2010;6908;Kålltorps äldreboende;37;1;2010-09-12;2010-09-12;48;0.03;37;2010-09-12;0
2010;6910;Lillekärrs äldreboende;18;1;2010-09-12;2010-09-12;80;0.01;18;2010-09-12;0
2010;6911;Lotsens äldreboende, Attendo Care;11;1;2010-09-12;2010-09-12;90;0.01;11;2010-09-12;0
2010;6912;Lövgärdets äldreboende;23;1;2010-09-12;2010-09-12;71;0.02;23;2010-09-12;0
2010;6913;Majstångshemmet  äldreboende;9;1;2010-09-12;2010-09-12;95;0.01;9;2010-09-12;0
2010;6915;Nya Varvets äldreboende;17;1;2010-09-12;2010-09-12;83;0.01;17;2010-09-12;0
2010;6916;Rättspsyk. avd  Gbg  (RMV);8;1;2010-09-12;2010-09-12;96;0.01;8;2010-09-12;0
2010;6918;Rättspsykiatrin avd 921;17;1;2010-09-12;2010-09-12;83;0.01;17;2010-09-12;0
2010;6922;Sekelbo äldreboende;15;1;2010-09-12;2010-09-12;87;0.01;15;2010-09-12;0
2010;6924;Äldreboendet Solängsvägen 55/57;50;1;2010-09-12;2010-09-12;43;0.04;50;2010-09-12;0
2010;6925;Solängen;14;1;2010-09-12;2010-09-12;88;0.01;14;2010-09-12;0
2010;6926;Stiftelsen Neuberghska ålderdomshemm;19;1;2010-09-12;2010-09-12;77;0.01;19;2010-09-12;0
2010;6927;Otium, stiftelsen;24;1;2010-09-12;2010-09-12;69;0.02;24;2010-09-12;0
2010;6928;Styrsöhemmet;10;1;2010-09-12;2010-09-12;91;0.01;10;2010-09-12;0
2010;6929;Svaleboskogens  äldreboende;51;1;2010-09-12;2010-09-12;42;0.04;51;2010-09-12;0
2010;6932;Uggledals äldreboende;28;1;2010-09-12;2010-09-12;60;0.02;28;2010-09-12;0
2010;6933;Vasahemmet;27;1;2010-09-12;2010-09-12;63;0.02;27;2010-09-12;0
2010;6937;Kostern äldreboende;10;1;2010-09-12;2010-09-12;91;0.01;10;2010-09-12;0
2010;6939;Åkerhus äldreboende;52;1;2010-09-12;2010-09-12;41;0.04;52;2010-09-12;0
2010;6940;Änggårdsbackens äldreboende tre stif;66;1;2010-09-12;2010-09-12;36;0.05;66;2010-09-12;0
2010;8296;Tuve bibliotek;1948;12;2010-09-01;2010-09-17;19;1.41;315;2010-09-16;0
2010;8323;Bokbussarna;0;0;;;101;0.00;0;;0
2010;8324;Kyrkbyns bibliotek;1240;10;2010-09-01;2010-09-16;23;0.89;257;2010-09-13;0
2010;8325;Biskopsgårdens bibliotek;3011;15;2010-09-01;2010-09-18;13;2.17;336;2010-09-16;0
