ar;lokalid;lokal;datum;antal
2018;6868;Altplatsens äldreboende;2018-08-22;0
2018;6868;Altplatsens äldreboende;2018-08-23;0
2018;6868;Altplatsens äldreboende;2018-08-24;0
2018;6868;Altplatsens äldreboende;2018-08-25;0
2018;6868;Altplatsens äldreboende;2018-08-26;0
2018;6868;Altplatsens äldreboende;2018-08-27;21
2018;6868;Altplatsens äldreboende;2018-08-28;0
2018;6868;Altplatsens äldreboende;2018-08-29;0
2018;6868;Altplatsens äldreboende;2018-08-30;0
2018;6868;Altplatsens äldreboende;2018-08-31;0
2018;6868;Altplatsens äldreboende;2018-09-01;0
2018;6868;Altplatsens äldreboende;2018-09-02;0
2018;6868;Altplatsens äldreboende;2018-09-03;0
2018;6868;Altplatsens äldreboende;2018-09-04;0
2018;6868;Altplatsens äldreboende;2018-09-05;0
2018;6868;Altplatsens äldreboende;2018-09-06;0
2018;6868;Altplatsens äldreboende;2018-09-07;0
2018;6868;Altplatsens äldreboende;2018-09-08;0
2018;6868;Altplatsens äldreboende;2018-09-09;0
2018;6868;Altplatsens äldreboende;totalt;21
2018;6871;Backahus;2018-08-22;0
2018;6871;Backahus;2018-08-23;0
2018;6871;Backahus;2018-08-24;0
2018;6871;Backahus;2018-08-25;0
2018;6871;Backahus;2018-08-26;0
2018;6871;Backahus;2018-08-27;0
2018;6871;Backahus;2018-08-28;28
2018;6871;Backahus;2018-08-29;0
2018;6871;Backahus;2018-08-30;0
2018;6871;Backahus;2018-08-31;0
2018;6871;Backahus;2018-09-01;0
2018;6871;Backahus;2018-09-02;0
2018;6871;Backahus;2018-09-03;0
2018;6871;Backahus;2018-09-04;0
2018;6871;Backahus;2018-09-05;0
2018;6871;Backahus;2018-09-06;0
2018;6871;Backahus;2018-09-07;0
2018;6871;Backahus;2018-09-08;0
2018;6871;Backahus;2018-09-09;0
2018;6871;Backahus;totalt;28
2018;6873;Bergsjöhöjds boende;2018-08-22;0
2018;6873;Bergsjöhöjds boende;2018-08-23;0
2018;6873;Bergsjöhöjds boende;2018-08-24;0
2018;6873;Bergsjöhöjds boende;2018-08-25;0
2018;6873;Bergsjöhöjds boende;2018-08-26;0
2018;6873;Bergsjöhöjds boende;2018-08-27;0
2018;6873;Bergsjöhöjds boende;2018-08-28;0
2018;6873;Bergsjöhöjds boende;2018-08-29;0
2018;6873;Bergsjöhöjds boende;2018-08-30;0
2018;6873;Bergsjöhöjds boende;2018-08-31;0
2018;6873;Bergsjöhöjds boende;2018-09-01;0
2018;6873;Bergsjöhöjds boende;2018-09-02;0
2018;6873;Bergsjöhöjds boende;2018-09-03;49
2018;6873;Bergsjöhöjds boende;2018-09-04;0
2018;6873;Bergsjöhöjds boende;2018-09-05;0
2018;6873;Bergsjöhöjds boende;2018-09-06;0
2018;6873;Bergsjöhöjds boende;2018-09-07;0
2018;6873;Bergsjöhöjds boende;2018-09-08;0
2018;6873;Bergsjöhöjds boende;2018-09-09;0
2018;6873;Bergsjöhöjds boende;totalt;49
2018;6876;Björkekärrs hus;2018-08-22;23
2018;6876;Björkekärrs hus;2018-08-23;0
2018;6876;Björkekärrs hus;2018-08-24;0
2018;6876;Björkekärrs hus;2018-08-25;0
2018;6876;Björkekärrs hus;2018-08-26;0
2018;6876;Björkekärrs hus;2018-08-27;0
2018;6876;Björkekärrs hus;2018-08-28;0
2018;6876;Björkekärrs hus;2018-08-29;0
2018;6876;Björkekärrs hus;2018-08-30;0
2018;6876;Björkekärrs hus;2018-08-31;0
2018;6876;Björkekärrs hus;2018-09-01;0
2018;6876;Björkekärrs hus;2018-09-02;0
2018;6876;Björkekärrs hus;2018-09-03;0
2018;6876;Björkekärrs hus;2018-09-04;0
2018;6876;Björkekärrs hus;2018-09-05;0
2018;6876;Björkekärrs hus;2018-09-06;0
2018;6876;Björkekärrs hus;2018-09-07;0
2018;6876;Björkekärrs hus;2018-09-08;0
2018;6876;Björkekärrs hus;2018-09-09;0
2018;6876;Björkekärrs hus;totalt;23
2018;6877;Björkåshemmet;2018-08-22;0
2018;6877;Björkåshemmet;2018-08-23;0
2018;6877;Björkåshemmet;2018-08-24;0
2018;6877;Björkåshemmet;2018-08-25;0
2018;6877;Björkåshemmet;2018-08-26;0
2018;6877;Björkåshemmet;2018-08-27;0
2018;6877;Björkåshemmet;2018-08-28;0
2018;6877;Björkåshemmet;2018-08-29;0
2018;6877;Björkåshemmet;2018-08-30;13
2018;6877;Björkåshemmet;2018-08-31;0
2018;6877;Björkåshemmet;2018-09-01;0
2018;6877;Björkåshemmet;2018-09-02;0
2018;6877;Björkåshemmet;2018-09-03;0
2018;6877;Björkåshemmet;2018-09-04;0
2018;6877;Björkåshemmet;2018-09-05;0
