ar;lokalid;lokal;omrade;placering;totalt;antal_dagar;rang_goteborg;andel_goteborg_procent
2010;6869;Annedals äldreboende;Annedal;nära, Annedal, Carl Grimbergsgatan 11 enligt vallokalsfilen 2014, institutionsröstning;36;1;50;0.03
2010;6913;Majstångshemmet  äldreboende;osäker;placering inte verifierad, adress saknas i källan, institutionsröstning;9;1;95;0.01
2010;6926;Stiftelsen Neuberghska ålderdomshemm;osäker;placering inte verifierad, adress saknas i källan, institutionsröstning;19;1;77;0.01
2010;6929;Svaleboskogens  äldreboende;Majorna;i Kungsladugård (Svaleboskogen), adress saknas i källan, allmän kännedom, institutionsröstning;51;1;42;0.04
2010;6940;Änggårdsbackens äldreboende tre stif;Änggården;nära, Änggården, adress saknas i källan, allmän kännedom, institutionsröstning;66;1;36;0.05
2010;8351;Linnéstadens bibliotek;Linné;nära, Linnéstaden (Tredje Långgatan), adress saknas i källan, allmän kännedom;5244;15;4;3.78
2010;8357;Majornas bibliotek;Majorna;i Majorna (Chapmans torg), adress saknas i källan, allmän kännedom;4585;16;7;3.31
2010;12807;Dalheimers hus;Majorna;i Majorna, Slottskogsgatan 12 enligt vallokalsfilen 2010 och 2014;1221;13;24;0.88
2010;14133;Gråbergets vård- och äldreboende;Majorna;i Majorna (Gråberget), Stortoppsgatan 2 enligt vallokalsfilen 2010 och 2018, institutionsröstning;34;1;53;0.02
2010;14137;Vegahusen 55;Linné;nära, Linnéplatsen, Vegagatan 55 enligt vallokalsfilen 2014 och 2018, institutionsröstning;23;1;71;0.02
2014;6926;Stiftelsen Neuberghska ålderdomshemm;osäker;placering inte verifierad, adress saknas i källan, institutionsröstning;30;1;43;0.02
2014;6929;Svaleboskogens  äldreboende;Majorna;i Kungsladugård (Svaleboskogen), adress saknas i källan, allmän kännedom, institutionsröstning;23;1;51;0.02
2014;6940;Änggårdsbackens äldreboende tre stif;Änggården;nära, Änggården, adress saknas i källan, allmän kännedom, institutionsröstning;61;1;33;0.04
2014;8351;Linnéstadens bibliotek;Linné;nära, Linnéstaden (Tredje Långgatan), adress saknas i källan, allmän kännedom;6940;15;4;4.53
2014;8357;Majornas bibliotek;Majorna;i Majorna (Chapmans torg), adress saknas i källan, allmän kännedom;6667;16;5;4.35
2014;14223;Stiftelsen Vegahusen 55;Linné;nära, Linnéplatsen, Vegagatan 55 enligt vallokalsfilen 2014 och 2018, institutionsröstning;111;1;29;0.07
2014;14228;Gråbergets vård och äldreboende;Majorna;i Majorna (Gråberget), Stortoppsgatan 2 enligt vallokalsfilen 2010 och 2018, institutionsröstning;28;2;45;0.02
2018;6926;Stiftelsen Neuberghska ålderdomshem;osäker;placering inte verifierad, adress saknas i källan, institutionsröstning;17;1;67;0.01
2018;6929;Svaleboskogens  äldreboende;Majorna;i Kungsladugård (Svaleboskogen), adress saknas i källan, allmän kännedom, institutionsröstning;23;1;60;0.01
2018;6940;Änggårdsbackens äldreboende tre stif;Änggården;nära, Änggården, adress saknas i källan, allmän kännedom, institutionsröstning;30;1;51;0.02
2018;8351;Linnéstadens bibliotek;Linné;nära, Linnéstaden (Tredje Långgatan), adress saknas i källan, allmän kännedom;9464;16;4;5.88
2018;8357;Majornas bibliotek;Majorna;i Majorna (Chapmans torg), adress saknas i källan, allmän kännedom;7470;16;7;4.64
2018;15638;Annedals äldreboende;Annedal;nära, Annedal, Carl Grimbergsgatan 11 enligt vallokalsfilen 2014, institutionsröstning;34;1;45;0.02
