ar;datum;dag_nr;dagar_till_valdag;veckodag;goteborg;goteborg_lokaler_med_roster;riket_summarad_kalla
2010;2010-09-01;1;18;Wed;4450;32;73399
2010;2010-09-02;2;17;Thu;5377;32;86461
2010;2010-09-03;3;16;Fri;5026;31;77307
2010;2010-09-04;4;15;Sat;2717;13;38308
2010;2010-09-05;5;14;Sun;2028;6;16427
2010;2010-09-06;6;13;Mon;6636;31;110475
2010;2010-09-07;7;12;Tue;6358;32;101311
2010;2010-09-08;8;11;Wed;6026;31;110320
2010;2010-09-09;9;10;Thu;6923;31;120019
2010;2010-09-10;10;9;Fri;4594;16;110470
2010;2010-09-11;11;8;Sat;4473;15;67659
2010;2010-09-12;12;7;Sun;5406;62;53264
2010;2010-09-13;13;6;Mon;11806;31;201196
2010;2010-09-14;14;5;Tue;10687;31;200278
2010;2010-09-15;15;4;Wed;12199;31;229779
2010;2010-09-16;16;3;Thu;15175;33;260136
2010;2010-09-17;17;2;Fri;15207;30;274592
2010;2010-09-18;18;1;Sat;9867;14;155972
2010;2010-09-19;19;0;Sun;3622;12;90266
2010;totalt;;;;138577;105;2377639
2014;2014-08-27;1;18;Wed;4375;27;80952
2014;2014-08-28;2;17;Thu;6083;28;99376
2014;2014-08-29;3;16;Fri;4851;31;82510
2014;2014-08-30;4;15;Sat;2965;16;41678
2014;2014-08-31;5;14;Sun;2136;6;22379
2014;2014-09-01;6;13;Mon;7283;31;122399
2014;2014-09-02;7;12;Tue;6954;34;121202
2014;2014-09-03;8;11;Wed;6779;33;124545
2014;2014-09-04;9;10;Thu;7086;32;128580
2014;2014-09-05;10;9;Fri;6227;32;114168
2014;2014-09-06;11;8;Sat;5219;21;73608
2014;2014-09-07;12;7;Sun;3880;6;57846
2014;2014-09-08;13;6;Mon;11521;31;212845
2014;2014-09-09;14;5;Tue;13215;31;230194
2014;2014-09-10;15;4;Wed;14360;27;267306
2014;2014-09-11;16;3;Thu;17437;31;298504
2014;2014-09-12;17;2;Fri;16923;30;310096
2014;2014-09-13;18;1;Sat;12795;19;195362
2014;2014-09-14;19;0;Sun;3022;1;89065
2014;totalt;;;;153111;72;2672615
2018;2018-08-22;1;18;Wed;5466;29;87914
2018;2018-08-23;2;17;Thu;6286;30;103268
2018;2018-08-24;3;16;Fri;4729;29;91113
2018;2018-08-25;4;15;Sat;2762;11;47811
2018;2018-08-26;5;14;Sun;1637;4;34097
2018;2018-08-27;6;13;Mon;7129;38;132889
2018;2018-08-28;7;12;Tue;7444;37;133304
2018;2018-08-29;8;11;Wed;7392;35;140525
2018;2018-08-30;9;10;Thu;7582;36;141957
2018;2018-08-31;10;9;Fri;6940;35;127459
2018;2018-09-01;11;8;Sat;5294;17;84911
2018;2018-09-02;12;7;Sun;3394;4;76961
2018;2018-09-03;13;6;Mon;13088;31;224689
2018;2018-09-04;14;5;Tue;13967;30;246707
2018;2018-09-05;15;4;Wed;15357;29;284735
2018;2018-09-06;16;3;Thu;18926;31;324693
2018;2018-09-07;17;2;Fri;18298;29;329492
2018;2018-09-08;18;1;Sat;12888;17;220345
2018;2018-09-09;19;0;Sun;2346;1;85202
2018;totalt;;;;160925;81;2918072
