kod_2022;namn_2022;klass_2022;antal_2010;kod_2010;namn_2010;andel_av_2022;andel_av_2010;overlapp_m2;huvudkalla
14800526;Västra Centrum, Svalebo;omritning;2;14800911;Majorna, Svalebo;0.6633;0.8144;229841.6;ja
14800526;Västra Centrum, Svalebo;omritning;2;14800921;Majorna, Sandarne;0.3366;0.0825;116626.7;ja
14800527;Västra Centrum, Skytteskogen;omritning;2;14800912;Majorna, Skytteskogen;0.8488;0.7718;294219.9;ja
14800527;Västra Centrum, Skytteskogen;omritning;2;14800911;Majorna, Svalebo;0.1511;0.1856;52387.5;ja
14800528;Västra Centrum, Kungsladugård Östra;omritning;2;14800913;Majorna, Kungsladugård;0.8444;0.8048;112807.4;ja
14800528;Västra Centrum, Kungsladugård Östra;omritning;2;14800912;Majorna, Skytteskogen;0.1531;0.0536;20450.2;ja
14800528;Västra Centrum, Kungsladugård Östra;omritning;2;14800936;Majorna, Godhem;0.0024;0.0032;315.1;nej
14800529;Västra Centrum, Kungsladugård Västra;omritning;3;14800912;Majorna, Skytteskogen;0.6435;0.1595;60822.1;ja
14800529;Västra Centrum, Kungsladugård Västra;omritning;3;14800913;Majorna, Kungsladugård;0.2892;0.1950;27334.7;ja
14800529;Västra Centrum, Kungsladugård Västra;omritning;3;14800914;Majorna, Mariaplan;0.0673;0.0572;6357.1;ja
14800530;Västra Centrum, Mariaplan;omritning;2;14800914;Majorna, Mariaplan;0.9393;0.7987;88828.1;ja
14800530;Västra Centrum, Mariaplan;omritning;2;14800912;Majorna, Skytteskogen;0.0602;0.0149;5695.0;ja
14800531;Västra Centrum, Silverkällan;delning;1;14800915;Majorna, Silverkällan;0.9998;0.3346;59897.6;ja
14800532;Västra Centrum, Sannaplan;omritning;3;14800921;Majorna, Sandarne;0.6532;0.0566;80073.8;ja
14800532;Västra Centrum, Sannaplan;omritning;3;14800915;Majorna, Silverkällan;0.2848;0.1950;34908.1;ja
14800532;Västra Centrum, Sannaplan;omritning;3;14800914;Majorna, Mariaplan;0.0620;0.0683;7595.6;ja
14800533;Västra Centrum, Sandarne;delning;1;14800921;Majorna, Sandarne;0.9999;0.8538;1207701.4;ja
14800534;Västra Centrum, Klippan;omritning;3;14800916;Majorna, Klippan;0.7920;0.8738;358198.8;ja
14800534;Västra Centrum, Klippan;omritning;3;14800915;Majorna, Silverkällan;0.1862;0.4704;84201.0;ja
14800534;Västra Centrum, Klippan;omritning;3;14800921;Majorna, Sandarne;0.0218;0.0070;9861.4;ja
14800535;Västra Centrum, Gröna Vallen;omritning;2;14800916;Majorna, Klippan;0.8782;0.1237;50711.9;ja
14800535;Västra Centrum, Gröna Vallen;omritning;2;14800914;Majorna, Mariaplan;0.1217;0.0632;7030.3;ja
14800536;Västra Centrum, Kusttorget;omritning;3;14800932;Majorna, Majorna;0.7864;0.9313;367726.9;ja
14800536;Västra Centrum, Kusttorget;omritning;3;14800931;Majorna, Slottsskogsgatan m fl;0.1422;0.2689;66508.8;ja
14800536;Västra Centrum, Kusttorget;omritning;3;14800935;Majorna, Marieberg;0.0713;0.1981;33327.9;ja
14800537;Västra Centrum, Chapmans Torg;omritning;2;14800931;Majorna, Slottsskogsgatan m fl;0.6260;0.1834;45352.3;ja
14800537;Västra Centrum, Chapmans Torg;omritning;2;14800932;Majorna, Majorna;0.3739;0.0686;27088.4;ja
14800538;Västra Centrum, Slottsskogsgat. m fl;omritning;3;14800931;Majorna, Slottsskogsgatan m fl;0.9197;0.5129;126848.4;ja
14800538;Västra Centrum, Slottsskogsgat. m fl;omritning;3;14800936;Majorna, Godhem;0.0373;0.0523;5139.9;ja
14800538;Västra Centrum, Slottsskogsgat. m fl;omritning;3;14800934;Majorna, Gråberget;0.0260;0.0175;3588.7;ja
14800538;Västra Centrum, Slottsskogsgat. m fl;omritning;3;14800914;Majorna, Mariaplan;0.0101;0.0125;1386.5;nej
14800538;Västra Centrum, Slottsskogsgat. m fl;omritning;3;14800916;Majorna, Klippan;0.0069;0.0023;952.2;nej
14800539;Västra Centrum, Gråberget Västra;omritning;2;14800934;Majorna, Gråberget;0.9200;0.4810;98601.1;ja
14800539;Västra Centrum, Gråberget Västra;omritning;2;14800931;Majorna, Slottsskogsgatan m fl;0.0799;0.0346;8563.8;ja
14800540;Västra Centrum, Gråberget Östra;omritning;2;14800934;Majorna, Gråberget;0.6111;0.5014;102786.4;ja
14800540;Västra Centrum, Gråberget Östra;omritning;2;14800935;Majorna, Marieberg;0.3887;0.3886;65378.8;ja
14800541;Västra Centrum, Godhem;omritning;2;14800936;Majorna, Godhem;0.9535;0.9444;92866.7;ja
14800541;Västra Centrum, Godhem;omritning;2;14800942;Majorna, Karl Johans torg;0.0451;0.0352;4391.3;ja
14800541;Västra Centrum, Godhem;omritning;2;14800941;Majorna, Söderlingska ängen;0.0012;0.0009;120.9;nej
