kod_2022;namn_2022;klass_2022;antal_2018;kod_2018;namn_2018;andel_av_2022;andel_av_2018;overlapp_m2;huvudkalla
14800501;Västra Centrum, Långgatorna;identisk;1;14801094;Majorna-Linné, Långgatorna;0.9999;0.9999;243126.3;ja
14800502;Västra Centrum, Masthuggstorget;identisk;1;14801053;Majorna-Linné, Masthuggstorget;0.9999;0.9828;218509.1;ja
14800503;Västra Centrum, Stigberget;identisk;1;14801057;Majorna-Linné, Stigberget;0.9999;0.9999;118795.1;ja
14800504;Västra Centrum, Masthugget Övre;delning;1;14801052;Majorna-Linné, Masthugget, Övre;0.9997;0.9364;91084.3;ja
14800505;Västra Centrum, Masthugget Nedre;omritning;2;14801051;Majorna-Linné, Masthugget, Nedre;0.9117;0.9996;63405.4;ja
14800505;Västra Centrum, Masthugget Nedre;omritning;2;14801052;Majorna-Linné, Masthugget, Övre;0.0883;0.0631;6137.7;ja
14800506;Västra Centrum, Oscar Fredrik;omritning;2;14801054;Majorna-Linné, Oscar Fredrik;0.9472;0.9998;68520.0;ja
14800506;Västra Centrum, Oscar Fredrik;omritning;2;14801053;Majorna-Linné, Masthuggstorget;0.0526;0.0171;3801.9;ja
14800507;Västra Centrum, Sjömansgatan m fl;identisk;1;14801055;Majorna-Linné, Sjömansgatan m fl;0.9988;0.9996;52012.9;ja
14800508;Västra Centrum, Vegastaden;delning;1;14801058;Majorna-Linné, Vegastaden;0.9999;0.8779;54915.7;ja
14800509;Västra Centrum, Slottsskogen;identisk;1;14801056;Majorna-Linné, Slottsskogen;0.9999;0.9998;55040.6;ja
14800510;Västra Centrum, Linnéplatsen;delning;1;14801093;Majorna-Linné, Linnéplatsen;0.9998;0.7947;42233.9;ja
14800511;Västra Centrum, Sveaplan;delning;1;14801098;Majorna-Linné, Sveaplan;0.9943;0.6927;29168.3;ja
14800511;Västra Centrum, Sveaplan;delning;1;14801093;Majorna-Linné, Linnéplatsen;0.0053;0.0029;156.6;nej
14800512;Västra Centrum, Kommendantsängen;omritning;3;14801097;Majorna-Linné, Risåsen;0.3906;0.2341;12601.9;ja
14800512;Västra Centrum, Kommendantsängen;omritning;3;14801091;Majorna-Linné, Kommendantsängen;0.3662;0.3306;11814.9;ja
14800512;Västra Centrum, Kommendantsängen;omritning;3;14801098;Majorna-Linné, Sveaplan;0.2431;0.1863;7843.3;ja
14800513;Västra Centrum, Linné;omritning;3;14801092;Majorna-Linné, Linné;0.5197;0.3539;16045.1;ja
14800513;Västra Centrum, Linné;omritning;3;14801093;Majorna-Linné, Linnéplatsen;0.3482;0.2023;10749.7;ja
14800513;Västra Centrum, Linné;omritning;3;14801098;Majorna-Linné, Sveaplan;0.1322;0.0969;4081.1;ja
14800514;Västra Centrum, Nordhem;omritning;2;14801092;Majorna-Linné, Linné;0.6033;0.6461;29291.1;ja
14800514;Västra Centrum, Nordhem;omritning;2;14801095;Majorna-Linné, Olivedal;0.3954;0.3636;19198.9;ja
14800515;Västra Centrum, Risåsen;omritning;2;14801097;Majorna-Linné, Risåsen;0.5506;0.5667;30502.8;ja
14800515;Västra Centrum, Risåsen;omritning;2;14801091;Majorna-Linné, Kommendantsängen;0.4312;0.6684;23888.1;ja
14800515;Västra Centrum, Risåsen;omritning;2;14801098;Majorna-Linné, Sveaplan;0.0183;0.0240;1012.0;nej
14800516;Västra Centrum, Olivedal;omritning;2;14801095;Majorna-Linné, Olivedal;0.8154;0.6363;33596.9;ja
