kod_2018;namn_2018;indelning_officiell;klass_geo;antal_2014_stora;storsta_kod_2014;andel_av_2018;andel_av_2014;samma_kod_och_yta
14801011;Majorna-Linné, Gröna Vallen;M;omritning;2;14801013;0.5586;0.5186;nej
14801012;Majorna-Linné, Klippan;M;omritning;2;14801011;0.8125;0.8888;nej
14801013;Majorna-Linné, Kungsladugård, Västra;M;omritning;3;14801015;0.5460;0.1478;nej
14801014;Majorna-Linné, Kungsladugård, Östra;M;delning;1;14801012;1.0000;0.8791;nej
14801015;Majorna-Linné, Mariaplan;M;omritning;2;14801014;0.6888;0.2921;nej
14801016;Majorna-Linné, Skytteskogen;M;omritning;2;14801015;0.8864;0.8522;nej
14801017;Majorna-Linné, Svalebo;M;omritning;2;14801016;0.6735;0.8524;nej
14801021;Majorna-Linné, Sandarne;M;delning;1;14801021;1.0000;0.8674;nej
14801022;Majorna-Linné, Silverkällan;M;omritning;2;14801021;0.6247;0.0502;nej
14801031;Majorna-Linné, Chapmans Torg;M;omritning;2;14801034;0.7148;0.1065;nej
14801032;Majorna-Linné, Godhem;O;identisk;1;14801031;1.0000;1.0000;nej
14801033;Majorna-Linné, Gråberget, Västra;M;omritning;2;14801032;0.5810;0.4157;nej
14801034;Majorna-Linné, Gråberget, Östra;M;omritning;2;14801032;0.9333;0.5843;nej
14801035;Majorna-Linné, Hängmattan;M;delning;1;14801033;1.0000;0.7104;nej
14801036;Majorna-Linné, Majorna;M;omritning;2;14801034;0.9288;0.8935;nej
14801037;Majorna-Linné, Marieberg;M;delning;1;14801035;1.0000;0.5446;nej
14801038;Majorna-Linné, Slottsskogsgatan m fl;M;delning;1;14801036;1.0000;0.8128;nej
14801041;Majorna-Linné, Djurgårdsgatan m fl;M;delning;1;14801041;1.0000;0.6124;nej
14801042;Majorna-Linné, Gatenhielmska;O;identisk;1;14801042;1.0000;1.0000;ja
14801043;Majorna-Linné, Karl Johans torg;M;omritning;2;14801044;0.5945;0.6199;nej
14801044;Majorna-Linné, Klareborgsgatan m fl;M;delning;1;14801043;1.0000;0.5336;nej
14801045;Majorna-Linné, Söderlingska ängen;M;omritning;2;14801044;0.5844;0.3801;nej
14801051;Majorna-Linné, Masthugget, Nedre;M;delning;1;14801051;1.0000;0.7350;nej
14801052;Majorna-Linné, Masthugget, Övre;M;omritning;2;14801052;0.6572;0.7005;nej
14801053;Majorna-Linné, Masthuggstorget;O;identisk;1;14801053;1.0000;1.0000;ja
14801054;Majorna-Linné, Oscar Fredrik;M;omritning;2;14801054;0.6664;0.6490;nej
14801055;Majorna-Linné, Sjömansgatan m fl;M;omritning;2;14801052;0.5253;0.2995;nej
14801056;Majorna-Linné, Slottsskogen;O;identisk;1;14801055;1.0000;1.0000;nej
14801057;Majorna-Linné, Stigberget;M;delning;1;14801056;1.0000;0.7808;nej
