kod;namn;area_m2;andel_i_majorna;andel_av_majorna;klass
14801021;Majorna-Linné, Sandarne;1414424.6;0.9999;0.3038;inne
14801034;Majorna-Linné, Majorna;486072.0;0.9999;0.1044;inne
14801011;Majorna-Linné, Klippan;409944.1;1.0000;0.0881;inne
14801015;Majorna-Linné, Skytteskogen;381233.2;1.0000;0.0819;inne
14801016;Majorna-Linné, Svalebo;282234.5;1.0000;0.0606;inne
14801032;Majorna-Linné, Gråberget;204979.3;1.0000;0.0440;inne
14801042;Majorna-Linné, Gatenhielmska;181894.0;0.9999;0.0391;inne
14801014;Majorna-Linné, Silverkällan;179009.3;1.0000;0.0385;inne
14801036;Majorna-Linné, Slottsskogsgatan m fl;156090.1;1.0000;0.0335;inne
14801012;Majorna-Linné, Kungsladugård;140163.3;1.0000;0.0301;inne
14801044;Majorna-Linné, Söderlingska ängen;137687.3;1.0000;0.0296;inne
14801035;Majorna-Linné, Marieberg;134947.7;1.0000;0.0290;inne
14801043;Majorna-Linné, Karl Johans torg;124806.9;1.0000;0.0268;inne
14801033;Majorna-Linné, Hängmattan;115040.9;1.0000;0.0247;inne
14801013;Majorna-Linné, Mariaplan;111209.6;1.0000;0.0239;inne
14801031;Majorna-Linné, Godhem;98338.9;1.0000;0.0211;inne
14801041;Majorna-Linné, Djurgårdsgatan m fl;96022.3;1.0000;0.0206;inne
