kod_2014;namn_2014;kod_2018;namn_2018;procent_officiell;andel_av_2014_geo;andel_av_2018_geo;diff_geo_minus_officiell;status;indelning_2018
14801011;Majorna-Linné, Klippan;14801012;Majorna-Linné, Klippan;55.8;0.8888;0.8125;0.3308;bada;M
14801011;Majorna-Linné, Klippan;14801011;Majorna-Linné, Gröna Vallen;44.2;0.1112;0.4414;-0.3308;bada;M
14801012;Majorna-Linné, Kungsladugård;14801014;Majorna-Linné, Kungsladugård, Östra;78.3;0.8791;1.0000;0.0961;bada;M
14801012;Majorna-Linné, Kungsladugård;14801013;Majorna-Linné, Kungsladugård, Västra;21.7;0.1209;0.1642;-0.0961;bada;M
14801013;Majorna-Linné, Mariaplan;14801011;Majorna-Linné, Gröna Vallen;46.6;0.5186;0.5586;0.0526;bada;M
14801013;Majorna-Linné, Mariaplan;14801013;Majorna-Linné, Kungsladugård, Västra;31.6;0.2690;0.2898;-0.0470;bada;M
14801013;Majorna-Linné, Mariaplan;14801015;Majorna-Linné, Mariaplan;21.8;0.2124;0.3112;-0.0056;bada;M
14801014;Majorna-Linné, Silverkällan;14801015;Majorna-Linné, Mariaplan;47.1;0.2921;0.6888;-0.1789;bada;M
14801014;Majorna-Linné, Silverkällan;14801022;Majorna-Linné, Silverkällan;39.8;0.2383;0.3753;-0.1597;bada;M
14801014;Majorna-Linné, Silverkällan;14801012;Majorna-Linné, Klippan;13.1;0.4696;0.1875;0.3386;bada;M
14801015;Majorna-Linné, Skytteskogen;14801016;Majorna-Linné, Skytteskogen;70.5;0.8522;0.8864;0.1472;bada;M
14801015;Majorna-Linné, Skytteskogen;14801013;Majorna-Linné, Kungsladugård, Västra;29.5;0.1478;0.5460;-0.1472;bada;M
14801016;Majorna-Linné, Svalebo;14801017;Majorna-Linné, Svalebo;84.6;0.8524;0.6735;0.0064;bada;M
14801016;Majorna-Linné, Svalebo;14801016;Majorna-Linné, Skytteskogen;15.4;0.1476;0.1136;-0.0064;bada;M
14801021;Majorna-Linné, Sandarne;14801021;Majorna-Linné, Sandarne;65.7;0.8674;1.0000;0.2104;bada;M
14801021;Majorna-Linné, Sandarne;14801022;Majorna-Linné, Silverkällan;28.5;0.0502;0.6247;-0.2348;bada;M
14801021;Majorna-Linné, Sandarne;14801017;Majorna-Linné, Svalebo;5.8;0.0825;0.3265;0.0245;bada;M
14801031;Majorna-Linné, Godhem;14801032;Majorna-Linné, Godhem;100.0;1.0000;1.0000;-0.0000;bada;O
14801032;Majorna-Linné, Gråberget;14801034;Majorna-Linné, Gråberget, Östra;54.5;0.5843;0.9333;0.0393;bada;M
14801032;Majorna-Linné, Gråberget;14801033;Majorna-Linné, Gråberget, Västra;45.5;0.4157;0.5810;-0.0393;bada;M
