kod_2010;namn_2010;kod_2022;namn_2022;overlapp_m2;andel_av_2010;andel_av_2022
14800111;Gunnared, Lövgärdets Centrum;14800125;Nordöstra Göteborg, Lövgärdet C;449216.2;0.8893;0.9994
14800111;Gunnared, Lövgärdets Centrum;14800126;Nordöstra Göteborg, Senapsgatan m fl;36759.7;0.0728;0.4932
14800111;Gunnared, Lövgärdets Centrum;14800127;Nordöstra Göteborg, Mejramgatan m fl;18641.3;0.0369;0.1700
14800111;Gunnared, Lövgärdets Centrum;14800129;Nordöstra Göteborg, Lövgärdet Nedre;479.0;0.0009;0.0001
14800111;Gunnared, Lövgärdets Centrum;14800128;Nordöstra Göteborg, Lövgärdet Övre;36.3;0.0001;0.0001
14800111;Gunnared, Lövgärdets Centrum;14800124;Nordöstra Göteborg, Gårdsten Norra;1.8;0.0000;0.0000
14800111;Gunnared, Lövgärdets Centrum;14800119;Nordöstra Göteborg, Gårdsten Västra;0.0;0.0000;0.0000
14800112;Gunnared, Övre Lövgärdet;14800128;Nordöstra Göteborg, Lövgärdet Övre;585381.1;0.8653;0.9998
14800112;Gunnared, Övre Lövgärdet;14800127;Nordöstra Göteborg, Mejramgatan m fl;90995.8;0.1345;0.8300
14800112;Gunnared, Övre Lövgärdet;14800125;Nordöstra Göteborg, Lövgärdet C;108.1;0.0002;0.0002
14800112;Gunnared, Övre Lövgärdet;14800129;Nordöstra Göteborg, Lövgärdet Nedre;0.1;0.0000;0.0000
14800113;Gunnared, Nedre Lövgärdet;14800129;Nordöstra Göteborg, Lövgärdet Nedre;5528790.4;0.9686;0.9999
14800113;Gunnared, Nedre Lövgärdet;14800130;Nordöstra Göteborg, Trädgårdsgärdet;96580.6;0.0169;0.0887
14800113;Gunnared, Nedre Lövgärdet;14800126;Nordöstra Göteborg, Senapsgatan m fl;37771.3;0.0066;0.5068
14800113;Gunnared, Nedre Lövgärdet;14800122;Nordöstra Göteborg, Gårdsten Östra;17304.0;0.0030;0.0554
14800113;Gunnared, Nedre Lövgärdet;14800131;Nordöstra Göteborg, Titteridamm;15550.0;0.0027;0.0237
14800113;Gunnared, Nedre Lövgärdet;14800124;Nordöstra Göteborg, Gårdsten Norra;11550.5;0.0020;0.0503
14800113;Gunnared, Nedre Lövgärdet;14800125;Nordöstra Göteborg, Lövgärdet C;140.0;0.0000;0.0003
14800113;Gunnared, Nedre Lövgärdet;14800101;Nordöstra Göteborg, Bergum;74.3;0.0000;0.0000
14800113;Gunnared, Nedre Lövgärdet;14800128;Nordöstra Göteborg, Lövgärdet Övre;53.3;0.0000;0.0001
14800113;Gunnared, Nedre Lövgärdet;14800134;Nordöstra Göteborg, Rannebergen N;0.8;0.0000;0.0000
14800121;Gunnared, Södra Rannebergen;14800132;Nordöstra Göteborg, Rannebergen S;263986.9;0.6164;0.9056
14800121;Gunnared, Södra Rannebergen;14800133;Nordöstra Göteborg, Rannebergen C;158449.3;0.3700;0.7330
14800121;Gunnared, Södra Rannebergen;14800105;Nordöstra Göteborg, Linnarhult;5573.2;0.0130;0.0012
14800121;Gunnared, Södra Rannebergen;14800131;Nordöstra Göteborg, Titteridamm;245.0;0.0006;0.0004
14800121;Gunnared, Södra Rannebergen;14800134;Nordöstra Göteborg, Rannebergen N;9.3;0.0000;0.0000
14800122;Gunnared, Norra Rannebergen;14800134;Nordöstra Göteborg, Rannebergen N;4075895.5;0.9762;1.0000
14800122;Gunnared, Norra Rannebergen;14800133;Nordöstra Göteborg, Rannebergen C;57720.7;0.0138;0.2670
14800122;Gunnared, Norra Rannebergen;14800132;Nordöstra Göteborg, Rannebergen S;27443.9;0.0066;0.0941
14800122;Gunnared, Norra Rannebergen;14800104;Nordöstra Göteborg, Gunnilse;13916.0;0.0033;0.0011
14800122;Gunnared, Norra Rannebergen;14800129;Nordöstra Göteborg, Lövgärdet Nedre;100.2;0.0000;0.0000
14800122;Gunnared, Norra Rannebergen;14800101;Nordöstra Göteborg, Bergum;8.2;0.0000;0.0000
14800122;Gunnared, Norra Rannebergen;14800131;Nordöstra Göteborg, Titteridamm;6.2;0.0000;0.0000
14800122;Gunnared, Norra Rannebergen;14800105;Nordöstra Göteborg, Linnarhult;0.7;0.0000;0.0000
14800131;Gunnared, Västra Gårdsten;14800119;Nordöstra Göteborg, Gårdsten Västra;485976.9;0.8659;0.6344
14800131;Gunnared, Västra Gårdsten;14800120;Nordöstra Göteborg, Gårdsten Södra;74491.5;0.1327;0.2226
14800131;Gunnared, Västra Gårdsten;14800123;Nordöstra Göteborg, Gårdstensdalen;430.2;0.0008;0.0037
14800131;Gunnared, Västra Gårdsten;14800121;Nordöstra Göteborg, Gårdsten Centrum;345.2;0.0006;0.0019
14800131;Gunnared, Västra Gårdsten;14800118;Nordöstra Göteborg, Agnesberg;1.0;0.0000;0.0000
14800131;Gunnared, Västra Gårdsten;14800122;Nordöstra Göteborg, Gårdsten Östra;0.0;0.0000;0.0000
14800132;Gunnared, Norra Gårdsten;14800119;Nordöstra Göteborg, Gårdsten Västra;279754.0;0.4789;0.3652
14800132;Gunnared, Norra Gårdsten;14800124;Nordöstra Göteborg, Gårdsten Norra;192347.8;0.3293;0.8371
14800132;Gunnared, Norra Gårdsten;14800123;Nordöstra Göteborg, Gårdstensdalen;111399.5;0.1907;0.9683
14800132;Gunnared, Norra Gårdsten;14800122;Nordöstra Göteborg, Gårdsten Östra;593.9;0.0010;0.0019
14800132;Gunnared, Norra Gårdsten;14800125;Nordöstra Göteborg, Lövgärdet C;25.4;0.0000;0.0001
14800133;Gunnared, Östra Gårdsten;14800122;Nordöstra Göteborg, Gårdsten Östra;294212.3;0.7089;0.9425
14800133;Gunnared, Östra Gårdsten;14800121;Nordöstra Göteborg, Gårdsten Centrum;91406.4;0.2203;0.5081
14800133;Gunnared, Östra Gårdsten;14800124;Nordöstra Göteborg, Gårdsten Norra;25882.5;0.0624;0.1126
14800133;Gunnared, Östra Gårdsten;14800123;Nordöstra Göteborg, Gårdstensdalen;3220.3;0.0078;0.0280
14800133;Gunnared, Östra Gårdsten;14800119;Nordöstra Göteborg, Gårdsten Västra;270.4;0.0007;0.0004
14800133;Gunnared, Östra Gårdsten;14800130;Nordöstra Göteborg, Trädgårdsgärdet;10.2;0.0000;0.0000
14800133;Gunnared, Östra Gårdsten;14800120;Nordöstra Göteborg, Gårdsten Södra;5.5;0.0000;0.0000
14800134;Gunnared, Södra Gårdsten;14800120;Nordöstra Göteborg, Gårdsten Södra;260097.7;0.7468;0.7772
14800134;Gunnared, Södra Gårdsten;14800121;Nordöstra Göteborg, Gårdsten Centrum;88155.3;0.2531;0.4900
14800134;Gunnared, Södra Gårdsten;14800122;Nordöstra Göteborg, Gårdsten Östra;13.8;0.0000;0.0000
14800134;Gunnared, Södra Gårdsten;14800119;Nordöstra Göteborg, Gårdsten Västra;6.8;0.0000;0.0000
14800141;Gunnared, Angereds Centrum;14800106;Nordöstra Göteborg, Angereds Centrum;1201135.3;0.8704;0.9552
14800141;Gunnared, Angereds Centrum;14800131;Nordöstra Göteborg, Titteridamm;141159.3;0.1023;0.2148
14800141;Gunnared, Angereds Centrum;14800130;Nordöstra Göteborg, Trädgårdsgärdet;37542.9;0.0272;0.0345
14800141;Gunnared, Angereds Centrum;14800132;Nordöstra Göteborg, Rannebergen S;39.0;0.0000;0.0001
14800141;Gunnared, Angereds Centrum;14800118;Nordöstra Göteborg, Agnesberg;22.7;0.0000;0.0000
14800141;Gunnared, Angereds Centrum;14800105;Nordöstra Göteborg, Linnarhult;9.2;0.0000;0.0000
14800141;Gunnared, Angereds Centrum;14800107;Nordöstra Göteborg, Storås;1.1;0.0000;0.0000
14800142;Gunnared, Trädgårdsgärdet;14800130;Nordöstra Göteborg, Trädgårdsgärdet;954601.3;0.6317;0.8768
14800142;Gunnared, Trädgårdsgärdet;14800131;Nordöstra Göteborg, Titteridamm;500334.7;0.3311;0.7612
14800142;Gunnared, Trädgårdsgärdet;14800106;Nordöstra Göteborg, Angereds Centrum;56196.3;0.0372;0.0447
14800142;Gunnared, Trädgårdsgärdet;14800122;Nordöstra Göteborg, Gårdsten Östra;34.0;0.0000;0.0001
14800142;Gunnared, Trädgårdsgärdet;14800118;Nordöstra Göteborg, Agnesberg;8.5;0.0000;0.0000
14800142;Gunnared, Trädgårdsgärdet;14800120;Nordöstra Göteborg, Gårdsten Södra;5.5;0.0000;0.0000
14800142;Gunnared, Trädgårdsgärdet;14800134;Nordöstra Göteborg, Rannebergen N;1.9;0.0000;0.0000
14800142;Gunnared, Trädgårdsgärdet;14800129;Nordöstra Göteborg, Lövgärdet Nedre;0.0;0.0000;0.0000
14800211;Lärjedalen, Agnesberg;14800118;Nordöstra Göteborg, Agnesberg;3365985.6;0.9961;0.6979
14800211;Lärjedalen, Agnesberg;14800116;Nordöstra Göteborg, Skolspåret;12961.3;0.0038;0.0814
14800211;Lärjedalen, Agnesberg;14800120;Nordöstra Göteborg, Gårdsten Södra;77.2;0.0000;0.0002
14800211;Lärjedalen, Agnesberg;14800119;Nordöstra Göteborg, Gårdsten Västra;48.9;0.0000;0.0001
14800211;Lärjedalen, Agnesberg;14800130;Nordöstra Göteborg, Trädgårdsgärdet;31.0;0.0000;0.0000
14800211;Lärjedalen, Agnesberg;14801010;Norra Hisingen, Bäckebol Norra;28.8;0.0000;0.0000
14800211;Lärjedalen, Agnesberg;14801007;Norra Hisingen, Kärra Västra;24.1;0.0000;0.0000
14800211;Lärjedalen, Agnesberg;14801005;Norra Hisingen, Kärra Östra;22.3;0.0000;0.0000
14800211;Lärjedalen, Agnesberg;14801003;Norra Hisingen, Gerrebacka-Ingebäck;0.1;0.0000;0.0000
14800221;Lärjedalen, Västra Hammarkullen;14800118;Nordöstra Göteborg, Agnesberg;1046370.7;0.7654;0.2169
14800221;Lärjedalen, Västra Hammarkullen;14800112;Nordöstra Göteborg, Hammarkullen V;215420.8;0.1576;0.8292
14800221;Lärjedalen, Västra Hammarkullen;14800109;Nordöstra Göteborg, Hammarkullen C;43801.6;0.0320;0.2527
14800221;Lärjedalen, Västra Hammarkullen;14800114;Nordöstra Göteborg, Bläsebo;35654.6;0.0261;0.0725
14800221;Lärjedalen, Västra Hammarkullen;14800115;Nordöstra Göteborg, Hjällbo Norra;22808.1;0.0167;0.1487
14800221;Lärjedalen, Västra Hammarkullen;14800110;Nordöstra Göteborg, Hammarkullen Ö;3027.3;0.0022;0.0347
14800221;Lärjedalen, Västra Hammarkullen;14800116;Nordöstra Göteborg, Skolspåret;31.9;0.0000;0.0002
14800222;Lärjedalen, Östra Hammarkullen;14800118;Nordöstra Göteborg, Agnesberg;251379.2;0.4282;0.0521
14800222;Lärjedalen, Östra Hammarkullen;14800107;Nordöstra Göteborg, Storås;143266.9;0.2440;0.1040
14800222;Lärjedalen, Östra Hammarkullen;14800109;Nordöstra Göteborg, Hammarkullen C;129525.6;0.2206;0.7473
14800222;Lärjedalen, Östra Hammarkullen;14800110;Nordöstra Göteborg, Hammarkullen Ö;62949.7;0.1072;0.7212
14800222;Lärjedalen, Östra Hammarkullen;14800112;Nordöstra Göteborg, Hammarkullen V;0.1;0.0000;0.0000
14800223;Lärjedalen, Sandeslätt;14800107;Nordöstra Göteborg, Storås;1233759.3;0.7578;0.8959
14800223;Lärjedalen, Sandeslätt;14800111;Nordöstra Göteborg, Sandeslätt;138981.9;0.0854;0.9182
14800223;Lärjedalen, Sandeslätt;14800118;Nordöstra Göteborg, Agnesberg;136603.3;0.0839;0.0283
14800223;Lärjedalen, Sandeslätt;14800108;Nordöstra Göteborg, Eriksbo Östra;52410.2;0.0322;0.0798
14800223;Lärjedalen, Sandeslätt;14800112;Nordöstra Göteborg, Hammarkullen V;42447.9;0.0261;0.1634
14800223;Lärjedalen, Sandeslätt;14800110;Nordöstra Göteborg, Hammarkullen Ö;21313.4;0.0131;0.2442
14800223;Lärjedalen, Sandeslätt;14800105;Nordöstra Göteborg, Linnarhult;1727.2;0.0011;0.0004
14800223;Lärjedalen, Sandeslätt;14800113;Nordöstra Göteborg, Eriksbo Västra;768.9;0.0005;0.0015
14800223;Lärjedalen, Sandeslätt;14800106;Nordöstra Göteborg, Angereds Centrum;89.8;0.0001;0.0001
14800231;Lärjedalen, Gunnilse-Linnarhult;14800104;Nordöstra Göteborg, Gunnilse;9320296.0;0.6751;0.7143
14800231;Lärjedalen, Gunnilse-Linnarhult;14800105;Nordöstra Göteborg, Linnarhult;4471170.5;0.3239;0.9970
14800231;Lärjedalen, Gunnilse-Linnarhult;14800101;Nordöstra Göteborg, Bergum;13639.8;0.0010;0.0004
14800231;Lärjedalen, Gunnilse-Linnarhult;14800107;Nordöstra Göteborg, Storås;107.0;0.0000;0.0001
14800231;Lärjedalen, Gunnilse-Linnarhult;14800134;Nordöstra Göteborg, Rannebergen N;95.5;0.0000;0.0000
14800231;Lärjedalen, Gunnilse-Linnarhult;14800106;Nordöstra Göteborg, Angereds Centrum;91.3;0.0000;0.0001
14800231;Lärjedalen, Gunnilse-Linnarhult;14800103;Nordöstra Göteborg, Björsared;81.4;0.0000;0.0000
14800231;Lärjedalen, Gunnilse-Linnarhult;14800201;Östra Göteborg, Rymdtorget;58.5;0.0000;0.0000
14800231;Lärjedalen, Gunnilse-Linnarhult;14800132;Nordöstra Göteborg, Rannebergen S;40.6;0.0000;0.0001
14800231;Lärjedalen, Gunnilse-Linnarhult;14800202;Östra Göteborg, Gärdsmosse;1.2;0.0000;0.0000
14800251;Lärjedalen, Björsared-Knipared;14800101;Nordöstra Göteborg, Bergum;37721528.5;0.8679;0.9769
14800251;Lärjedalen, Björsared-Knipared;14800104;Nordöstra Göteborg, Gunnilse;3713469.0;0.0854;0.2846
14800251;Lärjedalen, Björsared-Knipared;14800103;Nordöstra Göteborg, Björsared;2030015.8;0.0467;0.7483
14800251;Lärjedalen, Björsared-Knipared;14800102;Nordöstra Göteborg, Olofstorp;57.3;0.0000;0.0000
14800251;Lärjedalen, Björsared-Knipared;14800134;Nordöstra Göteborg, Rannebergen N;3.8;0.0000;0.0000
