ar;val;kod_2010;namn_2010;indelning;kod_2006;namn_2006;traffar
2010;rd;14800711;Centrum, Burås;;14805306;Krokslätt 6;1
2010;rd;14800742;Centrum, Centrala Guldheden;;14805106;Guldheden 6;1
2010;rd;14800746;Centrum, Doktor Forselius gata m fl;;14805103;Guldheden 3;1
2010;rd;14800723;Centrum, Eklanda;;14805201;Johanneberg-Landala 1;1
2010;rd;14800713;Centrum, Framnäs;;14805305;Krokslätt 5;1
2010;rd;14800783;Centrum, Friggagatan-Stampen;;14805802;Stampen-Heden 2;1
2010;rd;14800717;Centrum, Getebergsäng;;14805301;Krokslätt 1;1
2010;rd;14800741;Centrum, Guldheden vattentornet;;14805105;Guldheden 5;1
2010;rd;14800782;Centrum, Gullbergsvass-Svingeln;;14805801;Stampen-Heden 1;1
2010;rd;14800791;Centrum, Hedås-Gårda;;14805806;Stampen-Heden 6;1
2010;rd;14800771;Centrum, Inom Vallgraven;;14806002;Vasastaden-Centrum 2;1
2010;rd;14800716;Centrum, Kristinehöjd;;14805302;Krokslätt 2;1
2010;rd;14800715;Centrum, Krokslätt;;14805303;Krokslätt 3;1
2010;rd;14800732;Centrum, Landala;;14805206;Johanneberg-Landala 6;1
2010;rd;14800744;Centrum, Landala Egnahem;;14805102;Guldheden 2;1
2010;rd;14800731;Centrum, Landalabergen m fl;;14805207;Johanneberg-Landala 7;1
2010;rd;14800733;Centrum, Landalagången m fl;;14805205;Johanneberg-Landala 5;1
2010;rd;14800751;Centrum, Lorensberg;;14806007;Vasastaden-Centrum 7;1
2010;rd;14800712;Centrum, Mossen;;14805307;Krokslätt 7;1
2010;rd;14800721;Centrum, Nedre Johanneberg;;14805204;Johanneberg-Landala 4;1
2010;rd;14800772;Centrum, Nordstan-Otterhällan;;14806001;Vasastaden-Centrum 1;1
2010;rd;14800743;Centrum, Norra Guldheden;;14805101;Guldheden 1;1
2010;rd;14800793;Centrum, Norra Heden-Gårda;;14805804;Stampen-Heden 4;1
2010;rd;14800762;Centrum, Norra Vasastaden;;14806004;Vasastaden-Centrum 4;1
2010;rd;14800781;Centrum, Odinsgatan-Stampen;;14805803;Stampen-Heden 3;1
2010;rd;14800714;Centrum, Olofshöjd;;14805304;Krokslätt 4;1
2010;rd;14800745;Centrum, Södra Guldheden;;14805104;Guldheden 4;1
2010;rd;14800792;Centrum, Södra Heden;;14805805;Stampen-Heden 5;1
2010;rd;14800724;Centrum, Södra Johanneberg;;14805202;Johanneberg-Landala 2;1
2010;rd;14800761;Centrum, Södra Vasastaden;;14806006;Vasastaden-Centrum 6;1
2010;rd;14800763;Centrum, Valand;;14806003;Vasastaden-Centrum 3;1
2010;rd;14800764;Centrum, Östra Vasastaden;;14806005;Vasastaden-Centrum 5;1
2010;rd;14800722;Centrum, Övre Johanneberg;;14805203;Johanneberg-Landala 3;1
2010;rd;14800841;Linnéstaden, Annedal;;14805004;Annedal-Haga 4;1
2010;rd;14800832;Linnéstaden, Haga;;14805001;Annedal-Haga 1;1
2010;rd;14800856;Linnéstaden, Kommendantsängen;;14805603;Olivedal 3;1
2010;rd;14800854;Linnéstaden, Linné;;14805607;Olivedal 7;1
2010;rd;14800851;Linnéstaden, Linnéplatsen;;14805605;Olivedal 5;1
2010;rd;14800853;Linnéstaden, Långgatorna;;14805601;Olivedal 1;1
2010;rd;14800813;Linnéstaden, Masthuggstorget;;14805501;Masthugget 1;1
2010;rd;14800814;Linnéstaden, Nedre Masthugget;;14805507;Masthugget 7;1
2010;rd;14800842;Linnéstaden, Nilssonsberg;;14805003;Annedal-Haga 3;1
2010;rd;14800852;Linnéstaden, Olivedal;;14805606;Olivedal 6;1
2010;rd;14800815;Linnéstaden, Oscar Fredrik;;14805502;Masthugget 2;1
2010;rd;14800855;Linnéstaden, Risåsen;;14805602;Olivedal 2;1
2010;rd;14800831;Linnéstaden, Skansberget;;14805002;Annedal-Haga 2;1
2010;rd;14800817;Linnéstaden, Slottsskogen;;14805504;Masthugget 4;1
2010;rd;14800812;Linnéstaden, Stigberget;;14805506;Masthugget 6;1
2010;rd;14800857;Linnéstaden, Sveaplan;;14805604;Olivedal 4;1
2010;rd;14800816;Linnéstaden, Vegastaden;;14805503;Masthugget 3;1
2010;rd;14800821;Linnéstaden, Änggården;;14805005;Annedal-Haga 5;1
2010;rd;14800811;Linnéstaden, Övre Masthugget;;14805505;Masthugget 5;1
2010;rd;14800943;Majorna, Djurgårdsgatan m fl;;14805902;Stigberget 2;1
2010;rd;14800944;Majorna, Gatenhielmska;;14805901;Stigberget 1;1
2010;rd;14800942;Majorna, Karl Johans torg;;14805904;Stigberget 4;1
2010;rd;14800941;Majorna, Söderlingska ängen;;14805903;Stigberget 3;1
2010;rd;14800682;Örgryte, Gamla Lunden;;14805402;Lunden 2;1
2010;rd;14800611;Örgryte, Gubbero;;14805701;Olskroken 1;1
2010;rd;14800686;Örgryte, Kärralund;;14805406;Lunden 6;1
2010;rd;14800683;Örgryte, Nobelplatsen;;14805404;Lunden 4;1
2010;rd;14800685;Örgryte, Nya Lunden-Prästgårdsängen;;14805405;Lunden 5;1
2010;rd;14800612;Örgryte, Olskroken;;14805702;Olskroken 2;1
2010;rd;14800613;Örgryte, Redberget;;14805703;Olskroken 3;1
2010;rd;14800684;Örgryte, Sankt Pauli;;14805403;Lunden 3;1
2010;rd;14800681;Örgryte, Överås;;14805401;Lunden 1;1
2010;rd;14800003;Onsdagsdistrikt;;;;0
2010;rd;14802013;Backa, Aröd;;14800103;Backa-Brunnsbo 3;1
2010;rd;14802022;Backa, Backa Röd;;14800104;Backa-Brunnsbo 4;1
2010;rd;14802032;Backa, Backadalen;;14801302;Skälltorp-Skogome 2;1
2010;rd;14802012;Backa, Brunnsbo;;14800102;Backa-Brunnsbo 2;1
2010;rd;14802031;Backa, Bäckebol;;14801301;Skälltorp-Skogome 1;1
2010;rd;14802024;Backa, Bällskär;;14800106;Backa-Brunnsbo 6;1
2010;rd;14802023;Backa, Norra Backa;;14800105;Backa-Brunnsbo 5;1
2010;rd;14802033;Backa, Selma Lagerlöfs torg;;14801303;Skälltorp-Skogome 3;1
2010;rd;14802041;Backa, Skogome-Sankt Jörgen;;14801306;Skälltorp-Skogome 6;1
2010;rd;14802034;Backa, Skälltorp;;14801304;Skälltorp-Skogome 4;1
2010;rd;14802021;Backa, Södra Backa;;14800107;Backa-Brunnsbo 7;1
2010;rd;14802011;Backa, Tingstad;;14800101;Backa-Brunnsbo 1;1
2010;rd;14802035;Backa, Åketorp;;14801305;Skälltorp-Skogome 5;1
2010;rd;14801732;Biskopsgården, Badvädersgatan m fl;;14800604;Jättesten-Svartedalen 4;1
2010;rd;14801751;Biskopsgården, Jättesten;;14800603;Jättesten-Svartedalen 3;1
2010;rd;14801753;Biskopsgården, Kärrsmossen;;14800601;Jättesten-Svartedalen 1;1
2010;rd;14801722;Biskopsgården, Länsmansgårdens Centr;;14801002;Länsmansgården 2;1
2010;rd;14801712;Biskopsgården, Norra Biskopsgården;;14800206;Biskopsgården 6;1
2010;rd;14801723;Biskopsgården, Norra Länsmansgården;;14801003;Länsmansgården 3;1
2010;rd;14801731;Biskopsgården, Stackmolnsgatan m fl;;14800605;Jättesten-Svartedalen 5;1
2010;rd;14801711;Biskopsgården, Svarte Mosse;;14800205;Biskopsgården 5;1
2010;rd;14801752;Biskopsgården, Svartedalen;;14800602;Jättesten-Svartedalen 2;1
2010;rd;14801741;Biskopsgården, Södra Biskopsgården;;14800203;Biskopsgården 3;1
2010;rd;14801721;Biskopsgården, Södra Länsmansgården;;14801001;Länsmansgården 1;1
2010;rd;14801743;Biskopsgården, Treröset;;14800201;Biskopsgården 1;1
2010;rd;14801744;Biskopsgården, Vårväderstorget;;14800202;Biskopsgården 2;1
2010;rd;14801742;Biskopsgården, Väderlekstorget;;14800204;Biskopsgården 4;1
2010;rd;14802112;Kärra-Rödbo, Gerrebacka-Ingebäck;;14800805;Kärra-Rödbo 5;1
2010;rd;14802111;Kärra-Rödbo, Mysterna-Svankällan;;14800806;Kärra-Rödbo 6;1
2010;rd;14802114;Kärra-Rödbo, Norra Kärra;;14800804;Kärra-Rödbo 4;1
2010;rd;14802121;Kärra-Rödbo, Rödbo;;14800807;Kärra-Rödbo 7;1
2010;rd;14802116;Kärra-Rödbo, Södra Kärra;;14800802;Kärra-Rödbo 2;1
2010;rd;14802113;Kärra-Rödbo, Västra Kärra;;14800801;Kärra-Rödbo 1;1
2010;rd;14802115;Kärra-Rödbo, Östra Kärra;;14800803;Kärra-Rödbo 3;1
2010;rd;14801822;Lundby, Bjurslätt;;14800704;Kvillebäcken 4;1
2010;rd;14801821;Lundby, Flunsås;;14800703;Kvillebäcken 3;1
2010;rd;14801831;Lundby, Hilldedal;;14800905;Kärrdalen-Slätta Damm 5;1
2010;rd;14801854;Lundby, Kyrkbyn;;14801205;Sannegården 5;1
2010;rd;14801843;Lundby, Kärrdalen;;14800903;Kärrdalen-Slätta Damm 3;1
2010;rd;14801811;Lundby, Lindholmen;Modifierad;;;0
2010;rd;14801816;Lundby, Lundbyvassen;Modifierad;;;0
2010;rd;14801853;Lundby, Norra Bräcke;;14801204;Sannegården 4;1
2010;rd;14801823;Lundby, Norra Kvillebäcken;;14800705;Kvillebäcken 5;1
2010;rd;14801855;Lundby, Norra Lundby;;14801206;Sannegården 6;1
2010;rd;14801842;Lundby, Norra Tolered;;14800902;Kärrdalen-Slätta Damm 2;1
2010;rd;14801858;Lundby, Sannegården;Modifierad;;;0
2010;rd;14801832;Lundby, Slätta Damm;;14800904;Kärrdalen-Slätta Damm 4;1
2010;rd;14801852;Lundby, Södra Bräcke;;14801203;Sannegården 3;1
2010;rd;14801825;Lundby, Södra Kvillebäcken;;14800701;Kvillebäcken 1;1
2010;rd;14801856;Lundby, Södra Lundby;;14801207;Sannegården 7;1
2010;rd;14801841;Lundby, Södra Tolered;;14800901;Kärrdalen-Slätta Damm 1;1
2010;rd;14801814;Lundby, Västra Brämaregården;;14800405;Brämaregården 5;1
2010;rd;14801851;Lundby, Västra Eriksberg;Modifierad;;;0
2010;rd;14801812;Lundby, Västra Rambergsstaden;;14800403;Brämaregården 3;1
2010;rd;14801824;Lundby, Wieselgrensplatsen;;14800702;Kvillebäcken 2;1
2010;rd;14801815;Lundby, Östra Brämaregården;Modifierad;;;0
2010;rd;14801857;Lundby, Östra Eriksberg;Modifierad;;;0
2010;rd;14801813;Lundby, Östra Rambergsstaden;;14800404;Brämaregården 4;1
