ar;val;niva;parti;roster;andel;giltiga;rostande;rostberattigade;valdeltagande;antal_distrikt;metod
2002;kf;goteborg;C;4527;1.65;273965;278467;375849;74.09;;"ur aggregat_2002_kf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;kf;goteborg;K;4296;1.57;273965;278467;375849;74.09;;"ur aggregat_2002_kf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;kf;goteborg;KD;19589;7.15;273965;278467;375849;74.09;;"ur aggregat_2002_kf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;kf;goteborg;L;43823;16.0;273965;278467;375849;74.09;;"ur aggregat_2002_kf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;kf;goteborg;M;54091;19.74;273965;278467;375849;74.09;;"ur aggregat_2002_kf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;kf;goteborg;MP;18009;6.57;273965;278467;375849;74.09;;"ur aggregat_2002_kf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;kf;goteborg;S;89027;32.5;273965;278467;375849;74.09;;"ur aggregat_2002_kf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;kf;goteborg;SD;4532;1.65;273965;278467;375849;74.09;;"ur aggregat_2002_kf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;kf;goteborg;SPI;1457;0.53;273965;278467;375849;74.09;;"ur aggregat_2002_kf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;kf;goteborg;SUMMA_ÖVRIGA;6050;2.21;273965;278467;375849;74.09;;"ur aggregat_2002_kf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL); residual giltiga minus V+S+MP+SD+M+C+L+KD+D+FI+K"
2002;kf;goteborg;V;30021;10.96;273965;278467;375849;74.09;;"ur aggregat_2002_kf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;kf;goteborg;ÖVR;4593;1.68;273965;278467;375849;74.09;;"ur aggregat_2002_kf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;kf;riket;C;458274;8.63;5313271;5410101;;;;ur aggregat_2002_kf.csv, niva riket
2002;kf;riket;KD;376657;7.09;5313271;5410101;;;;ur aggregat_2002_kf.csv, niva riket
2002;kf;riket;L;609411;11.47;5313271;5410101;;;;ur aggregat_2002_kf.csv, niva riket
2002;kf;riket;M;932621;17.55;5313271;5410101;;;;ur aggregat_2002_kf.csv, niva riket
2002;kf;riket;MP;227189;4.28;5313271;5410101;;;;ur aggregat_2002_kf.csv, niva riket
2002;kf;riket;S;1982703;37.32;5313271;5410101;;;;ur aggregat_2002_kf.csv, niva riket
2002;kf;riket;SUMMA_ÖVRIGA;288628;5.43;5313271;5410101;;;;"ur aggregat_2002_kf.csv, niva riket; residual giltiga minus V+S+MP+SD+M+C+L+KD+D+FI+K"
2002;kf;riket;V;437788;8.24;5313271;5410101;;;;ur aggregat_2002_kf.csv, niva riket
2002;kf;riket;ÖVR;288628;5.43;5313271;5410101;;;;ur aggregat_2002_kf.csv, niva riket
