kod_2010;namn_2010;kod_2006_troligast;namn_2006;typ;belagg
14800001;Onsdagsdistrikt;1480VK01;Onsdagsdistrikt;identisk;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 238,29,98,38,469,112,143,29 (summa 1156) mot 2006 1480VK01, namn lika
14800002;Onsdagsdistrikt;1480VK02;Onsdagsdistrikt;identisk;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 220,33,106,57,530,136,127,32 (summa 1241) mot 2006 1480VK02, namn lika
14800003;Onsdagsdistrikt;1480VK03;Onsdagsdistrikt;identisk;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 653,69,273,94,440,159,282,34 (summa 2004) mot 2006 1480VK03, namn lika
14800004;Onsdagsdistrikt;1480VK04;Onsdagsdistrikt;identisk;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 305,44,116,52,344,116,114,21 (summa 1112) mot 2006 1480VK04, namn lika
14800111;Gunnared, Lövgärdets Centrum;14803403;Lövgärdet-Gårdsten 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 58,9,26,27,346,82,33,25 (summa 606) mot 2006 14803403, geometri 99.5/100.0 procent, namn olika
14800112;Gunnared, Övre Lövgärdet;14803402;Lövgärdet-Gårdsten 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 54,5,24,14,503,82,36,28 (summa 746) mot 2006 14803402, geometri 99.9/98.8 procent, namn olika
14800113;Gunnared, Nedre Lövgärdet;14803401;Lövgärdet-Gårdsten 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 94,13,46,26,612,85,89,39 (summa 1004) mot 2006 14803401, geometri 99.8/100.0 procent, namn olika
14800121;Gunnared, Södra Rannebergen;14803502;Rannebergen-Angered 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 74,17,39,44,500,93,49,86 (summa 902) mot 2006 14803502, geometri 100.0/100.0 procent, namn olika
14800122;Gunnared, Norra Rannebergen;14803501;Rannebergen-Angered 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 153,13,73,59,614,121,64,65 (summa 1162) mot 2006 14803501, geometri 100.0/100.0 procent, namn olika
14800131;Gunnared, Västra Gårdsten;14803406;Lövgärdet-Gårdsten 6;omritad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2006_2010.csv: 14803406 (Lövgärdet-Gårdsten 6) täcker 80.7 procent av det nya distriktet, 56.5 procent av det gamla ligger där, 2 källor över 5 procent
14800132;Gunnared, Norra Gårdsten;14803404;Lövgärdet-Gårdsten 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 52,7,32,23,489,78,61,37 (summa 779) mot 2006 14803404, geometri 99.1/84.2 procent, namn olika
14800133;Gunnared, Östra Gårdsten;14803405;Lövgärdet-Gårdsten 5;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 77,5,40,27,406,67,51,25 (summa 698) mot 2006 14803405, geometri 100.0/100.0 procent, namn olika
