kod_2022;namn_2022;kortnamn_2022;kod_2018;namn_2018;typ_2018_2022;kod_2014;namn_2014;typ_2014_2018;kod_2010;namn_2010;typ_2010_2014;kod_2006;namn_2006;typ_2006_2010;jamforbar_tillbaka_till;jamforbar_direkt;anmarkning
14800526;Västra Centrum, Svalebo;Svalebo;14801017;Majorna-Linné, Svalebo;identisk;14801016;Majorna-Linné, Svalebo;omritad;14800911;Majorna, Svalebo;omritad;14808405;Kungsladugård-Sanna 5;namnbyte;2018;nej;2018-2022: geometrin är inte 1:1, 14801017 täcker 100.0 procent av 2022-distriktet och 97.0 procent av 2018-distriktet ligger där
14800527;Västra Centrum, Skytteskogen;Skytteskogen;14801016;Majorna-Linné, Skytteskogen;omritad;14801015;Majorna-Linné, Skytteskogen;omritad;14800912;Majorna, Skytteskogen;identisk;14808404;Kungsladugård-Sanna 4;namnbyte;2022;nej;
14800528;Västra Centrum, Kungsladugård Östra;Kungsladugård Östra;14801014;Majorna-Linné, Kungsladugård, Östra;omritad;14801012;Majorna-Linné, Kungsladugård;delad;14800913;Majorna, Kungsladugård;identisk;14808403;Kungsladugård-Sanna 3;namnbyte;2022;nej;
14800529;Västra Centrum, Kungsladugård Västra;Kungsladugård Västra;14801013;Majorna-Linné, Kungsladugård, Västra;omritad;14801015;Majorna-Linné, Skytteskogen;omritad;14800912;Majorna, Skytteskogen;identisk;14808404;Kungsladugård-Sanna 4;namnbyte;2022;nej;
14800530;Västra Centrum, Mariaplan;Mariaplan;14801011;Majorna-Linné, Gröna Vallen;omritad;14801013;Majorna-Linné, Mariaplan;omritad;14800914;Majorna, Mariaplan;identisk;14808402;Kungsladugård-Sanna 2;namnbyte;2022;nej;
14800531;Västra Centrum, Silverkällan;Silverkällan;14801015;Majorna-Linné, Mariaplan;omritad;14801014;Majorna-Linné, Silverkällan;omritad;14800915;Majorna, Silverkällan;identisk;14808406;Kungsladugård-Sanna 6;namnbyte;2022;nej;
14800532;Västra Centrum, Sannaplan;Sannaplan;14801022;Majorna-Linné, Silverkällan;omritad;14801021;Majorna-Linné, Sandarne;omritad;14800921;Majorna, Sandarne;identisk;14808407;Kungsladugård-Sanna 7;namnbyte;2022;nej;
14800533;Västra Centrum, Sandarne;Sandarne;14801021;Majorna-Linné, Sandarne;omritad;14801021;Majorna-Linné, Sandarne;delad;14800921;Majorna, Sandarne;identisk;14808407;Kungsladugård-Sanna 7;namnbyte;2022;nej;2018-2022: geometrin är i praktiken 1:1 (14801021 täcker 100.0 procent av 2022-distriktet, 98.4 procent av 2018-distriktet ligger där) trots att källan inte markerar distriktet som jämförbart
14800534;Västra Centrum, Klippan;Klippan;14801012;Majorna-Linné, Klippan;omritad;14801011;Majorna-Linné, Klippan;omritad;14800916;Majorna, Klippan;identisk;14808401;Kungsladugård-Sanna 1;namnbyte;2022;nej;
14800535;Västra Centrum, Gröna Vallen;Gröna Vallen;14801011;Majorna-Linné, Gröna Vallen;omritad;14801013;Majorna-Linné, Mariaplan;omritad;14800914;Majorna, Mariaplan;identisk;14808402;Kungsladugård-Sanna 2;namnbyte;2022;nej;
