ar;val;parti;roster_areametod;roster_fgval;skillnad;omfattning
2006;kf;0450;2;2;0;hela jamforbara Majorna
2006;kf;C;556;556;0;hela jamforbara Majorna
2006;kf;FI;599;599;0;hela jamforbara Majorna
2006;kf;HANDSKRIVNA;;31;;hela jamforbara Majorna
2006;kf;K;547;547;0;hela jamforbara Majorna
2006;kf;KD;607;607;0;hela jamforbara Majorna
2006;kf;L;1676;1676;0;hela jamforbara Majorna
2006;kf;M;2886;2886;0;hela jamforbara Majorna
2006;kf;MP;2959;2959;0;hela jamforbara Majorna
2006;kf;ND;15;15;0;hela jamforbara Majorna
2006;kf;RS;5;5;0;hela jamforbara Majorna
2006;kf;S;5631;5631;0;hela jamforbara Majorna
2006;kf;SD;418;418;0;hela jamforbara Majorna
2006;kf;SOC.P;110;110;0;hela jamforbara Majorna
2006;kf;SPI;34;34;0;hela jamforbara Majorna
2006;kf;SUMMA_ÖVRIGA;197;;;hela jamforbara Majorna
2006;kf;V;2731;2731;0;hela jamforbara Majorna
2006;kf;ÖVR;31;;;hela jamforbara Majorna
2006;rd;0538;2;;;hela jamforbara Majorna
2006;rd;0603;3;;;hela jamforbara Majorna
2006;rd;AKTD;1;;;hela jamforbara Majorna
2006;rd;C;928;928;0;hela jamforbara Majorna
2006;rd;ENH;9;9;0;hela jamforbara Majorna
2006;rd;FI;471;471;0;hela jamforbara Majorna
2006;rd;HANDSKRIVNA;;14;;hela jamforbara Majorna
2006;rd;JL;69;;;hela jamforbara Majorna
2006;rd;KD;731;731;0;hela jamforbara Majorna
2006;rd;L;1674;1674;0;hela jamforbara Majorna
2006;rd;M;3324;3324;0;hela jamforbara Majorna
2006;rd;MP;3292;3292;0;hela jamforbara Majorna
2006;rd;ND;8;8;0;hela jamforbara Majorna
2006;rd;NYF;1;;;hela jamforbara Majorna
2006;rd;PP;164;164;0;hela jamforbara Majorna
2006;rd;S;4469;4469;0;hela jamforbara Majorna
2006;rd;SD;371;371;0;hela jamforbara Majorna
2006;rd;SJVP;20;20;0;hela jamforbara Majorna
2006;rd;SPI;27;27;0;hela jamforbara Majorna
