ar;val;parti;roster;andel;giltiga;rostande;rostberattigade;valdeltagande;antal_distrikt;metod
2006;kf;0450;2;0.01;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;C;556;2.96;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;FI;599;3.18;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;K;547;2.91;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;KD;607;3.23;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;L;1676;8.91;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;M;2886;15.35;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;MP;2959;15.73;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;ND;15;0.08;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;RS;5;0.03;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;S;5631;29.94;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;SD;418;2.22;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;SOC.P;110;0.58;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;SPI;34;0.18;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;SUMMA_ÖVRIGA;197;1.05;18807;19156;24603;77.86;17;"areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv; residual giltiga minus V+S+MP+SD+M+C+L+KD+D+FI+K"
2006;kf;V;2731;14.52;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;kf;ÖVR;31;0.16;18807;19156;24603;77.86;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;0538;2;0.01;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;0603;3;0.02;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;AKTD;1;0.01;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;C;928;4.94;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;ENH;9;0.05;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;FI;471;2.5;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;JL;69;0.37;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;KD;731;3.89;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;L;1674;8.9;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;M;3324;17.68;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;MP;3292;17.51;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;ND;8;0.04;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;NYF;1;0.01;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;PP;164;0.87;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;S;4469;23.77;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;SD;371;1.97;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;SJVP;20;0.11;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;SPI;27;0.14;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;SUMMA_ÖVRIGA;318;1.69;18803;19181;24186;79.31;17;"areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv; residual giltiga minus V+S+MP+SD+M+C+L+KD+D+FI+K"
2006;rd;V;3225;17.15;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rd;ÖVR;14;0.07;18803;19181;24186;79.31;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rf;C;666;3.65;18232;18716;24603;76.07;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rf;K;411;2.25;18232;18716;24603;76.07;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rf;KD;704;3.86;18232;18716;24603;76.07;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rf;L;1681;9.22;18232;18716;24603;76.07;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rf;M;3000;16.45;18232;18716;24603;76.07;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rf;MP;2985;16.37;18232;18716;24603;76.07;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rf;ND;16;0.09;18232;18716;24603;76.07;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rf;RS;2;0.01;18232;18716;24603;76.07;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rf;S;4612;25.3;18232;18716;24603;76.07;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rf;SD;373;2.05;18232;18716;24603;76.07;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rf;SPI;33;0.18;18232;18716;24603;76.07;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rf;SPVG;350;1.92;18232;18716;24603;76.07;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rf;SUMMA_ÖVRIGA;462;2.53;18232;18716;24603;76.07;17;"areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv; residual giltiga minus V+S+MP+SD+M+C+L+KD+D+FI+K"
2006;rf;V;3338;18.31;18232;18716;24603;76.07;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rf;VÄP;7;0.04;18232;18716;24603;76.07;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2006;rf;ÖVR;54;0.3;18232;18716;24603;76.07;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2006.csv
2010;kf;0450;2;0.01;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;1016;56;0.27;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;1027;2;0.01;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;C;424;2.07;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;FI;672;3.29;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;HANDSKRIVNA;22;0.11;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;K;429;2.1;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;KD;450;2.2;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;L;1329;6.5;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;M;3179;15.54;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;MP;3806;18.61;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;PP;130;0.64;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;RS;52;0.25;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;S;5190;25.37;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;SD;690;3.37;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;SOC.P;78;0.38;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;SUMMA_ÖVRIGA;1054;5.15;20456;20678;25353;81.56;17;"areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv; residual giltiga minus V+S+MP+SD+M+C+L+KD+D+FI+K"
2010;kf;V;3233;15.8;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
2010;kf;VÄGV;712;3.48;20456;20678;25353;81.56;17;areametod: distrikt med andel_i_majorna >= 0.50 i geo_majorna_2010.csv
