ar;val;parti;roster;andel;giltiga;antal_distrikt_med_fgval;antal_distrikt_utan_fgval;metod
2006;rd;C;928;4.94;18803;17;0;FGVAL i fgval_2010_rd.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rd;ENH;9;0.05;18803;17;0;FGVAL i fgval_2010_rd.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rd;FI;471;2.5;18803;17;0;FGVAL i fgval_2010_rd.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rd;HANDSKRIVNA;14;0.07;18803;17;0;FGVAL i fgval_2010_rd.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rd;KD;731;3.89;18803;17;0;FGVAL i fgval_2010_rd.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rd;L;1674;8.9;18803;17;0;FGVAL i fgval_2010_rd.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rd;M;3324;17.68;18803;17;0;FGVAL i fgval_2010_rd.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rd;MP;3292;17.51;18803;17;0;FGVAL i fgval_2010_rd.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rd;ND;8;0.04;18803;17;0;FGVAL i fgval_2010_rd.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rd;PP;164;0.87;18803;17;0;FGVAL i fgval_2010_rd.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rd;S;4469;23.77;18803;17;0;FGVAL i fgval_2010_rd.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rd;SD;371;1.97;18803;17;0;FGVAL i fgval_2010_rd.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rd;SJVP;20;0.11;18803;17;0;FGVAL i fgval_2010_rd.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rd;SPI;27;0.14;18803;17;0;FGVAL i fgval_2010_rd.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rd;V;3225;17.15;18803;17;0;FGVAL i fgval_2010_rd.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rd;ÖVRIGA_FGVAL;76;0.4;18803;17;0;FGVAL i fgval_2010_rd.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rf;C;666;3.65;18232;17;0;FGVAL i fgval_2010_rf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rf;HANDSKRIVNA;54;0.3;18232;17;0;FGVAL i fgval_2010_rf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rf;K;411;2.25;18232;17;0;FGVAL i fgval_2010_rf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rf;KD;704;3.86;18232;17;0;FGVAL i fgval_2010_rf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rf;L;1681;9.22;18232;17;0;FGVAL i fgval_2010_rf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rf;M;3000;16.45;18232;17;0;FGVAL i fgval_2010_rf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rf;MP;2985;16.37;18232;17;0;FGVAL i fgval_2010_rf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rf;ND;16;0.09;18232;17;0;FGVAL i fgval_2010_rf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rf;RS;2;0.01;18232;17;0;FGVAL i fgval_2010_rf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rf;S;4612;25.3;18232;17;0;FGVAL i fgval_2010_rf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rf;SD;373;2.05;18232;17;0;FGVAL i fgval_2010_rf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rf;SPI;33;0.18;18232;17;0;FGVAL i fgval_2010_rf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rf;SPVG;350;1.92;18232;17;0;FGVAL i fgval_2010_rf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rf;V;3338;18.31;18232;17;0;FGVAL i fgval_2010_rf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;rf;ÖVRIGA_FGVAL;7;0.04;18232;17;0;FGVAL i fgval_2010_rf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;kf;0450;2;0.01;18807;17;0;FGVAL i fgval_2010_kf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;kf;C;556;2.96;18807;17;0;FGVAL i fgval_2010_kf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;kf;FI;599;3.18;18807;17;0;FGVAL i fgval_2010_kf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;kf;HANDSKRIVNA;31;0.16;18807;17;0;FGVAL i fgval_2010_kf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;kf;K;547;2.91;18807;17;0;FGVAL i fgval_2010_kf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;kf;KD;607;3.23;18807;17;0;FGVAL i fgval_2010_kf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;kf;L;1676;8.91;18807;17;0;FGVAL i fgval_2010_kf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;kf;M;2886;15.35;18807;17;0;FGVAL i fgval_2010_kf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;kf;MP;2959;15.73;18807;17;0;FGVAL i fgval_2010_kf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;kf;ND;15;0.08;18807;17;0;FGVAL i fgval_2010_kf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;kf;RS;5;0.03;18807;17;0;FGVAL i fgval_2010_kf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;kf;S;5631;29.94;18807;17;0;FGVAL i fgval_2010_kf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;kf;SD;418;2.22;18807;17;0;FGVAL i fgval_2010_kf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;kf;SOC.P;110;0.58;18807;17;0;FGVAL i fgval_2010_kf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;kf;SPI;34;0.18;18807;17;0;FGVAL i fgval_2010_kf.csv summerad over 2010 ars jamforbara Majornadistrikt
2006;kf;V;2731;14.52;18807;17;0;FGVAL i fgval_2010_kf.csv summerad over 2010 ars jamforbara Majornadistrikt
2010;rd;C;514;3.51;14638;12;5;FGVAL i fgval_2014_rd.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;rd;EAP;1;0.01;14638;12;5;FGVAL i fgval_2014_rd.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;rd;FI;309;2.11;14638;12;5;FGVAL i fgval_2014_rd.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;rd;HANDSKRIVNA;7;0.05;14638;12;5;FGVAL i fgval_2014_rd.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;rd;KD;477;3.26;14638;12;5;FGVAL i fgval_2014_rd.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;rd;L;879;6.0;14638;12;5;FGVAL i fgval_2014_rd.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;rd;M;2682;18.32;14638;12;5;FGVAL i fgval_2014_rd.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;rd;MP;3147;21.5;14638;12;5;FGVAL i fgval_2014_rd.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;rd;PP;119;0.81;14638;12;5;FGVAL i fgval_2014_rd.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;rd;RS;4;0.03;14638;12;5;FGVAL i fgval_2014_rd.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;rd;S;3033;20.72;14638;12;5;FGVAL i fgval_2014_rd.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;rd;SD;582;3.98;14638;12;5;FGVAL i fgval_2014_rd.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;rd;SKP;1;0.01;14638;12;5;FGVAL i fgval_2014_rd.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;rd;SVP;1;0.01;14638;12;5;FGVAL i fgval_2014_rd.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;rd;V;2878;19.66;14638;12;5;FGVAL i fgval_2014_rd.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;rd;ÖVRIGA_FGVAL;4;0.03;14638;12;5;FGVAL i fgval_2014_rd.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;0450;1;0.01;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;1016;43;0.29;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;C;304;2.07;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;FI;486;3.31;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;HANDSKRIVNA;13;0.09;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;K;324;2.21;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;KD;303;2.07;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;L;895;6.1;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;M;2176;14.84;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;MP;2828;19.29;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;PP;100;0.68;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;RS;40;0.27;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;S;3670;25.03;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;SD;463;3.16;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;SOC.P;55;0.38;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;TOP;1;0.01;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;V;2454;16.73;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
2010;kf;VÄGV;508;3.46;14664;12;5;FGVAL i fgval_2014_kf.csv summerad over 2014 ars jamforbara Majornadistrikt
