ar;val;niva;kod;parti_kalla;parti;mandat;varav_utjamning;mandat_2002;roster;andel;mandat_totalt;kalla_fil
2006;rd;riket;00;M;M;97;4;55;1456014;26.23;349;slutresultat_00R.xml
2006;rd;riket;00;C;C;29;2;22;437389;7.88;349;slutresultat_00R.xml
2006;rd;riket;00;FP;L;28;6;48;418395;7.54;349;slutresultat_00R.xml
2006;rd;riket;00;KD;KD;24;7;33;365998;6.59;349;slutresultat_00R.xml
2006;rd;riket;00;S;S;130;1;144;1942625;34.99;349;slutresultat_00R.xml
2006;rd;riket;00;V;V;22;9;30;324722;5.85;349;slutresultat_00R.xml
2006;rd;riket;00;MP;MP;19;10;17;291121;5.24;349;slutresultat_00R.xml
2006;rd;riket;00;ÖVR;ÖVR;0;0;0;315014;5.67;349;slutresultat_00R.xml
2006;rd;Blekinge län;1010;M;M;2;0;1;21109;22.04;5;slutresultat_00R.xml
2006;rd;Blekinge län;1010;C;C;0;0;0;6855;7.16;5;slutresultat_00R.xml
2006;rd;Blekinge län;1010;FP;L;0;0;1;6105;6.37;5;slutresultat_00R.xml
2006;rd;Blekinge län;1010;KD;KD;0;0;1;4964;5.18;5;slutresultat_00R.xml
2006;rd;Blekinge län;1010;S;S;3;0;3;40532;42.32;5;slutresultat_00R.xml
2006;rd;Blekinge län;1010;V;V;0;0;0;5193;5.42;5;slutresultat_00R.xml
2006;rd;Blekinge län;1010;MP;MP;0;0;0;3505;3.66;5;slutresultat_00R.xml
2006;rd;Blekinge län;1010;ÖVR;ÖVR;0;0;0;7518;7.85;5;slutresultat_00R.xml
2006;rd;Dalarnas län;2024;M;M;3;0;1;35615;21.06;10;slutresultat_00R.xml
2006;rd;Dalarnas län;2024;C;C;1;0;1;18197;10.76;10;slutresultat_00R.xml
2006;rd;Dalarnas län;2024;FP;L;1;1;1;8681;5.13;10;slutresultat_00R.xml
2006;rd;Dalarnas län;2024;KD;KD;1;1;1;9159;5.42;10;slutresultat_00R.xml
2006;rd;Dalarnas län;2024;S;S;5;0;5;68218;40.34;10;slutresultat_00R.xml
2006;rd;Dalarnas län;2024;V;V;1;0;1;11251;6.65;10;slutresultat_00R.xml
2006;rd;Dalarnas län;2024;MP;MP;1;1;1;7361;4.35;10;slutresultat_00R.xml
2006;rd;Dalarnas län;2024;ÖVR;ÖVR;0;0;0;10628;6.28;10;slutresultat_00R.xml
2006;rd;Gotlands län;0909;M;M;1;0;0;7715;21.58;2;slutresultat_00R.xml
2006;rd;Gotlands län;0909;C;C;0;0;0;6883;19.25;2;slutresultat_00R.xml
2006;rd;Gotlands län;0909;FP;L;0;0;0;1554;4.35;2;slutresultat_00R.xml
2006;rd;Gotlands län;0909;KD;KD;0;0;0;1374;3.84;2;slutresultat_00R.xml
2006;rd;Gotlands län;0909;S;S;1;0;2;12464;34.86;2;slutresultat_00R.xml
2006;rd;Gotlands län;0909;V;V;0;0;0;2145;6.00;2;slutresultat_00R.xml
2006;rd;Gotlands län;0909;MP;MP;0;0;0;2237;6.26;2;slutresultat_00R.xml
2006;rd;Gotlands län;0909;ÖVR;ÖVR;0;0;0;1378;3.85;2;slutresultat_00R.xml
2006;rd;Gävleborgs län;2125;M;M;2;0;1;30923;18.44;10;slutresultat_00R.xml
