ar;val;niva;kod;namn;parti_kalla;parti;roster;andel;mandat;varav_utjamning;mandat_fgval;mandat_valkrets
2010;rd;riket;00;Riket;M;M;1791766;30.06;107;0;97;349
2010;rd;riket;00;Riket;C;C;390804;6.56;23;2;29;349
2010;rd;riket;00;Riket;FP;L;420524;7.06;24;7;28;349
2010;rd;riket;00;Riket;KD;KD;333696;5.60;19;8;24;349
2010;rd;riket;00;Riket;S;S;1827497;30.66;112;0;130;349
2010;rd;riket;00;Riket;V;V;334053;5.60;19;10;22;349
2010;rd;riket;00;Riket;MP;MP;437435;7.34;25;6;19;349
2010;rd;riket;00;Riket;SD;SD;339610;5.70;20;6;0;349
2010;rd;riket;00;Riket;PP;PP;38491;0.65;;;0;349
2010;rd;riket;00;Riket;FI;FI;24139;0.40;;;0;349
2010;rd;riket;00;Riket;SPI;SPI;11078;0.19;;;0;349
2010;rd;riket;00;Riket;RS;RS;1507;0.03;;;0;349
2010;rd;riket;00;Riket;ND;ND;1141;0.02;;;0;349
2010;rd;riket;00;Riket;KLP;KLP;716;0.01;;;0;349
2010;rd;riket;00;Riket;ENH;ENH;632;0.01;;;0;349
2010;rd;riket;00;Riket;EAP;EAP;187;0.00;;;0;349
2010;rd;riket;00;Riket;Sjvåp;SJVÅP;185;0.00;;;0;349
2010;rd;riket;00;Riket;ALP;ALP;87;0.00;;;0;349
2010;rd;riket;00;Riket;KommF;KOMMF;26;0.00;;;0;349
2010;rd;riket;00;Riket;SKÅ;SKÅ;17;0.00;;;0;349
2010;rd;riket;00;Riket;0020;0020;14;0.00;;;0;349
2010;rd;riket;00;Riket;0518;0518;5;0.00;;;0;349
2010;rd;riket;00;Riket;Riksh;RIKSH;3;0.00;;;0;349
2010;rd;riket;00;Riket;ÖVRIGA_FGVAL;ÖVRIGA_FGVAL;0;0.00;;;0;349
2010;rd;valkrets;1010;Blekinge län;M;M;27387;27.34;2;0;2;5
2010;rd;valkrets;1010;Blekinge län;C;C;5771;5.76;0;0;0;5
2010;rd;valkrets;1010;Blekinge län;FP;L;5431;5.42;0;0;0;5
2010;rd;valkrets;1010;Blekinge län;KD;KD;3973;3.97;0;0;0;5
2010;rd;valkrets;1010;Blekinge län;S;S;36520;36.46;3;0;3;5
2010;rd;valkrets;1010;Blekinge län;V;V;5075;5.07;0;0;0;5
2010;rd;valkrets;1010;Blekinge län;MP;MP;5289;5.28;0;0;0;5
2010;rd;valkrets;1010;Blekinge län;SD;SD;9830;9.81;1;1;0;5
2010;rd;valkrets;1010;Blekinge län;PP;PP;588;0.59;;;0;5
2010;rd;valkrets;1010;Blekinge län;FI;FI;214;0.21;;;0;5
2010;rd;valkrets;1010;Blekinge län;ENH;ENH;14;0.01;;;0;5
2010;rd;valkrets;1010;Blekinge län;ND;ND;6;0.01;;;0;5
2010;rd;valkrets;1010;Blekinge län;KLP;KLP;5;0.00;;;0;5
2010;rd;valkrets;1010;Blekinge län;SPI;SPI;4;0.00;;;0;5
2010;rd;valkrets;1010;Blekinge län;Sjvåp;SJVÅP;1;0.00;;;0;5
2010;rd;valkrets;1010;Blekinge län;Riksh;RIKSH;0;0.00;;;0;5
2010;rd;valkrets;1010;Blekinge län;ÖVRIGA_FGVAL;ÖVRIGA_FGVAL;0;0.00;;;0;5
2010;rd;valkrets;2024;Dalarnas län;M;M;44997;25.11;3;0;3;10
2010;rd;valkrets;2024;Dalarnas län;C;C;14086;7.86;1;0;1;10
2010;rd;valkrets;2024;Dalarnas län;FP;L;8747;4.88;0;0;1;10
2010;rd;valkrets;2024;Dalarnas län;KD;KD;7925;4.42;0;0;1;10
2010;rd;valkrets;2024;Dalarnas län;S;S;67139;37.47;4;0;5;10
2010;rd;valkrets;2024;Dalarnas län;V;V;10533;5.88;1;1;1;10
2010;rd;valkrets;2024;Dalarnas län;MP;MP;10652;5.95;1;0;1;10
2010;rd;valkrets;2024;Dalarnas län;SD;SD;12470;6.96;1;0;0;10
2010;rd;valkrets;2024;Dalarnas län;PP;PP;1127;0.63;;;0;10
2010;rd;valkrets;2024;Dalarnas län;FI;FI;570;0.32;;;0;10
2010;rd;valkrets;2024;Dalarnas län;SPI;SPI;486;0.27;;;0;10
2010;rd;valkrets;2024;Dalarnas län;ND;ND;34;0.02;;;0;10
2010;rd;valkrets;2024;Dalarnas län;ENH;ENH;23;0.01;;;0;10
2010;rd;valkrets;2024;Dalarnas län;EAP;EAP;3;0.00;;;0;10
2010;rd;valkrets;2024;Dalarnas län;RS;RS;2;0.00;;;0;10
2010;rd;valkrets;2024;Dalarnas län;0518;0518;0;0.00;;;0;10
2010;rd;valkrets;2024;Dalarnas län;Sjvåp;SJVÅP;0;0.00;;;0;10
2010;rd;valkrets;2024;Dalarnas län;ÖVRIGA_FGVAL;ÖVRIGA_FGVAL;0;0.00;;;0;10
2010;rd;valkrets;0909;Gotlands län;M;M;9731;25.18;1;0;1;2
2010;rd;valkrets;0909;Gotlands län;C;C;5657;14.64;0;0;0;2
2010;rd;valkrets;0909;Gotlands län;FP;L;1785;4.62;0;0;0;2
2010;rd;valkrets;0909;Gotlands län;KD;KD;1128;2.92;0;0;0;2
