ar;val;niva;niva_kod;mandat_totalt;parti_kalla;parti;roster;andel;mandat;varav_utjamning;mandat_fgval
2014;kf;goteborg;1480;81;M;M;74538;22.33;20;;23
2014;kf;goteborg;1480;81;C;C;8550;2.56;0;;0
2014;kf;goteborg;1480;81;FP;L;27116;8.12;7;;7
2014;kf;goteborg;1480;81;KD;KD;13183;3.95;3;;2
2014;kf;goteborg;1480;81;S;S;74720;22.39;20;;25
2014;kf;goteborg;1480;81;V;V;31526;9.44;8;;7
2014;kf;goteborg;1480;81;MP;MP;35591;10.66;9;;9
2014;kf;goteborg;1480;81;SD;SD;23431;7.02;6;;3
2014;kf;goteborg;1480;81;FI;FI;13226;3.96;3;;0
2014;kf;goteborg;1480;81;VägV;VÄGV;16310;4.89;5;;5
2014;kf;Göteborg, Hisingen;148001;22;M;M;18349;20.54;5;;5
2014;kf;Göteborg, Hisingen;148001;22;C;C;2177;2.44;0;;0
2014;kf;Göteborg, Hisingen;148001;22;FP;L;5719;6.40;2;;2
2014;kf;Göteborg, Hisingen;148001;22;KD;KD;2855;3.20;1;;0
2014;kf;Göteborg, Hisingen;148001;22;S;S;23873;26.72;6;;8
2014;kf;Göteborg, Hisingen;148001;22;V;V;7492;8.39;2;;2
2014;kf;Göteborg, Hisingen;148001;22;MP;MP;7488;8.38;2;;2
2014;kf;Göteborg, Hisingen;148001;22;SD;SD;7900;8.84;2;;1
2014;kf;Göteborg, Hisingen;148001;22;FI;FI;2502;2.80;0;;0
2014;kf;Göteborg, Hisingen;148001;22;VägV;VÄGV;6004;6.72;2;;2
2014;kf;Göteborg, Öster;148002;20;M;M;11612;15.95;4;;4
2014;kf;Göteborg, Öster;148002;20;C;C;1619;2.22;0;;0
2014;kf;Göteborg, Öster;148002;20;FP;L;4717;6.48;1;;1
2014;kf;Göteborg, Öster;148002;20;KD;KD;2257;3.10;0;;1
2014;kf;Göteborg, Öster;148002;20;S;S;22766;31.27;7;;8
2014;kf;Göteborg, Öster;148002;20;V;V;7488;10.28;2;;2
2014;kf;Göteborg, Öster;148002;20;MP;MP;8118;11.15;2;;2
2014;kf;Göteborg, Öster;148002;20;SD;SD;5401;7.42;2;;1
2014;kf;Göteborg, Öster;148002;20;FI;FI;2600;3.57;1;;0
2014;kf;Göteborg, Öster;148002;20;VägV;VÄGV;2701;3.71;1;;1
2014;kf;Göteborg, Centrum;148003;19;M;M;21733;25.69;5;;7
2014;kf;Göteborg, Centrum;148003;19;C;C;2695;3.19;0;;0
2014;kf;Göteborg, Centrum;148003;19;FP;L;8338;9.86;2;;2
2014;kf;Göteborg, Centrum;148003;19;KD;KD;2838;3.35;1;;0
2014;kf;Göteborg, Centrum;148003;19;S;S;12327;14.57;3;;4
2014;kf;Göteborg, Centrum;148003;19;V;V;8886;10.50;2;;2
2014;kf;Göteborg, Centrum;148003;19;MP;MP;11598;13.71;3;;3
2014;kf;Göteborg, Centrum;148003;19;SD;SD;4192;4.96;1;;0
2014;kf;Göteborg, Centrum;148003;19;FI;FI;4848;5.73;1;;0
2014;kf;Göteborg, Centrum;148003;19;VägV;VÄGV;3694;4.37;1;;1
2014;kf;Göteborg, Väster;148004;20;M;M;22844;26.25;6;;7
2014;kf;Göteborg, Väster;148004;20;C;C;2059;2.37;0;;0
2014;kf;Göteborg, Väster;148004;20;FP;L;8342;9.58;2;;2
2014;kf;Göteborg, Väster;148004;20;KD;KD;5233;6.01;1;;1
2014;kf;Göteborg, Väster;148004;20;S;S;15754;18.10;4;;5
2014;kf;Göteborg, Väster;148004;20;V;V;7660;8.80;2;;1
2014;kf;Göteborg, Väster;148004;20;MP;MP;8387;9.64;2;;2
2014;kf;Göteborg, Väster;148004;20;SD;SD;5938;6.82;1;;1
2014;kf;Göteborg, Väster;148004;20;FI;FI;3276;3.76;1;;0
2014;kf;Göteborg, Väster;148004;20;VägV;VÄGV;3911;4.49;1;;1
