ar;val;niva;niva_kod;mandat_totalt;parti_kalla;parti;roster;andel;mandat;varav_utjamning;mandat_fgval
2014;rf;vgregion;14;149;M;M;223149;21.68;33;3;38
2014;rf;vgregion;14;149;C;C;63970;6.22;10;2;9
2014;rf;vgregion;14;149;FP;L;73195;7.11;11;1;11
2014;rf;vgregion;14;149;KD;KD;58858;5.72;9;2;9
2014;rf;vgregion;14;149;S;S;310334;30.16;46;3;52
2014;rf;vgregion;14;149;V;V;85851;8.34;13;1;9
2014;rf;vgregion;14;149;MP;MP;86076;8.36;13;1;12
2014;rf;vgregion;14;149;SD;SD;95726;9.30;14;2;9
2014;rf;vgregion;14;149;FI;FI;3685;0.36;0;0;0
2014;rf;Göteborgs kommun;1401;44;M;M;76739;23.28;11;0;14
2014;rf;Göteborgs kommun;1401;44;C;C;9887;3.00;2;1;1
2014;rf;Göteborgs kommun;1401;44;FP;L;27102;8.22;4;0;4
2014;rf;Göteborgs kommun;1401;44;KD;KD;15539;4.71;2;0;2
2014;rf;Göteborgs kommun;1401;44;S;S;79802;24.21;12;1;15
2014;rf;Göteborgs kommun;1401;44;V;V;41825;12.69;6;0;5
2014;rf;Göteborgs kommun;1401;44;MP;MP;39602;12.01;6;0;6
2014;rf;Göteborgs kommun;1401;44;SD;SD;24083;7.31;3;0;3
2014;rf;Göteborgs kommun;1401;44;FI;FI;2290;0.69;0;0;0
2014;rf;Bohusläns/Västra Götalands västra;1402;29;M;M;53875;23.47;8;1;9
2014;rf;Bohusläns/Västra Götalands västra;1402;29;C;C;13702;5.97;2;0;2
2014;rf;Bohusläns/Västra Götalands västra;1402;29;FP;L;18962;8.26;3;1;3
2014;rf;Bohusläns/Västra Götalands västra;1402;29;KD;KD;14911;6.50;2;0;2
2014;rf;Bohusläns/Västra Götalands västra;1402;29;S;S;65049;28.33;10;1;10
2014;rf;Bohusläns/Västra Götalands västra;1402;29;V;V;14780;6.44;2;0;1
2014;rf;Bohusläns/Västra Götalands västra;1402;29;MP;MP;17388;7.57;3;1;2
2014;rf;Bohusläns/Västra Götalands västra;1402;29;SD;SD;22374;9.75;3;0;2
2014;rf;Bohusläns/Västra Götalands västra;1402;29;FI;FI;473;0.21;0;0;0
2014;rf;Älvsborgs norra/V Götalands norra;1403;23;M;M;32162;18.25;5;1;5
2014;rf;Älvsborgs norra/V Götalands norra;1403;23;C;C;14226;8.07;2;0;2
2014;rf;Älvsborgs norra/V Götalands norra;1403;23;FP;L;11346;6.44;2;0;2
2014;rf;Älvsborgs norra/V Götalands norra;1403;23;KD;KD;10621;6.03;2;1;2
2014;rf;Älvsborgs norra/V Götalands norra;1403;23;S;S;61711;35.03;9;1;11
2014;rf;Älvsborgs norra/V Götalands norra;1403;23;V;V;11722;6.65;2;0;1
2014;rf;Älvsborgs norra/V Götalands norra;1403;23;MP;MP;12087;6.86;2;0;2
2014;rf;Älvsborgs norra/V Götalands norra;1403;23;SD;SD;18157;10.31;3;1;2
2014;rf;Älvsborgs norra/V Götalands norra;1403;23;FI;FI;337;0.19;0;0;0
2014;rf;Älvsborgs södra/V Götalands södra;1404;16;M;M;25573;20.71;4;1;4
2014;rf;Älvsborgs södra/V Götalands södra;1404;16;C;C;10759;8.71;2;1;2
2014;rf;Älvsborgs södra/V Götalands södra;1404;16;FP;L;7101;5.75;1;0;1
2014;rf;Älvsborgs södra/V Götalands södra;1404;16;KD;KD;7210;5.84;1;0;1
2014;rf;Älvsborgs södra/V Götalands södra;1404;16;S;S;41463;33.58;6;0;7
2014;rf;Älvsborgs södra/V Götalands södra;1404;16;V;V;7822;6.34;1;0;1
2014;rf;Älvsborgs södra/V Götalands södra;1404;16;MP;MP;7925;6.42;1;0;1
2014;rf;Älvsborgs södra/V Götalands södra;1404;16;SD;SD;13592;11.01;2;0;1
2014;rf;Älvsborgs södra/V Götalands södra;1404;16;FI;FI;282;0.23;0;0;0
2014;rf;Skaraborgs/Västra Götalands östra;1405;22;M;M;34800;20.44;5;0;6
2014;rf;Skaraborgs/Västra Götalands östra;1405;22;C;C;15396;9.05;2;0;2
2014;rf;Skaraborgs/Västra Götalands östra;1405;22;FP;L;8684;5.10;1;0;1
2014;rf;Skaraborgs/Västra Götalands östra;1405;22;KD;KD;10577;6.21;2;1;2
2014;rf;Skaraborgs/Västra Götalands östra;1405;22;S;S;62309;36.61;9;0;9
2014;rf;Skaraborgs/Västra Götalands östra;1405;22;V;V;9702;5.70;2;1;1
2014;rf;Skaraborgs/Västra Götalands östra;1405;22;MP;MP;9074;5.33;1;0;1
2014;rf;Skaraborgs/Västra Götalands östra;1405;22;SD;SD;17520;10.29;3;1;1
2014;rf;Skaraborgs/Västra Götalands östra;1405;22;FI;FI;303;0.18;0;0;0
