ar;val;niva;niva_kod;mandat_totalt;parti_kalla;parti;roster;andel;mandat;varav_utjamning;mandat_fgval
2014;rd;riket;00;349;M;M;1453517;23.33;84;0;107
2014;rd;riket;00;349;C;C;380937;6.11;22;1;23
2014;rd;riket;00;349;FP;L;337773;5.42;19;9;24
2014;rd;riket;00;349;KD;KD;284806;4.57;16;9;19
2014;rd;riket;00;349;S;S;1932711;31.01;113;0;112
2014;rd;riket;00;349;V;V;356331;5.72;21;11;19
2014;rd;riket;00;349;MP;MP;429275;6.89;25;9;25
2014;rd;riket;00;349;SD;SD;801178;12.86;49;0;20
2014;rd;riket;00;349;FI;FI;194719;3.12;0;0;0
2014;rd;Stockholms kommun;0101;29;M;M;160166;27.73;9;0;10
2014;rd;Stockholms kommun;0101;29;C;C;28201;4.88;2;0;2
2014;rd;Stockholms kommun;0101;29;FP;L;45365;7.85;3;1;3
2014;rd;Stockholms kommun;0101;29;KD;KD;24691;4.28;2;1;2
2014;rd;Stockholms kommun;0101;29;S;S;124792;21.61;7;0;6
2014;rd;Stockholms kommun;0101;29;V;V;44656;7.73;3;1;2
2014;rd;Stockholms kommun;0101;29;MP;MP;64392;11.15;4;0;3
2014;rd;Stockholms kommun;0101;29;SD;SD;38356;6.64;2;0;1
2014;rd;Stockholms kommun;0101;29;FI;FI;41488;7.18;0;0;0
2014;rd;Stockholms län;0102;38;M;M;249616;32.66;13;0;15
2014;rd;Stockholms län;0102;38;C;C;38898;5.09;2;0;2
2014;rd;Stockholms län;0102;38;FP;L;53766;7.04;3;0;3
2014;rd;Stockholms län;0102;38;KD;KD;40492;5.30;3;1;3
2014;rd;Stockholms län;0102;38;S;S;183738;24.04;9;0;8
2014;rd;Stockholms län;0102;38;V;V;35722;4.67;2;0;2
2014;rd;Stockholms län;0102;38;MP;MP;59586;7.80;3;0;3
2014;rd;Stockholms län;0102;38;SD;SD;74136;9.70;4;0;2
2014;rd;Stockholms län;0102;38;FI;FI;20573;2.69;0;0;0
2014;rd;Uppsala län;0303;11;M;M;52071;22.80;3;0;4
2014;rd;Uppsala län;0303;11;C;C;15827;6.93;1;0;1
2014;rd;Uppsala län;0303;11;FP;L;14141;6.19;1;0;1
2014;rd;Uppsala län;0303;11;KD;KD;10776;4.72;1;1;1
2014;rd;Uppsala län;0303;11;S;S;65926;28.87;3;0;3
2014;rd;Uppsala län;0303;11;V;V;14363;6.29;1;0;1
2014;rd;Uppsala län;0303;11;MP;MP;19080;8.36;1;0;1
2014;rd;Uppsala län;0303;11;SD;SD;24091;10.55;1;0;1
2014;rd;Uppsala län;0303;11;FI;FI;9317;4.08;0;0;0
2014;rd;Södermanlands län;0404;9;M;M;39991;22.39;3;0;3
2014;rd;Södermanlands län;0404;9;C;C;9774;5.47;0;0;1
2014;rd;Södermanlands län;0404;9;FP;L;7776;4.35;0;0;1
2014;rd;Södermanlands län;0404;9;KD;KD;6888;3.86;0;0;0
2014;rd;Södermanlands län;0404;9;S;S;61834;34.62;4;0;4
2014;rd;Södermanlands län;0404;9;V;V;9084;5.09;1;1;0
2014;rd;Södermanlands län;0404;9;MP;MP;11165;6.25;1;1;1
2014;rd;Södermanlands län;0404;9;SD;SD;26887;15.05;2;0;1
2014;rd;Södermanlands län;0404;9;FI;FI;3789;2.12;0;0;0
2014;rd;Östergötlands län;0505;14;M;M;64877;22.26;3;0;4
2014;rd;Östergötlands län;0505;14;C;C;17443;5.98;1;0;1
2014;rd;Östergötlands län;0505;14;FP;L;14860;5.10;1;0;1
2014;rd;Östergötlands län;0505;14;KD;KD;14752;5.06;1;0;1
2014;rd;Östergötlands län;0505;14;S;S;94909;32.56;5;0;5
2014;rd;Östergötlands län;0505;14;V;V;14011;4.81;1;1;1
2014;rd;Östergötlands län;0505;14;MP;MP;19218;6.59;1;0;1
2014;rd;Östergötlands län;0505;14;SD;SD;41953;14.39;2;0;1
2014;rd;Östergötlands län;0505;14;FI;FI;6545;2.25;0;0;0
2014;rd;Jönköpings län;0606;11;M;M;45594;20.30;3;0;3
2014;rd;Jönköpings län;0606;11;C;C;17800;7.93;1;0;1
2014;rd;Jönköpings län;0606;11;FP;L;8090;3.60;1;1;1
2014;rd;Jönköpings län;0606;11;KD;KD;23322;10.38;1;0;2
