ar;val;niva;valkrets;parti_kalla;parti;roster;andel;fasta_mandat;utjamningsmandat;mandat;kalla_fil
2018;rd;riket;HELA LANDET;S;S;1830386;28.26;94;6;100;2018_mandat.xlsx (mandat), 2018_R_per_valdistrikt.xlsx (roster)
2018;rd;riket;HELA LANDET;C;C;557500;8.61;31;0;31;2018_mandat.xlsx (mandat), 2018_R_per_valdistrikt.xlsx (roster)
2018;rd;riket;HELA LANDET;KD;KD;409478;6.32;16;6;22;2018_mandat.xlsx (mandat), 2018_R_per_valdistrikt.xlsx (roster)
2018;rd;riket;HELA LANDET;L;L;355546;5.49;12;8;20;2018_mandat.xlsx (mandat), 2018_R_per_valdistrikt.xlsx (roster)
2018;rd;riket;HELA LANDET;MP;MP;285899;4.41;5;11;16;2018_mandat.xlsx (mandat), 2018_R_per_valdistrikt.xlsx (roster)
2018;rd;riket;HELA LANDET;M;M;1284698;19.84;66;4;70;2018_mandat.xlsx (mandat), 2018_R_per_valdistrikt.xlsx (roster)
2018;rd;riket;HELA LANDET;SD;SD;1135627;17.53;61;1;62;2018_mandat.xlsx (mandat), 2018_R_per_valdistrikt.xlsx (roster)
2018;rd;riket;HELA LANDET;V;V;518454;8.00;25;3;28;2018_mandat.xlsx (mandat), 2018_R_per_valdistrikt.xlsx (roster)
2018;rd;goteborg;Göteborgs kommun;S;S;83097;23.77;4;0;4;2018_mandat.xlsx
2018;rd;goteborg;Göteborgs kommun;C;C;24893;7.12;1;0;1;2018_mandat.xlsx
2018;rd;goteborg;Göteborgs kommun;KD;KD;19283;5.52;1;0;1;2018_mandat.xlsx
2018;rd;goteborg;Göteborgs kommun;L;L;25337;7.25;1;1;2;2018_mandat.xlsx
2018;rd;goteborg;Göteborgs kommun;MP;MP;24286;6.95;1;1;2;2018_mandat.xlsx
2018;rd;goteborg;Göteborgs kommun;M;M;69432;19.86;4;0;4;2018_mandat.xlsx
2018;rd;goteborg;Göteborgs kommun;SD;SD;47040;13.45;2;0;2;2018_mandat.xlsx
2018;rd;goteborg;Göteborgs kommun;V;V;48946;14.00;3;0;3;2018_mandat.xlsx
2018;rf;vgregion;Västra Götalands läns landsting;S;S;291160;26.95;37;4;41;2018_mandat.xlsx (mandat), 2018_L_per_valdistrikt.xlsx (roster)
2018;rf;vgregion;Västra Götalands läns landsting;C;C;82348;7.62;10;2;12;2018_mandat.xlsx (mandat), 2018_L_per_valdistrikt.xlsx (roster)
2018;rf;vgregion;Västra Götalands läns landsting;DEM;D;37163;3.44;5;0;5;2018_mandat.xlsx (mandat), 2018_L_per_valdistrikt.xlsx (roster)
2018;rf;vgregion;Västra Götalands läns landsting;KD;KD;81606;7.55;11;0;11;2018_mandat.xlsx (mandat), 2018_L_per_valdistrikt.xlsx (roster)
2018;rf;vgregion;Västra Götalands läns landsting;L;L;74332;6.88;9;1;10;2018_mandat.xlsx (mandat), 2018_L_per_valdistrikt.xlsx (roster)
2018;rf;vgregion;Västra Götalands läns landsting;MP;MP;50042;4.63;6;1;7;2018_mandat.xlsx (mandat), 2018_L_per_valdistrikt.xlsx (roster)
2018;rf;vgregion;Västra Götalands läns landsting;M;M;200477;18.55;26;2;28;2018_mandat.xlsx (mandat), 2018_L_per_valdistrikt.xlsx (roster)
2018;rf;vgregion;Västra Götalands läns landsting;SD;SD;138559;12.82;17;3;20;2018_mandat.xlsx (mandat), 2018_L_per_valdistrikt.xlsx (roster)
2018;rf;vgregion;Västra Götalands läns landsting;V;V;104090;9.63;13;2;15;2018_mandat.xlsx (mandat), 2018_L_per_valdistrikt.xlsx (roster)
2018;rf;goteborg;Göteborgs kommun;S;S;79808;22.75;11;0;11;2018_mandat.xlsx
2018;rf;goteborg;Göteborgs kommun;C;C;17935;5.11;2;1;3;2018_mandat.xlsx
2018;rf;goteborg;Göteborgs kommun;DEM;D;29893;8.52;4;0;4;2018_mandat.xlsx
2018;rf;goteborg;Göteborgs kommun;KD;KD;19750;5.63;2;0;2;2018_mandat.xlsx
2018;rf;goteborg;Göteborgs kommun;L;L;27061;7.71;4;0;4;2018_mandat.xlsx
2018;rf;goteborg;Göteborgs kommun;MP;MP;22917;6.53;3;0;3;2018_mandat.xlsx
2018;rf;goteborg;Göteborgs kommun;M;M;59191;16.87;8;0;8;2018_mandat.xlsx
2018;rf;goteborg;Göteborgs kommun;SD;SD;33001;9.41;4;1;5;2018_mandat.xlsx
2018;rf;goteborg;Göteborgs kommun;V;V;52902;15.08;7;0;7;2018_mandat.xlsx
2018;kf;goteborg;Göteborg;S;S;72514;20.47;17;0;17;2018_mandat.xlsx
2018;kf;goteborg;Göteborg;C;C;13989;3.95;3;0;3;2018_mandat.xlsx
2018;kf;goteborg;Göteborg;DEM;D;60013;16.95;14;0;14;2018_mandat.xlsx
2018;kf;goteborg;Göteborg;FI;FI;8152;2.30;2;0;2;2018_mandat.xlsx
2018;kf;goteborg;Göteborg;KD;KD;11773;3.32;3;0;3;2018_mandat.xlsx
2018;kf;goteborg;Göteborg;L;L;25602;7.23;6;0;6;2018_mandat.xlsx
2018;kf;goteborg;Göteborg;MP;MP;24576;6.94;6;0;6;2018_mandat.xlsx
2018;kf;goteborg;Göteborg;M;M;51449;14.53;12;0;12;2018_mandat.xlsx
2018;kf;goteborg;Göteborg;SD;SD;29354;8.29;7;0;7;2018_mandat.xlsx
2018;kf;goteborg;Göteborg;V;V;44499;12.56;11;0;11;2018_mandat.xlsx
