ar;parti;mandat;kalla
2002;S;144;dl2006/slutresultat_00R.xml NATION/GILTIGA MANDAT_FGVAL (foregaende val 2002)
2002;M;55;dl2006/slutresultat_00R.xml NATION/GILTIGA MANDAT_FGVAL (foregaende val 2002)
2002;L;48;dl2006/slutresultat_00R.xml NATION/GILTIGA MANDAT_FGVAL (foregaende val 2002)
2002;KD;33;dl2006/slutresultat_00R.xml NATION/GILTIGA MANDAT_FGVAL (foregaende val 2002)
2002;V;30;dl2006/slutresultat_00R.xml NATION/GILTIGA MANDAT_FGVAL (foregaende val 2002)
2002;C;22;dl2006/slutresultat_00R.xml NATION/GILTIGA MANDAT_FGVAL (foregaende val 2002)
2002;MP;17;dl2006/slutresultat_00R.xml NATION/GILTIGA MANDAT_FGVAL (foregaende val 2002)
2006;S;130;dl2006/slutresultat_00R.xml NATION/GILTIGA MANDAT
2006;M;97;dl2006/slutresultat_00R.xml NATION/GILTIGA MANDAT
2006;C;29;dl2006/slutresultat_00R.xml NATION/GILTIGA MANDAT
2006;L;28;dl2006/slutresultat_00R.xml NATION/GILTIGA MANDAT
2006;KD;24;dl2006/slutresultat_00R.xml NATION/GILTIGA MANDAT
2006;V;22;dl2006/slutresultat_00R.xml NATION/GILTIGA MANDAT
2006;MP;19;dl2006/slutresultat_00R.xml NATION/GILTIGA MANDAT
2010;S;112;mandatfordelning_per_valkrets_R (1).xls, summa per parti av <parti> och <parti> utj over alla valkretsar
2010;M;107;mandatfordelning_per_valkrets_R (1).xls, summa per parti av <parti> och <parti> utj over alla valkretsar
2010;MP;25;mandatfordelning_per_valkrets_R (1).xls, summa per parti av <parti> och <parti> utj over alla valkretsar
2010;L;24;mandatfordelning_per_valkrets_R (1).xls, summa per parti av <parti> och <parti> utj over alla valkretsar
2010;C;23;mandatfordelning_per_valkrets_R (1).xls, summa per parti av <parti> och <parti> utj over alla valkretsar
2010;SD;20;mandatfordelning_per_valkrets_R (1).xls, summa per parti av <parti> och <parti> utj over alla valkretsar
2010;KD;19;mandatfordelning_per_valkrets_R (1).xls, summa per parti av <parti> och <parti> utj over alla valkretsar
2010;V;19;mandatfordelning_per_valkrets_R (1).xls, summa per parti av <parti> och <parti> utj over alla valkretsar
2014;S;113;mandatfordelning_per_valkrets_R.xls (Valmyndigheten 2014-10-31), summa per parti av <parti> och <parti> utj over alla valkretsar
2014;M;84;mandatfordelning_per_valkrets_R.xls (Valmyndigheten 2014-10-31), summa per parti av <parti> och <parti> utj over alla valkretsar
2014;SD;49;mandatfordelning_per_valkrets_R.xls (Valmyndigheten 2014-10-31), summa per parti av <parti> och <parti> utj over alla valkretsar
2014;MP;25;mandatfordelning_per_valkrets_R.xls (Valmyndigheten 2014-10-31), summa per parti av <parti> och <parti> utj over alla valkretsar
2014;C;22;mandatfordelning_per_valkrets_R.xls (Valmyndigheten 2014-10-31), summa per parti av <parti> och <parti> utj over alla valkretsar
2014;V;21;mandatfordelning_per_valkrets_R.xls (Valmyndigheten 2014-10-31), summa per parti av <parti> och <parti> utj over alla valkretsar
2014;L;19;mandatfordelning_per_valkrets_R.xls (Valmyndigheten 2014-10-31), summa per parti av <parti> och <parti> utj over alla valkretsar
2014;KD;16;mandatfordelning_per_valkrets_R.xls (Valmyndigheten 2014-10-31), summa per parti av <parti> och <parti> utj over alla valkretsar
2018;S;100;2018_mandat.xlsx flik Mandatfördelning, VALTYP R, summa SUMMA MANDAT per PARTIFÖRKORTNING over alla valkretsar
2018;M;70;2018_mandat.xlsx flik Mandatfördelning, VALTYP R, summa SUMMA MANDAT per PARTIFÖRKORTNING over alla valkretsar
2018;SD;62;2018_mandat.xlsx flik Mandatfördelning, VALTYP R, summa SUMMA MANDAT per PARTIFÖRKORTNING over alla valkretsar
2018;C;31;2018_mandat.xlsx flik Mandatfördelning, VALTYP R, summa SUMMA MANDAT per PARTIFÖRKORTNING over alla valkretsar
2018;V;28;2018_mandat.xlsx flik Mandatfördelning, VALTYP R, summa SUMMA MANDAT per PARTIFÖRKORTNING over alla valkretsar
2018;KD;22;2018_mandat.xlsx flik Mandatfördelning, VALTYP R, summa SUMMA MANDAT per PARTIFÖRKORTNING over alla valkretsar
2018;L;20;2018_mandat.xlsx flik Mandatfördelning, VALTYP R, summa SUMMA MANDAT per PARTIFÖRKORTNING over alla valkretsar
2018;MP;16;2018_mandat.xlsx flik Mandatfördelning, VALTYP R, summa SUMMA MANDAT per PARTIFÖRKORTNING over alla valkretsar
2022;S;107;Mandatfordelning-jamforelser-mellan-2018-och-2022.xlsx flik Riksdag kolumn 2022
2022;SD;73;Mandatfordelning-jamforelser-mellan-2018-och-2022.xlsx flik Riksdag kolumn 2022
2022;M;68;Mandatfordelning-jamforelser-mellan-2018-och-2022.xlsx flik Riksdag kolumn 2022
2022;C;24;Mandatfordelning-jamforelser-mellan-2018-och-2022.xlsx flik Riksdag kolumn 2022
2022;V;24;Mandatfordelning-jamforelser-mellan-2018-och-2022.xlsx flik Riksdag kolumn 2022
2022;KD;19;Mandatfordelning-jamforelser-mellan-2018-och-2022.xlsx flik Riksdag kolumn 2022
2022;MP;18;Mandatfordelning-jamforelser-mellan-2018-och-2022.xlsx flik Riksdag kolumn 2022
2022;L;16;Mandatfordelning-jamforelser-mellan-2018-och-2022.xlsx flik Riksdag kolumn 2022
