ar;val;valkrets;parti;fasta;utjamning;totalt;kalla
2002;rd;Göteborgs kommun;S;6;0;6;dl2006/slutresultat_00R.xml KRETS_RIKSDAG 1416 MANDAT_FGVAL, utjamning ur historik.val.se val_02 00-text.html M(U)
2002;rd;Göteborgs kommun;L;3;1;4;dl2006/slutresultat_00R.xml KRETS_RIKSDAG 1416 MANDAT_FGVAL, utjamning ur historik.val.se val_02 00-text.html M(U)
2002;rd;Göteborgs kommun;M;3;0;3;dl2006/slutresultat_00R.xml KRETS_RIKSDAG 1416 MANDAT_FGVAL, utjamning ur historik.val.se val_02 00-text.html M(U)
2002;rd;Göteborgs kommun;KD;2;0;2;dl2006/slutresultat_00R.xml KRETS_RIKSDAG 1416 MANDAT_FGVAL, utjamning ur historik.val.se val_02 00-text.html M(U)
2002;rd;Göteborgs kommun;V;2;0;2;dl2006/slutresultat_00R.xml KRETS_RIKSDAG 1416 MANDAT_FGVAL, utjamning ur historik.val.se val_02 00-text.html M(U)
2002;rd;Göteborgs kommun;MP;1;0;1;dl2006/slutresultat_00R.xml KRETS_RIKSDAG 1416 MANDAT_FGVAL, utjamning ur historik.val.se val_02 00-text.html M(U)
2002;rf;Göteborgs kommun;S;;;15;dl2006/slutresultat_00L.xml KRETS_LANDSTING 1401 MANDAT_FGVAL (utjamning okand)
2002;rf;Göteborgs kommun;M;;;9;dl2006/slutresultat_00L.xml KRETS_LANDSTING 1401 MANDAT_FGVAL (utjamning okand)
2002;rf;Göteborgs kommun;L;;;8;dl2006/slutresultat_00L.xml KRETS_LANDSTING 1401 MANDAT_FGVAL (utjamning okand)
2002;rf;Göteborgs kommun;V;;;5;dl2006/slutresultat_00L.xml KRETS_LANDSTING 1401 MANDAT_FGVAL (utjamning okand)
2002;rf;Göteborgs kommun;KD;;;4;dl2006/slutresultat_00L.xml KRETS_LANDSTING 1401 MANDAT_FGVAL (utjamning okand)
2002;rf;Göteborgs kommun;MP;;;3;dl2006/slutresultat_00L.xml KRETS_LANDSTING 1401 MANDAT_FGVAL (utjamning okand)
2002;rf;Göteborgs kommun;C;;;1;dl2006/slutresultat_00L.xml KRETS_LANDSTING 1401 MANDAT_FGVAL (utjamning okand)
