kod_2018;kod_2022;procent;jamforbart;namn_2018;namn_2022;avvikelse;kalla_fil
;14800101;;nej;;Nordöstra Göteborg Bergum;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800102;;nej;;Nordöstra Göteborg Olofstorp;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800103;;nej;;Nordöstra Göteborg Björsared;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800104;;nej;;Nordöstra Göteborg Gunnilse;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800105;;nej;;Nordöstra Göteborg Linnarhult;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800106;;nej;;Nordöstra Göteborg Angereds Centrum;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800107;;nej;;Nordöstra Göteborg Storås;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800108;;nej;;Nordöstra Göteborg Eriksbo Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800109;;nej;;Nordöstra Göteborg Hammarkullen C;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800110;;nej;;Nordöstra Göteborg Hammarkullen Ö;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800111;;nej;;Nordöstra Göteborg, Sandeslätt;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800112;;nej;;Nordöstra Göteborg, Hammarkullen V;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800113;;nej;;Nordöstra Göteborg, Eriksbo Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800114;;nej;;Nordöstra Göteborg, Bläsebo;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800115;;nej;;Nordöstra Göteborg, Hjällbo Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800116;;nej;;Nordöstra Göteborg, Skolspåret;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800117;;nej;;Nordöstra Göteborg, Hjällbo Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800118;;nej;;Nordöstra Göteborg, Agnesberg;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800119;;nej;;Nordöstra Göteborg, Gårdsten Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800120;;nej;;Nordöstra Göteborg, Gårdsten Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800121;;nej;;Nordöstra Göteborg, Gårdsten Centrum;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800122;;nej;;Nordöstra Göteborg, Gårdsten Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800123;;nej;;Nordöstra Göteborg Gårdstensdalen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800124;;nej;;Nordöstra Göteborg Gårdsten Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800125;;nej;;Nordöstra Göteborg Lövgärdet C;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800126;;nej;;Nordöstra Göteborg Senapsgatan m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800127;;nej;;Nordöstra Göteborg Mejramgatan m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800128;;nej;;Nordöstra Göteborg Lövgärdet Övre;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800129;;nej;;Nordöstra Göteborg Lövgärdet Nedre;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800130;;nej;;Nordöstra Göteborg Trädgårdsgärdet;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800131;;nej;;Nordöstra Göteborg Titteridamm;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800132;;nej;;Nordöstra Göteborg Rannebergen S;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800133;;nej;;Nordöstra Göteborg Rannebergen C;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800134;;nej;;Nordöstra Göteborg Rannebergen N;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800201;;nej;;Östra Göteborg Rymdtorget;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800202;;nej;;Östra Göteborg Gärdsmosse;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800203;;nej;;Östra Göteborg Tellusgatan m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800204;;nej;;Östra Göteborg Bergsjön Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14803051;14800205;;ja;Östra Göteborg, Bergsjön, Norra;Östra Göteborg Bergsjön Norra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800206;;nej;;Östra Göteborg Siriusgatan Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800207;;nej;;Östra Göteborg Siriusgatan Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14803053;14800208;;ja;Östra Göteborg, Gärdsås;Östra Göteborg Gärdsås;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800209;;nej;;Östra Göteborg Bergsjön Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800210;;nej;;Östra Göteborg Komettorget;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800211;;nej;;Östra Göteborg Zenitgatan m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800212;;nej;;Östra Göteborg Fjällbo;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800213;;nej;;Östra Göteborg Utbynäs;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800214;;nej;;Östra Göteborg Utby;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800215;;nej;;Östra Göteborg Kamgatan m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800216;;nej;;Östra Göteborg Kviberg Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800217;;nej;;Östra Göteborg Kvibergsnäs;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800218;;nej;;Östra Göteborg Bellevue Park;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800219;;nej;;Östra Göteborg Bellevue;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800220;;nej;;Östra Göteborg Gamlestaden Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14803014;14800221;;ja;Östra Göteborg, Gamlestaden, Södra;Östra Göteborg Gamlestaden Södra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14803017;14800222;;ja;Östra Göteborg, Nylöse;Östra Göteborg Nylöse;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800223;;nej;;Östra Göteborg Kviberg Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800224;;nej;;Östra Göteborg Kortedala Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800225;;nej;;Östra Göteborg Månadsparken;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800226;;nej;;Östra Göteborg Gregorianska G. m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800227;;nej;;Östra Göteborg Kortedala Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800228;;nej;;Östra Göteborg Kortedala Torg;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800229;;nej;;Östra Göteborg Förstamajgatan m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800230;;nej;;Östra Göteborg Kortedala Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800231;;nej;;Östra Göteborg Månadsgatorna m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800232;;nej;;Östra Göteborg Adventsparken Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800233;;nej;;Östra Göteborg Adventsparken Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800234;;nej;;Östra Göteborg Söndagsgatan m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14803043;14800235;;ja;Östra Göteborg, Kortedala, Norra;Östra Göteborg Kortedala Norra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800301;;nej;;Östra Centrum Fräntorp;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800302;;nej;;Östra Centrum Vidkärr;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
