ar;val;kod;namn;ogiltiga_ej_anmalda;blanka;ogiltiga_ovriga;kalla_fil
2018;kf;14800000;Uppsamlingsdistrikt;22;107;27;2018_K_per_valdistrikt.xlsx
2018;kf;14801011;Majorna-Linné, Gröna Vallen;0;10;3;2018_K_per_valdistrikt.xlsx
2018;kf;14801012;Majorna-Linné, Klippan;1;9;2;2018_K_per_valdistrikt.xlsx
2018;kf;14801013;Majorna-Linné, Kungsladugård, Västra;0;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801014;Majorna-Linné, Kungsladugård, Östra;1;9;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801015;Majorna-Linné, Mariaplan;0;8;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801016;Majorna-Linné, Skytteskogen;0;7;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801017;Majorna-Linné, Svalebo;2;9;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801021;Majorna-Linné, Sandarne;1;8;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801022;Majorna-Linné, Silverkällan;1;10;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801031;Majorna-Linné, Chapmans Torg;0;6;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801032;Majorna-Linné, Godhem;1;11;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801033;Majorna-Linné, Gråberget, Västra;1;5;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801034;Majorna-Linné, Gråberget, Östra;1;9;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801035;Majorna-Linné, Hängmattan;1;8;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801036;Majorna-Linné, Majorna;0;13;2;2018_K_per_valdistrikt.xlsx
2018;kf;14801037;Majorna-Linné, Marieberg;1;1;2;2018_K_per_valdistrikt.xlsx
2018;kf;14801038;Majorna-Linné, Slottsskogsgatan m fl;2;12;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801041;Majorna-Linné, Djurgårdsgatan m fl;0;10;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801042;Majorna-Linné, Gatenhielmska;1;7;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801043;Majorna-Linné, Karl Johans torg;2;12;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801044;Majorna-Linné, Klareborgsgatan m fl;3;8;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801045;Majorna-Linné, Söderlingska ängen;0;11;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801051;Majorna-Linné, Masthugget, Nedre;0;10;2;2018_K_per_valdistrikt.xlsx
2018;kf;14801052;Majorna-Linné, Masthugget, Övre;0;9;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801053;Majorna-Linné, Masthuggstorget;1;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801054;Majorna-Linné, Oscar Fredrik;0;9;2;2018_K_per_valdistrikt.xlsx
2018;kf;14801055;Majorna-Linné, Sjömansgatan m fl;0;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801056;Majorna-Linné, Slottsskogen;2;8;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801057;Majorna-Linné, Stigberget;2;9;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801058;Majorna-Linné, Vegastaden;0;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801061;Majorna-Linné, Änggården;0;5;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801071;Majorna-Linné, Haga Västra;1;10;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801072;Majorna-Linné, Haga Östra;0;5;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801073;Majorna-Linné, Skansberget;0;4;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801081;Majorna-Linné, Annedal, Norra;0;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801082;Majorna-Linné, Annedal, Södra;1;10;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801083;Majorna-Linné, Nilssonsberg;0;8;1;2018_K_per_valdistrikt.xlsx
2018;kf;14801091;Majorna-Linné, Kommendantsängen;0;5;0;2018_K_per_valdistrikt.xlsx
2018;kf;14801092;Majorna-Linné, Linné;2;10;0;2018_K_per_valdistrikt.xlsx
