ar;val;kod;namn;ogiltiga_ej_anmalda;blanka;ogiltiga_ovriga;kalla_fil
2018;rf;14800000;Uppsamlingsdistrikt;17;116;25;2018_L_per_valdistrikt.xlsx
2018;rf;14801011;Majorna-Linné, Gröna Vallen;2;17;2;2018_L_per_valdistrikt.xlsx
2018;rf;14801012;Majorna-Linné, Klippan;0;12;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;3;12;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;2;10;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801015;Majorna-Linné, Mariaplan;2;14;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801016;Majorna-Linné, Skytteskogen;1;10;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801017;Majorna-Linné, Svalebo;1;9;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801021;Majorna-Linné, Sandarne;1;11;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801022;Majorna-Linné, Silverkällan;2;13;2;2018_L_per_valdistrikt.xlsx
2018;rf;14801031;Majorna-Linné, Chapmans Torg;2;8;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801032;Majorna-Linné, Godhem;4;16;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801033;Majorna-Linné, Gråberget, Västra;2;6;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801034;Majorna-Linné, Gråberget, Östra;2;11;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801035;Majorna-Linné, Hängmattan;2;11;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801036;Majorna-Linné, Majorna;3;15;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801037;Majorna-Linné, Marieberg;3;9;3;2018_L_per_valdistrikt.xlsx
2018;rf;14801038;Majorna-Linné, Slottsskogsgatan m fl;2;12;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801041;Majorna-Linné, Djurgårdsgatan m fl;3;14;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801042;Majorna-Linné, Gatenhielmska;1;7;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801043;Majorna-Linné, Karl Johans torg;4;13;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801044;Majorna-Linné, Klareborgsgatan m fl;3;10;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801045;Majorna-Linné, Söderlingska ängen;3;10;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801051;Majorna-Linné, Masthugget, Nedre;0;18;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801052;Majorna-Linné, Masthugget, Övre;2;11;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801053;Majorna-Linné, Masthuggstorget;2;9;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801054;Majorna-Linné, Oscar Fredrik;1;13;2;2018_L_per_valdistrikt.xlsx
2018;rf;14801055;Majorna-Linné, Sjömansgatan m fl;0;12;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801056;Majorna-Linné, Slottsskogen;2;7;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801057;Majorna-Linné, Stigberget;1;12;3;2018_L_per_valdistrikt.xlsx
2018;rf;14801058;Majorna-Linné, Vegastaden;0;9;2;2018_L_per_valdistrikt.xlsx
2018;rf;14801061;Majorna-Linné, Änggården;1;7;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801071;Majorna-Linné, Haga Västra;4;15;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801072;Majorna-Linné, Haga Östra;0;8;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801073;Majorna-Linné, Skansberget;0;11;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801081;Majorna-Linné, Annedal, Norra;0;9;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801082;Majorna-Linné, Annedal, Södra;0;15;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801083;Majorna-Linné, Nilssonsberg;0;12;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801091;Majorna-Linné, Kommendantsängen;1;8;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801092;Majorna-Linné, Linné;2;12;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801093;Majorna-Linné, Linnéplatsen;3;15;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801094;Majorna-Linné, Långgatorna;0;10;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801095;Majorna-Linné, Olivedal;0;9;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801096;Majorna-Linné, Plantagegatan, m fl;1;5;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801097;Majorna-Linné, Risåsen;2;9;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801098;Majorna-Linné, Sveaplan;0;10;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801100;Centrum, Framnäs;4;21;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801101;Centrum, Fredriksdal;2;6;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801102;Centrum, Fridkullagatan m fl;0;5;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801103;Centrum, Getebergsäng;0;10;2;2018_L_per_valdistrikt.xlsx
2018;rf;14801104;Centrum, Kristinehöjd, Västra;2;14;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801105;Centrum, Kristinehöjd, Östra;0;11;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801106;Centrum, Krokslätt, Norra;0;6;3;2018_L_per_valdistrikt.xlsx
2018;rf;14801107;Centrum, Krokslätt, Södra;0;7;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801108;Centrum, Mossen;2;18;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801109;Centrum, Olofshöjd;2;14;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801111;Centrum, Eklanda Norra;0;10;2;2018_L_per_valdistrikt.xlsx
2018;rf;14801112;Centrum, Eklanda Södra;0;12;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801113;Centrum, Johanneberg, Nedre;1;14;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801114;Centrum, Johanneberg, Västra;1;10;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801115;Centrum, Johanneberg, Östra;0;8;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801116;Centrum, Johanneberg, Övre;0;10;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801121;Centrum, Landala;3;10;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801122;Centrum, Landalabergen m fl;2;21;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801123;Centrum, Landalagången m fl;2;10;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801131;Centrum, Doktor Forselius Backe m fl;0;7;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801132;Centrum, Guldheden Vattentornet;0;14;5;2018_L_per_valdistrikt.xlsx
2018;rf;14801133;Centrum, Guldheden Östra;3;10;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801134;Centrum, Guldheden, Centrala;3;17;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801135;Centrum, Guldheden, Norra;2;8;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801136;Centrum, Guldheden, Södra;0;13;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801137;Centrum, Landala Egnahem;0;9;0;2018_L_per_valdistrikt.xlsx
2018;rf;14801141;Centrum, Lorensberg;1;7;3;2018_L_per_valdistrikt.xlsx
2018;rf;14801151;Centrum, Fogelbergsparken;1;7;1;2018_L_per_valdistrikt.xlsx
2018;rf;14801152;Centrum, Valand;0;3;1;2018_L_per_valdistrikt.xlsx
