ar;val;parti_kalla;parti;beteckning;farg;kalla_fil
2006;rd;0518;0518;Nordisk Union;;slutresultat_1480R.xml
2006;rd;0520;0520;Partiet.se;;slutresultat_1480R.xml
2006;rd;0524;0524;Piratpartiet;;slutresultat_1480R.xml
2006;rd;0538;0538;Folkets Vilja;;slutresultat_1480R.xml
2006;rd;0603;0603;Nationalsocialistisk front (NSF);;slutresultat_1480R.xml
2006;rd;0638;0638;Klassiskt Liberala Partiet;;slutresultat_1480R.xml
2006;rd;0677;0677;Sverige ut ur EU (UT) / Frihetliga Rättvisepartiet (FRP);;slutresultat_1480R.xml
2006;rd;AKTD;AKTD;www.aktivdemokrati.se Partiet för kontinuerlig direktdemokrati;;slutresultat_1480R.xml
2006;rd;BLANK;BLANK;Ogiltiga röster blanka;#cc99ff;slutresultat_1480R.xml
2006;rd;C;C;Centerpartiet;#00ff00;slutresultat_1480R.xml
2006;rd;EAP;EAP;Europeiska Arbetarpartiet-EAP;;slutresultat_1480R.xml
2006;rd;ENH;ENH;Enhet;;slutresultat_1480R.xml
2006;rd;Fi;FI;Feministiskt initiativ;#ff66cc;slutresultat_1480R.xml
2006;rd;FP;L;Folkpartiet liberalerna;#00ccff;slutresultat_1480R.xml
2006;rd;JL;JL;Junilistan;#ff9900;slutresultat_1480R.xml
2006;rd;KD;KD;Kristdemokraterna;#3366ff;slutresultat_1480R.xml
2006;rd;KK;KK;Kvinnokraft;;slutresultat_1480R.xml
2006;rd;KOMM;KOMM;Kommunisterna;#999966;slutresultat_1480R.xml
2006;rd;M;M;Moderata Samlingspartiet;#0000cc;slutresultat_1480R.xml
2006;rd;MP;MP;Miljöpartiet de gröna;#339900;slutresultat_1480R.xml
2006;rd;ND;ND;Nationaldemokraterna;#99cc99;slutresultat_1480R.xml
2006;rd;NYF;NYF;Ny Framtid;#999966;slutresultat_1480R.xml
2006;rd;OG;OG;Ogiltiga röster övriga;#003300;slutresultat_1480R.xml
2006;rd;RS;RS;Rättvisepartiet Socialisterna;#ff6633;slutresultat_1480R.xml
2006;rd;S;S;Arbetarepartiet-Socialdemokraterna;#ff0099;slutresultat_1480R.xml
2006;rd;SD;SD;Sverigedemokraterna;#ff6600;slutresultat_1480R.xml
2006;rd;Sjvåp;SJVÅP;Sjukvårdspartiet;;slutresultat_1480R.xml
2006;rd;SPI;SPI;SPI - Sveriges Pensionärers Intresseparti;#ffff00;slutresultat_1480R.xml
2006;rd;UP;UP;Unika Partiet;;slutresultat_1480R.xml
2006;rd;V;V;Vänsterpartiet;#ff0000;slutresultat_1480R.xml
2006;rd;ÖVR;ÖVR;Övriga partier;#cccccc;slutresultat_1480R.xml
2006;rf;BLANK;BLANK;Ogiltiga röster blanka;#cc99ff;slutresultat_1480L.xml
2006;rf;C;C;Centerpartiet;#00ff00;slutresultat_1480L.xml
2006;rf;FP;L;Folkpartiet liberalerna;#00ccff;slutresultat_1480L.xml
2006;rf;K;K;Kommunistiska Partiet;#ff0033;slutresultat_1480L.xml
2006;rf;KD;KD;Kristdemokraterna;#3366ff;slutresultat_1480L.xml
2006;rf;M;M;Moderata Samlingspartiet;#0000cc;slutresultat_1480L.xml
2006;rf;MP;MP;Miljöpartiet de gröna;#339900;slutresultat_1480L.xml
2006;rf;ND;ND;Nationaldemokraterna;#99cc99;slutresultat_1480L.xml
2006;rf;OG;OG;Ogiltiga röster övriga;#003300;slutresultat_1480L.xml
2006;rf;RS;RS;Rättvisepartiet Socialisterna;#ff6633;slutresultat_1480L.xml
2006;rf;S;S;Arbetarepartiet-Socialdemokraterna;#ff0099;slutresultat_1480L.xml
2006;rf;SD;SD;Sverigedemokraterna;#ff6600;slutresultat_1480L.xml
2006;rf;SPI;SPI;SPI - Sveriges Pensionärers Intresseparti;#ffff00;slutresultat_1480L.xml
2006;rf;SPVG;SPVG;Sjukvårdspartiet - Västra Götaland;#3399ff;slutresultat_1480L.xml
2006;rf;V;V;Vänsterpartiet;#ff0000;slutresultat_1480L.xml
2006;rf;Väp;VÄP;Välfärdspartiet;#cc6699;slutresultat_1480L.xml
2006;rf;ÖVR;ÖVR;Övriga partier;#cccccc;slutresultat_1480L.xml
2006;kf;0450;0450;Framtidspartiet Sverige;;slutresultat_1480K.xml
2006;kf;BLANK;BLANK;Ogiltiga röster blanka;#cc99ff;slutresultat_1480K.xml
2006;kf;C;C;Centerpartiet;#00ff00;slutresultat_1480K.xml
2006;kf;Fi;FI;Feministiskt initiativ;#ff66cc;slutresultat_1480K.xml
2006;kf;FP;L;Folkpartiet liberalerna;#00ccff;slutresultat_1480K.xml
2006;kf;K;K;Kommunistiska Partiet;#ff0033;slutresultat_1480K.xml
2006;kf;KD;KD;Kristdemokraterna;#3366ff;slutresultat_1480K.xml
2006;kf;M;M;Moderata Samlingspartiet;#0000cc;slutresultat_1480K.xml
2006;kf;MP;MP;Miljöpartiet de gröna;#339900;slutresultat_1480K.xml
2006;kf;ND;ND;Nationaldemokraterna;#99cc99;slutresultat_1480K.xml
2006;kf;OG;OG;Ogiltiga röster övriga;#003300;slutresultat_1480K.xml
2006;kf;RS;RS;Rättvisepartiet Socialisterna;#ff6633;slutresultat_1480K.xml
