ar;val;parti_kalla;parti;namn;namn_kalla
2018;rd;M;M;Moderaterna;2018_mandat.xlsx PARTIBETECKNING
2018;rd;C;C;Centerpartiet;2018_mandat.xlsx PARTIBETECKNING
2018;rd;L;L;Liberalerna (tidigare Folkpartiet);2018_mandat.xlsx PARTIBETECKNING
2018;rd;KD;KD;Kristdemokraterna;2018_mandat.xlsx PARTIBETECKNING
2018;rd;S;S;Arbetarepartiet-Socialdemokraterna;2018_mandat.xlsx PARTIBETECKNING
2018;rd;V;V;Vänsterpartiet;2018_mandat.xlsx PARTIBETECKNING
2018;rd;MP;MP;Miljöpartiet de gröna;2018_mandat.xlsx PARTIBETECKNING
2018;rd;SD;SD;Sverigedemokraterna;2018_mandat.xlsx PARTIBETECKNING
2018;rd;FI;FI;Feministiskt initiativ;2018_mandat.xlsx PARTIBETECKNING
2018;rd;AfS;AFS;Alternativ för Sverige;deltagande_partier.skv PARTIBETECKNING
2018;rd;BASIP;BASIP;Basinkomstpartiet;historik.val.se distriktssida R 14804154 (rad utan Förk.), styrkt mot 2018_R_per_valdistrikt.xlsx kolumn BASIP
2018;rd;DD;DD;Direktdemokraterna;deltagande_partier.skv PARTIBETECKNING
2018;rd;DjuP;DJUP;Djurens parti;deltagande_partier.skv PARTIBETECKNING
2018;rd;EAP;EAP;Europeiska Arbetarpartiet-EAP;deltagande_partier.skv PARTIBETECKNING
2018;rd;ENH;ENH;Enhet;deltagande_partier.skv PARTIBETECKNING
2018;rd;INI;INI;Initiativet;historik.val.se distriktssida R 14805173 (rad utan Förk.), styrkt mot 2018_R_per_valdistrikt.xlsx kolumn INI
2018;rd;KLP;KLP;Klassiskt liberala partiet;deltagande_partier.skv PARTIBETECKNING
2018;rd;KrVP;KRVP;Kristna Värdepartiet;deltagande_partier.skv PARTIBETECKNING
2018;rd;LPo;LPO;Landsbygdspartiet Oberoende;deltagande_partier.skv PARTIBETECKNING
2018;rd;MED;MED;Medborgerlig Samling;deltagande_partier.skv PARTIBETECKNING
2018;rd;NMR;NMR;Nordiska motståndsrörelsen;deltagande_partier.skv PARTIBETECKNING
2018;rd;NYREF;NYREF;NY REFORM;historik.val.se distriktssida R 14807031 (rad utan Förk.), styrkt mot 2018_R_per_valdistrikt.xlsx kolumn NYREF
2018;rd;PP;PP;Piratpartiet;deltagande_partier.skv PARTIBETECKNING
2018;rd;SKP;SKP;Sveriges Kommunistiska Parti (SKP);deltagande_partier.skv PARTIBETECKNING
2018;rd;TRP;TRP;TRYGGHETSPARTIET;deltagande_partier.skv PARTIBETECKNING
2018;rd;ÖVR;ÖVR;Övriga anmälda partier;historik.val.se distriktssidor, kolumnen Parti
2018;rf;M;M;Moderaterna;2018_mandat.xlsx PARTIBETECKNING
2018;rf;C;C;Centerpartiet;2018_mandat.xlsx PARTIBETECKNING
2018;rf;L;L;Liberalerna (tidigare Folkpartiet);2018_mandat.xlsx PARTIBETECKNING
2018;rf;KD;KD;Kristdemokraterna;2018_mandat.xlsx PARTIBETECKNING
2018;rf;S;S;Arbetarepartiet-Socialdemokraterna;2018_mandat.xlsx PARTIBETECKNING
2018;rf;V;V;Vänsterpartiet;2018_mandat.xlsx PARTIBETECKNING
2018;rf;MP;MP;Miljöpartiet de gröna;2018_mandat.xlsx PARTIBETECKNING
2018;rf;SD;SD;Sverigedemokraterna;2018_mandat.xlsx PARTIBETECKNING
2018;rf;FI;FI;Feministiskt initiativ;2018_mandat.xlsx PARTIBETECKNING
2018;rf;DEM;D;Demokraterna;2018_mandat.xlsx PARTIBETECKNING
2018;rf;KrVP;KRVP;Kristna Värdepartiet;deltagande_partier.skv PARTIBETECKNING
2018;rf;MED;MED;Medborgerlig Samling;deltagande_partier.skv PARTIBETECKNING
2018;rf;NMR;NMR;Nordiska motståndsrörelsen;deltagande_partier.skv PARTIBETECKNING
2018;rf;Rf;RF;Regionens framtid;deltagande_partier.skv PARTIBETECKNING
2018;rf;RS;RS;Rättvisepartiet Socialisterna;deltagande_partier.skv PARTIBETECKNING
2018;rf;SPVG;SPVG;Sjukvårdspartiet - Västra Götaland;deltagande_partier.skv PARTIBETECKNING
2018;rf;ÖVR;ÖVR;Övriga anmälda partier;historik.val.se distriktssidor, kolumnen Parti
2018;kf;M;M;Moderaterna;2018_mandat.xlsx PARTIBETECKNING
2018;kf;C;C;Centerpartiet;2018_mandat.xlsx PARTIBETECKNING
2018;kf;L;L;Liberalerna (tidigare Folkpartiet);2018_mandat.xlsx PARTIBETECKNING
2018;kf;KD;KD;Kristdemokraterna;2018_mandat.xlsx PARTIBETECKNING
2018;kf;S;S;Arbetarepartiet-Socialdemokraterna;2018_mandat.xlsx PARTIBETECKNING
2018;kf;V;V;Vänsterpartiet;2018_mandat.xlsx PARTIBETECKNING
2018;kf;MP;MP;Miljöpartiet de gröna;2018_mandat.xlsx PARTIBETECKNING
2018;kf;SD;SD;Sverigedemokraterna;2018_mandat.xlsx PARTIBETECKNING
2018;kf;FI;FI;Feministiskt initiativ;2018_mandat.xlsx PARTIBETECKNING
2018;kf;1397;1397;Skolpartiet Göteborg;deltagande_partier.skv PARTIBETECKNING
2018;kf;470;470;Seniorpartiet;deltagande_partier.skv PARTIBETECKNING
2018;kf;DEM;D;Demokraterna;2018_mandat.xlsx PARTIBETECKNING
2018;kf;DjuP;DJUP;Djurens parti;deltagande_partier.skv PARTIBETECKNING
2018;kf;K;K;Kommunistiska Partiet;deltagande_partier.skv PARTIBETECKNING
2018;kf;KrVP;KRVP;Kristna Värdepartiet;deltagande_partier.skv PARTIBETECKNING
2018;kf;MED;MED;Medborgerlig Samling;deltagande_partier.skv PARTIBETECKNING
2018;kf;PP;PP;Piratpartiet;deltagande_partier.skv PARTIBETECKNING
2018;kf;RS;RS;Rättvisepartiet Socialisterna;deltagande_partier.skv PARTIBETECKNING
2018;kf;VägV;VÄGV;Vägvalet;deltagande_partier.skv PARTIBETECKNING
2018;kf;ÖVR;ÖVR;Övriga anmälda partier;historik.val.se distriktssidor, kolumnen Parti
