ar;val;kod;namn;kon;medborgarskap;aldersgrupp;antal
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Män;Svenska medborgare;18-29 förstagångsväljare;42
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;44
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Män;Ej svenska medborgare;18-29 förstagångsväljare;9
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;5
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Män;Svenska medborgare;18-29 ej förstagångsväljare;64
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;78
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;24
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;21
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Män;Svenska medborgare;30-49;159
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Kvinnor;Svenska medborgare;30-49;157
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Män;Ej svenska medborgare;30-49;73
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Kvinnor;Ej svenska medborgare;30-49;46
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Män;Svenska medborgare;50-64;138
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Kvinnor;Svenska medborgare;50-64;133
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Män;Ej svenska medborgare;50-64;29
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Kvinnor;Ej svenska medborgare;50-64;30
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Män;Svenska medborgare;65-;78
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Kvinnor;Svenska medborgare;65-;91
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Män;Ej svenska medborgare;65-;9
2010;kf;14800111;Gunnared, Lövgärdets Centrum;Kvinnor;Ej svenska medborgare;65-;12
2010;kf;14800112;Gunnared, Övre Lövgärdet;Män;Svenska medborgare;18-29 förstagångsväljare;51
2010;kf;14800112;Gunnared, Övre Lövgärdet;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;61
2010;kf;14800112;Gunnared, Övre Lövgärdet;Män;Ej svenska medborgare;18-29 förstagångsväljare;8
2010;kf;14800112;Gunnared, Övre Lövgärdet;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;8
2010;kf;14800112;Gunnared, Övre Lövgärdet;Män;Svenska medborgare;18-29 ej förstagångsväljare;128
2010;kf;14800112;Gunnared, Övre Lövgärdet;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;121
2010;kf;14800112;Gunnared, Övre Lövgärdet;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;28
2010;kf;14800112;Gunnared, Övre Lövgärdet;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;35
2010;kf;14800112;Gunnared, Övre Lövgärdet;Män;Svenska medborgare;30-49;258
2010;kf;14800112;Gunnared, Övre Lövgärdet;Kvinnor;Svenska medborgare;30-49;241
2010;kf;14800112;Gunnared, Övre Lövgärdet;Män;Ej svenska medborgare;30-49;80
2010;kf;14800112;Gunnared, Övre Lövgärdet;Kvinnor;Ej svenska medborgare;30-49;58
2010;kf;14800112;Gunnared, Övre Lövgärdet;Män;Svenska medborgare;50-64;149
2010;kf;14800112;Gunnared, Övre Lövgärdet;Kvinnor;Svenska medborgare;50-64;139
2010;kf;14800112;Gunnared, Övre Lövgärdet;Män;Ej svenska medborgare;50-64;26
2010;kf;14800112;Gunnared, Övre Lövgärdet;Kvinnor;Ej svenska medborgare;50-64;28
2010;kf;14800112;Gunnared, Övre Lövgärdet;Män;Svenska medborgare;65-;77
2010;kf;14800112;Gunnared, Övre Lövgärdet;Kvinnor;Svenska medborgare;65-;109
2010;kf;14800112;Gunnared, Övre Lövgärdet;Män;Ej svenska medborgare;65-;18
2010;kf;14800112;Gunnared, Övre Lövgärdet;Kvinnor;Ej svenska medborgare;65-;15
2010;kf;14800113;Gunnared, Nedre Lövgärdet;Män;Svenska medborgare;18-29 förstagångsväljare;72
2010;kf;14800113;Gunnared, Nedre Lövgärdet;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;88
2010;kf;14800113;Gunnared, Nedre Lövgärdet;Män;Ej svenska medborgare;18-29 förstagångsväljare;13
2010;kf;14800113;Gunnared, Nedre Lövgärdet;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;13
