ar;val;län_id;län_namn;kommun_id;kommun_namn;kommunvalkrets_id;kommunvalkrets_namn;valdistrikt_id;valdistrikt_namn;Män/Svenska medborgare/18-29 förstagångsväljare;Kvinnor/Svenska medborgare/18-29 förstagångsväljare;Män/Ej svenska medborgare/18-29 förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 förstagångsväljare;Män/Svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Svenska medborgare/18-29 ej förstagångsväljare;Män/Ej svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 ej förstagångsväljare;Män/Svenska medborgare/30-49;Kvinnor/Svenska medborgare/30-49;Män/Ej svenska medborgare/30-49;Kvinnor/Ej svenska medborgare/30-49;Män/Svenska medborgare/50-64;Kvinnor/Svenska medborgare/50-64;Män/Ej svenska medborgare/50-64;Kvinnor/Ej svenska medborgare/50-64;Män/Svenska medborgare/65-;Kvinnor/Svenska medborgare/65-;Män/Ej svenska medborgare/65-;Kvinnor/Ej svenska medborgare/65-;totalt
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800111;Gunnared, Lövgärdets Centrum;42;44;9;5;64;78;24;21;159;157;73;46;138;133;29;30;78;91;9;12;1242
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800112;Gunnared, Övre Lövgärdet;51;61;8;8;128;121;28;35;258;241;80;58;149;139;26;28;77;109;18;15;1638
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800113;Gunnared, Nedre Lövgärdet;72;88;13;13;124;126;41;47;276;264;106;69;224;210;47;27;130;119;22;25;2043
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800121;Gunnared, Södra Rannebergen;37;44;10;6;102;112;31;25;246;225;62;59;144;156;27;27;114;153;18;11;1609
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800122;Gunnared, Norra Rannebergen;88;73;2;3;96;78;8;11;242;230;25;28;253;250;31;29;114;123;10;15;1709
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800131;Gunnared, Västra Gårdsten;36;29;12;6;60;48;38;28;134;158;86;62;109;103;53;44;71;87;21;15;1200
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800132;Gunnared, Norra Gårdsten;54;52;19;21;117;106;80;79;263;225;180;101;156;143;68;36;93;71;13;17;1894
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800133;Gunnared, Östra Gårdsten;60;60;14;6;99;83;32;35;169;200;84;63;160;143;45;25;88;109;12;16;1503
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800134;Gunnared, Södra Gårdsten;32;24;4;5;68;64;17;18;188;155;66;34;79;59;26;14;49;46;3;7;958
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800141;Gunnared, Angereds Centrum;75;69;4;6;81;81;16;12;204;233;22;17;172;206;24;20;103;128;10;10;1493
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800142;Gunnared, Trädgårdsgärdet;51;55;4;2;83;79;12;10;140;192;22;20;157;173;14;21;80;79;11;7;1212
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800211;Lärjedalen, Agnesberg;22;29;0;2;45;37;8;10;107;78;21;14;109;100;15;11;81;89;8;15;801
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800221;Lärjedalen, Västra Hammarkullen;78;79;16;14;106;124;31;31;240;288;98;79;152;161;26;23;81;89;18;14;1748
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800222;Lärjedalen, Östra Hammarkullen;67;55;9;15;121;113;55;42;273;267;86;56;159;140;28;29;121;155;23;23;1837
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800223;Lärjedalen, Sandeslätt;60;59;8;5;97;107;22;24;196;200;60;45;153;155;13;27;88;96;7;15;1437
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800231;Lärjedalen, Gunnilse-Linnarhult;55;45;4;0;60;49;3;4;244;253;25;18;225;192;14;15;140;110;8;8;1472
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800251;Lärjedalen, Björsared-Knipared;64;55;1;0;67;49;2;4;311;314;18;21;202;166;12;13;86;71;8;3;1467
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800252;Lärjedalen, Olofstorp;73;73;2;1;69;51;3;4;402;404;31;33;180;159;7;7;120;129;9;11;1768
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800261;Lärjedalen, Södra Hjällbo;54;42;2;6;65;72;22;21;112;152;73;29;64;66;10;9;38;45;5;9;896
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800262;Lärjedalen, Skolspåret;41;49;8;5;73;63;23;22;149;181;43;21;87;118;12;12;51;70;7;17;1052
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800263;Lärjedalen, Norra Hjällbo;64;66;10;4;110;96;24;30;176;247;66;31;132;121;8;13;69;85;7;9;1368
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800264;Lärjedalen, Bläsebo;59;47;4;4;89;100;20;17;251;229;35;24;139;137;18;18;74;67;12;11;1355
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800271;Lärjedalen, Eriksbo;48;80;19;13;115;115;48;34;242;247;95;89;131;130;37;29;74;96;7;13;1662
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800311;Kortedala, Gamlestaden;58;65;4;1;279;312;35;24;354;275;58;34;94;78;15;7;53;63;9;6;1824
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800312;Kortedala, Nylöse;28;38;3;3;161;186;16;11;302;226;71;27;189;113;30;12;78;91;9;13;1607
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800313;Kortedala, Kviberg;92;118;3;4;228;259;18;16;133;132;16;26;111;136;8;3;138;268;7;12;1728
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800314;Kortedala, Bellevue;28;42;1;3;171;209;14;5;221;161;27;16;77;67;7;7;62;78;7;6;1209
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800321;Kortedala, Utbynäs;53;49;1;0;37;43;0;1;206;196;6;10;136;114;3;9;105;113;4;6;1092
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800322;Kortedala, Utby;65;60;1;2;41;43;0;1;278;314;17;9;170;155;10;11;134;148;3;1;1463
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800323;Kortedala, Fjällbo;46;45;2;1;71;69;11;4;331;335;26;13;141;126;12;8;106;141;4;6;1498
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800331;Kortedala, Gregorianska gatan m fl;23;27;9;3;135;122;24;23;201;167;67;39;153;121;15;15;82;118;5;14;1363
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800332;Kortedala, Västra Kortedala;42;28;1;1;109;122;10;11;175;164;26;17;138;137;11;18;169;266;13;13;1471
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800333;Kortedala, Östra Kortedala;30;35;0;5;159;195;48;23;244;162;78;38;114;147;25;19;135;190;12;20;1679
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800334;Kortedala, Kortedala Centrum;25;35;4;5;107;156;25;17;209;183;58;39;136;115;17;16;107;205;8;11;1478
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800335;Kortedala, Södra Kortedala;36;42;3;2;90;102;3;8;242;255;21;17;115;130;4;12;80;139;2;2;1305
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800341;Kortedala, Adventsparken;21;39;0;2;94;106;18;10;197;196;37;24;140;147;13;23;157;253;10;13;1500
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800342;Kortedala, Norra Kortedala;57;58;7;4;153;198;36;24;275;261;52;39;159;167;18;16;101;122;8;14;1769
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800343;Kortedala, Månadsgatorna m fl;41;49;2;5;136;189;31;23;254;244;74;44;156;141;17;15;102;129;8;12;1672
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800411;Bergsjön, Gärdsås;28;39;1;3;60;55;6;4;128;146;22;20;127;111;7;10;104;115;4;7;997
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800412;Bergsjön, Siriusgatan;36;50;12;15;125;120;65;48;269;236;156;83;143;138;33;29;95;96;10;17;1776
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800413;Bergsjön, Gärdsmosse;41;46;18;15;132;126;68;44;213;142;147;89;111;92;43;34;74;86;17;18;1556
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800414;Bergsjön, Norra Bergsjön;23;34;4;4;116;119;8;12;139;128;33;19;73;75;14;11;73;95;11;10;1001
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800421;Bergsjön, Södra Bergsjön;65;62;16;14;80;75;38;39;201;232;95;69;130;112;24;17;63;89;10;15;1446
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800422;Bergsjön, Östra Bergsjön;75;70;19;14;80;78;43;42;204;255;108;117;111;119;34;29;52;70;13;17;1550
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800423;Bergsjön, Rymdtorget;16;23;5;5;70;71;33;30;166;118;83;41;89;61;26;15;42;65;9;11;979
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800424;Bergsjön, Komettorget;54;55;7;3;109;94;57;21;164;140;71;46;160;121;32;15;154;88;26;20;1437
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800511;Härlanda, Härlanda;53;44;0;0;86;103;2;2;218;231;15;13;152;140;5;3;65;85;4;2;1223
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800521;Härlanda, Södra Kålltorp;43;52;0;2;148;181;4;6;271;253;17;13;155;165;6;6;103;208;6;1;1640
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800522;Härlanda, Västra Kålltorp;22;29;1;1;115;155;3;3;193;214;11;7;99;101;2;5;47;53;2;2;1065
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800523;Härlanda, Östra Kålltorp;28;24;1;1;130;162;6;3;223;217;13;6;79;73;4;5;43;51;4;1;1074
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800524;Härlanda, Vidkärr;26;36;1;2;135;177;5;6;293;278;28;12;114;111;6;4;63;86;5;3;1391
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800525;Härlanda, Munkebäck;26;28;0;2;226;245;9;11;314;285;21;15;104;140;1;3;88;174;4;5;1701
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800531;Härlanda, Torpa;66;55;3;0;151;158;5;2;259;316;21;22;187;187;3;2;130;210;4;2;1783
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800532;Härlanda, Fräntorp;53;32;0;2;36;36;2;1;200;201;6;5;150;148;5;3;102;102;2;1;1087
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800541;Härlanda, Södra Björkekärr;51;49;0;0;72;73;5;3;268;288;17;15;194;219;3;4;233;335;8;5;1842
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800542;Härlanda, Västra Björkekärr;69;71;2;5;219;217;45;30;173;179;59;33;126;152;8;8;117;252;3;6;1774
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800543;Härlanda, Norra Björkekärr;22;20;0;0;44;69;3;1;125;130;8;6;78;93;2;2;76;178;1;1;859
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800544;Härlanda, Robertshöjd;51;72;6;5;160;166;10;18;244;269;35;18;159;164;15;9;120;220;4;5;1750
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800611;Örgryte, Gubbero;17;31;0;0;252;300;14;15;368;300;29;19;92;130;7;5;81;180;3;1;1844
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800612;Örgryte, Olskroken;28;29;1;2;108;121;4;5;252;210;26;22;122;126;8;5;103;175;1;3;1351
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800613;Örgryte, Redberget;40;31;1;0;190;223;5;5;342;311;26;24;128;151;9;2;97;151;4;3;1743
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800621;Örgryte, Bagaregården;35;20;0;0;92;108;2;4;220;229;16;15;88;115;8;3;26;37;1;1;1020
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800622;Örgryte, Ånäs;21;29;0;0;133;166;2;3;257;220;14;21;73;101;5;4;41;35;3;1;1129
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800631;Örgryte, Strömmensberg;30;32;0;0;139;176;10;2;256;222;14;10;122;109;4;3;79;169;3;1;1381
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800632;Örgryte, Redbergslid;35;46;1;1;154;195;8;7;286;233;30;11;144;131;10;5;77;112;4;2;1492
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800641;Örgryte, Västra Kallebäck;50;46;6;2;209;192;68;51;223;166;55;21;90;115;7;4;119;207;0;1;1632
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800642;Örgryte, Östra Kallebäck;32;28;1;1;150;197;5;4;214;177;15;9;106;136;3;2;125;237;2;4;1448
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800651;Örgryte, Södra Skår;46;59;1;3;66;60;5;3;171;211;19;19;169;148;2;4;92;101;4;3;1186
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800652;Örgryte, Jakobsdal;25;48;0;1;102;107;1;3;244;229;12;9;127;184;2;4;104;129;1;3;1335
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800653;Örgryte, Norra Skår;54;57;0;1;49;58;5;3;151;167;16;14;157;162;3;6;97;103;2;2;1107
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800661;Örgryte, Örgryte;39;46;1;1;46;61;4;10;106;133;16;9;114;129;2;1;112;133;2;2;967
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800662;Örgryte, Bö;29;38;0;0;44;58;1;2;147;176;7;9;103;110;2;2;87;116;1;1;933
2010;kf;14;Västra Götalands län;1480;Göteborg;148002;Göteborg, Öster;14800671;Örgryte, Torp;34;48;0;0;149;156;7;3;283;302;13;15;155;206;3;2;138;279;1;11;1805
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800681;Örgryte, Överås;42;48;0;1;218;242;8;13;346;253;17;18;134;149;4;3;107;139;2;5;1749
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800682;Örgryte, Gamla Lunden;27;32;3;2;212;242;6;2;320;263;15;12;84;102;6;6;54;81;4;6;1479
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800683;Örgryte, Nobelplatsen;25;35;0;1;182;218;6;6;271;228;14;10;88;85;5;2;58;77;4;2;1317
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800684;Örgryte, Sankt Pauli;31;35;1;1;116;140;3;2;228;218;9;7;99;117;8;6;91;210;4;0;1326
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800685;Örgryte, Nya Lunden-Prästgårdsängen;30;41;0;0;197;144;4;7;267;204;12;10;111;112;2;5;178;262;7;5;1598
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800686;Örgryte, Kärralund;75;69;3;0;114;152;8;10;249;267;20;17;188;201;4;7;104;121;2;4;1615
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800711;Centrum, Burås;42;46;2;1;152;137;9;10;225;219;24;14;125;141;5;4;110;194;5;4;1469
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800712;Centrum, Mossen;84;59;2;1;432;274;86;36;123;100;57;32;56;56;2;3;35;74;3;1;1516
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800713;Centrum, Framnäs;45;50;0;3;258;278;21;13;307;279;33;24;121;104;4;8;88;204;4;7;1851
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800714;Centrum, Olofshöjd;118;79;8;3;343;156;137;90;48;21;95;31;15;14;1;0;8;10;0;0;1177
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800715;Centrum, Krokslätt;38;54;2;0;188;191;7;11;294;264;30;13;167;168;6;9;134;175;4;4;1759
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800716;Centrum, Kristinehöjd;21;28;0;1;167;190;7;5;261;221;19;22;88;108;4;6;77;125;3;1;1354
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800717;Centrum, Getebergsäng;22;30;0;0;89;110;8;7;211;183;12;10;92;118;1;5;77;103;1;3;1082
