ar;val;kod;namn;kon;medborgarskap;aldersgrupp;antal
2014;rd;14801011;Majorna-Linné, Klippan;Män;Svenska medborgare;18-29 förstagångsväljare;43
2014;rd;14801011;Majorna-Linné, Klippan;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;36
2014;rd;14801011;Majorna-Linné, Klippan;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801011;Majorna-Linné, Klippan;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801011;Majorna-Linné, Klippan;Män;Svenska medborgare;18-29 ej förstagångsväljare;149
2014;rd;14801011;Majorna-Linné, Klippan;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;183
2014;rd;14801011;Majorna-Linné, Klippan;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801011;Majorna-Linné, Klippan;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801011;Majorna-Linné, Klippan;Män;Svenska medborgare;30-49;309
2014;rd;14801011;Majorna-Linné, Klippan;Kvinnor;Svenska medborgare;30-49;345
2014;rd;14801011;Majorna-Linné, Klippan;Män;Ej svenska medborgare;30-49;0
2014;rd;14801011;Majorna-Linné, Klippan;Kvinnor;Ej svenska medborgare;30-49;0
2014;rd;14801011;Majorna-Linné, Klippan;Män;Svenska medborgare;50-64;200
2014;rd;14801011;Majorna-Linné, Klippan;Kvinnor;Svenska medborgare;50-64;247
2014;rd;14801011;Majorna-Linné, Klippan;Män;Ej svenska medborgare;50-64;0
2014;rd;14801011;Majorna-Linné, Klippan;Kvinnor;Ej svenska medborgare;50-64;0
2014;rd;14801011;Majorna-Linné, Klippan;Män;Svenska medborgare;65-;101
2014;rd;14801011;Majorna-Linné, Klippan;Kvinnor;Svenska medborgare;65-;96
2014;rd;14801011;Majorna-Linné, Klippan;Män;Ej svenska medborgare;65-;0
2014;rd;14801011;Majorna-Linné, Klippan;Kvinnor;Ej svenska medborgare;65-;0
2014;rd;14801012;Majorna-Linné, Kungsladugård;Män;Svenska medborgare;18-29 förstagångsväljare;33
2014;rd;14801012;Majorna-Linné, Kungsladugård;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;33
2014;rd;14801012;Majorna-Linné, Kungsladugård;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801012;Majorna-Linné, Kungsladugård;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801012;Majorna-Linné, Kungsladugård;Män;Svenska medborgare;18-29 ej förstagångsväljare;161
2014;rd;14801012;Majorna-Linné, Kungsladugård;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;174
2014;rd;14801012;Majorna-Linné, Kungsladugård;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801012;Majorna-Linné, Kungsladugård;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801012;Majorna-Linné, Kungsladugård;Män;Svenska medborgare;30-49;343
2014;rd;14801012;Majorna-Linné, Kungsladugård;Kvinnor;Svenska medborgare;30-49;351
2014;rd;14801012;Majorna-Linné, Kungsladugård;Män;Ej svenska medborgare;30-49;0
2014;rd;14801012;Majorna-Linné, Kungsladugård;Kvinnor;Ej svenska medborgare;30-49;0
2014;rd;14801012;Majorna-Linné, Kungsladugård;Män;Svenska medborgare;50-64;103
2014;rd;14801012;Majorna-Linné, Kungsladugård;Kvinnor;Svenska medborgare;50-64;141
2014;rd;14801012;Majorna-Linné, Kungsladugård;Män;Ej svenska medborgare;50-64;0
2014;rd;14801012;Majorna-Linné, Kungsladugård;Kvinnor;Ej svenska medborgare;50-64;0
2014;rd;14801012;Majorna-Linné, Kungsladugård;Män;Svenska medborgare;65-;56
2014;rd;14801012;Majorna-Linné, Kungsladugård;Kvinnor;Svenska medborgare;65-;74
2014;rd;14801012;Majorna-Linné, Kungsladugård;Män;Ej svenska medborgare;65-;0
2014;rd;14801012;Majorna-Linné, Kungsladugård;Kvinnor;Ej svenska medborgare;65-;0
2014;rd;14801013;Majorna-Linné, Mariaplan;Män;Svenska medborgare;18-29 förstagångsväljare;43
2014;rd;14801013;Majorna-Linné, Mariaplan;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;28
2014;rd;14801013;Majorna-Linné, Mariaplan;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801013;Majorna-Linné, Mariaplan;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801013;Majorna-Linné, Mariaplan;Män;Svenska medborgare;18-29 ej förstagångsväljare;107
2014;rd;14801013;Majorna-Linné, Mariaplan;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;145
2014;rd;14801013;Majorna-Linné, Mariaplan;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801013;Majorna-Linné, Mariaplan;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801013;Majorna-Linné, Mariaplan;Män;Svenska medborgare;30-49;292
2014;rd;14801013;Majorna-Linné, Mariaplan;Kvinnor;Svenska medborgare;30-49;321
2014;rd;14801013;Majorna-Linné, Mariaplan;Män;Ej svenska medborgare;30-49;0
2014;rd;14801013;Majorna-Linné, Mariaplan;Kvinnor;Ej svenska medborgare;30-49;0
2014;rd;14801013;Majorna-Linné, Mariaplan;Män;Svenska medborgare;50-64;122
2014;rd;14801013;Majorna-Linné, Mariaplan;Kvinnor;Svenska medborgare;50-64;154
2014;rd;14801013;Majorna-Linné, Mariaplan;Män;Ej svenska medborgare;50-64;0
2014;rd;14801013;Majorna-Linné, Mariaplan;Kvinnor;Ej svenska medborgare;50-64;0
2014;rd;14801013;Majorna-Linné, Mariaplan;Män;Svenska medborgare;65-;46
2014;rd;14801013;Majorna-Linné, Mariaplan;Kvinnor;Svenska medborgare;65-;48
2014;rd;14801013;Majorna-Linné, Mariaplan;Män;Ej svenska medborgare;65-;0
2014;rd;14801013;Majorna-Linné, Mariaplan;Kvinnor;Ej svenska medborgare;65-;0
2014;rd;14801014;Majorna-Linné, Silverkällan;Män;Svenska medborgare;18-29 förstagångsväljare;28
2014;rd;14801014;Majorna-Linné, Silverkällan;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;48
2014;rd;14801014;Majorna-Linné, Silverkällan;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801014;Majorna-Linné, Silverkällan;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801014;Majorna-Linné, Silverkällan;Män;Svenska medborgare;18-29 ej förstagångsväljare;114
2014;rd;14801014;Majorna-Linné, Silverkällan;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;128
2014;rd;14801014;Majorna-Linné, Silverkällan;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801014;Majorna-Linné, Silverkällan;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801014;Majorna-Linné, Silverkällan;Män;Svenska medborgare;30-49;295
2014;rd;14801014;Majorna-Linné, Silverkällan;Kvinnor;Svenska medborgare;30-49;377
2014;rd;14801014;Majorna-Linné, Silverkällan;Män;Ej svenska medborgare;30-49;0
2014;rd;14801014;Majorna-Linné, Silverkällan;Kvinnor;Ej svenska medborgare;30-49;0
2014;rd;14801014;Majorna-Linné, Silverkällan;Män;Svenska medborgare;50-64;174
2014;rd;14801014;Majorna-Linné, Silverkällan;Kvinnor;Svenska medborgare;50-64;174
2014;rd;14801014;Majorna-Linné, Silverkällan;Män;Ej svenska medborgare;50-64;0
2014;rd;14801014;Majorna-Linné, Silverkällan;Kvinnor;Ej svenska medborgare;50-64;0
2014;rd;14801014;Majorna-Linné, Silverkällan;Män;Svenska medborgare;65-;52
2014;rd;14801014;Majorna-Linné, Silverkällan;Kvinnor;Svenska medborgare;65-;58
2014;rd;14801014;Majorna-Linné, Silverkällan;Män;Ej svenska medborgare;65-;0
2014;rd;14801014;Majorna-Linné, Silverkällan;Kvinnor;Ej svenska medborgare;65-;0
2014;rd;14801015;Majorna-Linné, Skytteskogen;Män;Svenska medborgare;18-29 förstagångsväljare;47
2014;rd;14801015;Majorna-Linné, Skytteskogen;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;57
2014;rd;14801015;Majorna-Linné, Skytteskogen;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801015;Majorna-Linné, Skytteskogen;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801015;Majorna-Linné, Skytteskogen;Män;Svenska medborgare;18-29 ej förstagångsväljare;146
2014;rd;14801015;Majorna-Linné, Skytteskogen;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;196
2014;rd;14801015;Majorna-Linné, Skytteskogen;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801015;Majorna-Linné, Skytteskogen;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;0
2014;rd;14801015;Majorna-Linné, Skytteskogen;Män;Svenska medborgare;30-49;241
2014;rd;14801015;Majorna-Linné, Skytteskogen;Kvinnor;Svenska medborgare;30-49;267
2014;rd;14801015;Majorna-Linné, Skytteskogen;Män;Ej svenska medborgare;30-49;0
2014;rd;14801015;Majorna-Linné, Skytteskogen;Kvinnor;Ej svenska medborgare;30-49;0
2014;rd;14801015;Majorna-Linné, Skytteskogen;Män;Svenska medborgare;50-64;223
2014;rd;14801015;Majorna-Linné, Skytteskogen;Kvinnor;Svenska medborgare;50-64;206
2014;rd;14801015;Majorna-Linné, Skytteskogen;Män;Ej svenska medborgare;50-64;0
2014;rd;14801015;Majorna-Linné, Skytteskogen;Kvinnor;Ej svenska medborgare;50-64;0
2014;rd;14801015;Majorna-Linné, Skytteskogen;Män;Svenska medborgare;65-;138
2014;rd;14801015;Majorna-Linné, Skytteskogen;Kvinnor;Svenska medborgare;65-;154
2014;rd;14801015;Majorna-Linné, Skytteskogen;Män;Ej svenska medborgare;65-;0
2014;rd;14801015;Majorna-Linné, Skytteskogen;Kvinnor;Ej svenska medborgare;65-;0
2014;rd;14801016;Majorna-Linné, Svalebo;Män;Svenska medborgare;18-29 förstagångsväljare;26
2014;rd;14801016;Majorna-Linné, Svalebo;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;39
2014;rd;14801016;Majorna-Linné, Svalebo;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801016;Majorna-Linné, Svalebo;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2014;rd;14801016;Majorna-Linné, Svalebo;Män;Svenska medborgare;18-29 ej förstagångsväljare;114
2014;rd;14801016;Majorna-Linné, Svalebo;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;148
