ar;val;landstings_id;landstings_namn;landstingsvalkrets_id;landstingsvalkrets_namn;kommun_id;kommun_namn;valdistrikt_id;valdistrikt_namn;Män/Svenska medborgare/18-29 förstagångsväljare;Kvinnor/Svenska medborgare/18-29 förstagångsväljare;Män/Ej svenska medborgare/18-29 förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 förstagångsväljare;Män/Svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Svenska medborgare/18-29 ej förstagångsväljare;Män/Ej svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 ej förstagångsväljare;Män/Svenska medborgare/30-49;Kvinnor/Svenska medborgare/30-49;Män/Ej svenska medborgare/30-49;Kvinnor/Ej svenska medborgare/30-49;Män/Svenska medborgare/50-64;Kvinnor/Svenska medborgare/50-64;Män/Ej svenska medborgare/50-64;Kvinnor/Ej svenska medborgare/50-64;Män/Svenska medborgare/65-;Kvinnor/Svenska medborgare/65-;Män/Ej svenska medborgare/65-;Kvinnor/Ej svenska medborgare/65-;totalt
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801011;Majorna-Linné, Klippan;42;36;0;1;148;177;7;9;295;324;27;14;192;244;11;6;98;96;7;4;1738
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801012;Majorna-Linné, Kungsladugård;32;33;0;0;158;174;5;8;329;329;18;22;100;135;7;5;55;74;4;2;1490
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801013;Majorna-Linné, Mariaplan;43;28;1;1;107;143;6;5;274;308;22;16;119;153;8;6;46;47;3;2;1338
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801014;Majorna-Linné, Silverkällan;28;48;0;0;112;125;5;4;284;366;20;19;168;173;9;7;49;56;2;4;1479
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801015;Majorna-Linné, Skytteskogen;47;57;0;0;145;189;13;9;232;249;15;19;218;203;15;7;134;153;8;2;1715
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801016;Majorna-Linné, Svalebo;26;39;1;1;113;141;7;11;218;190;24;21;144;133;4;2;96;118;4;5;1298
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801021;Majorna-Linné, Sandarne;21;26;0;1;183;212;12;12;350;359;21;18;135;148;6;4;104;159;5;4;1780
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801031;Majorna-Linné, Godhem;25;24;2;0;88;112;1;4;238;274;16;12;126;103;3;4;68;72;4;1;1177
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801032;Majorna-Linné, Gråberget;18;16;0;0;116;138;9;9;296;242;13;14;146;168;2;8;154;247;10;3;1609
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801033;Majorna-Linné, Hängmattan;33;31;0;3;80;96;2;4;292;293;20;18;159;197;9;6;101;150;7;7;1508
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801034;Majorna-Linné, Majorna;33;33;2;0;163;183;4;7;237;209;24;19;133;128;12;6;142;201;9;14;1559
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801035;Majorna-Linné, Marieberg;33;30;1;1;106;121;6;4;291;314;21;18;145;163;9;1;48;64;2;2;1380
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801036;Majorna-Linné, Slottsskogsgatan m fl;23;19;1;1;108;149;5;4;286;232;25;16;162;181;5;5;185;252;5;6;1670
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801041;Majorna-Linné, Djurgårdsgatan m fl;17;35;3;0;122;146;5;7;374;393;33;26;148;174;8;6;56;50;7;3;1613
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801042;Majorna-Linné, Gatenhielmska;39;32;1;1;122;130;5;2;260;269;14;12;104;125;8;7;67;95;1;3;1297
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801043;Majorna-Linné, Karl Johans torg;34;38;0;2;155;205;5;11;351;386;28;23;148;199;15;3;85;83;3;4;1778
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801044;Majorna-Linné, Söderlingska ängen;32;36;0;2;135;152;6;3;266;326;19;18;121;136;6;4;50;82;6;6;1406
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801051;Majorna-Linné, Masthugget, Nedre;36;38;3;2;118;116;5;11;198;167;15;9;166;187;4;9;110;133;1;8;1336
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801052;Majorna-Linné, Masthugget, Övre;28;34;0;0;135;172;3;7;309;307;28;18;141;186;5;7;79;91;3;2;1555
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801053;Majorna-Linné, Masthuggstorget;16;17;1;0;157;140;9;8;255;196;25;33;124;130;8;7;90;97;3;4;1320
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801054;Majorna-Linné, Oscar Fredrik;25;26;0;0;143;157;7;5;245;240;21;10;133;151;6;8;64;86;3;2;1332
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801055;Majorna-Linné, Slottsskogen;12;20;0;1;77;93;12;4;180;196;13;8;107;98;1;6;105;184;6;6;1129
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801056;Majorna-Linné, Stigberget;38;46;0;0;162;139;22;31;277;247;27;21;158;141;3;0;84;132;6;4;1538
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801057;Majorna-Linné, Vegastaden;25;24;1;0;115;136;5;3;223;208;17;17;122;147;5;4;74;130;7;4;1267
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801061;Majorna-Linné, Änggården;41;43;5;6;83;62;16;16;130;148;26;35;146;145;7;7;137;206;5;2;1266
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801071;Majorna-Linné, Haga;51;39;0;3;76;89;6;6;304;327;14;25;218;256;13;12;116;175;6;5;1741
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801072;Majorna-Linné, Skansberget;54;42;1;1;74;89;6;9;307;348;35;17;186;230;8;7;84;109;4;4;1615
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801081;Majorna-Linné, Annedal;38;21;1;1;216;213;10;2;327;322;18;13;111;177;8;6;143;298;5;5;1935
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801082;Majorna-Linné, Nilssonsberg;27;29;2;0;161;157;9;5;282;257;13;16;177;199;4;6;175;264;8;3;1794
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801091;Majorna-Linné, Kommendantsängen;16;22;0;0;77;132;6;6;278;237;13;7;123;142;6;4;82;106;2;2;1261
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801092;Majorna-Linné, Linné;24;39;0;1;98;133;8;12;298;245;28;23;153;185;7;7;115;149;4;3;1532
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801093;Majorna-Linné, Linnéplatsen;21;17;0;0;83;88;4;4;175;169;7;4;105;155;4;4;109;115;1;0;1065
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801094;Majorna-Linné, Långgatorna;25;31;1;1;199;198;4;8;303;273;36;30;159;164;9;6;84;105;5;0;1641
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801095;Majorna-Linné, Olivedal;37;44;0;1;137;162;8;10;322;296;24;20;157;213;8;4;112;135;5;3;1698
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801096;Majorna-Linné, Risåsen;14;28;1;0;150;170;6;8;223;191;19;12;91;106;4;2;46;78;0;0;1149
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801097;Majorna-Linné, Sveaplan;16;26;1;0;67;88;1;4;211;172;19;16;164;183;4;5;164;224;3;7;1375
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801101;Centrum, Framnäs;39;49;1;2;190;230;14;14;279;241;21;24;97;90;5;10;74;184;4;6;1574
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801102;Centrum, Fredriksdal;36;23;0;0;124;123;9;10;156;141;15;13;92;92;4;5;80;101;3;2;1029
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801103;Centrum, Fridkullagatan m fl;45;40;1;0;253;214;17;22;212;219;30;21;97;117;6;5;81;130;3;3;1516
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801104;Centrum, Getebergsäng;31;33;1;0;150;165;11;5;271;232;16;17;113;155;5;4;116;145;3;6;1479
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801105;Centrum, Kristinehöjd;16;18;0;1;196;236;13;14;248;217;27;16;89;81;2;1;61;104;5;0;1345
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801106;Centrum, Krokslätt;35;34;1;0;116;135;9;3;222;197;27;23;145;152;7;9;119;164;3;5;1406
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801107;Centrum, Mossen;90;84;1;2;374;285;84;51;52;56;70;40;27;30;1;2;27;35;0;0;1311
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801108;Centrum, Olofshöjd;116;62;5;4;264;163;136;92;54;23;111;48;10;15;3;2;10;7;0;0;1125
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801111;Centrum, Eklanda;42;34;0;0;349;330;14;14;286;201;34;21;69;98;1;5;82;122;2;2;1706
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801112;Centrum, Johanneberg, Nedre;78;67;3;2;324;312;12;23;196;171;41;27;166;191;3;6;139;190;4;3;1958
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801113;Centrum, Johanneberg, Södra;33;33;0;1;239;264;6;6;276;208;20;13;86;92;1;4;72;100;0;1;1455
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801114;Centrum, Johanneberg, Övre;72;52;4;1;225;211;41;41;220;180;36;25;87;107;3;1;75;118;2;0;1501
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801121;Centrum, Landala;25;35;1;1;121;151;9;4;206;195;10;18;109;145;7;4;110;172;4;7;1334
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801122;Centrum, Landalabergen m fl;27;29;1;1;107;145;7;10;249;241;16;15;128;170;11;4;121;228;8;4;1522
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801123;Centrum, Landalagången m fl;25;20;0;2;147;177;16;5;140;117;28;18;90;91;5;8;107;177;3;6;1182
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801131;Centrum, Doktor Forselius gata m fl;59;48;0;0;156;125;25;17;194;207;22;19;101;122;7;7;106;154;3;1;1373
2014;rf;14;Västra Götalands län;1401;Göteborgs kommun;1480;Göteborg;14801132;Centrum, Guldheden vattentornet;42;26;1;0;169;159;12;17;311;268;35;22;147;172;9;3;137;192;3;2;1727
