ar;val;kod;namn;kon;medborgarskap;aldersgrupp;antal
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Män;Svenska medborgare;18-29 förstagångsväljare;25
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;25
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Män;Ej svenska medborgare;18-29 förstagångsväljare;4
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;1
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Män;Svenska medborgare;18-29 ej förstagångsväljare;95
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;112
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;7
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;9
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Män;Svenska medborgare;30-49;261
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Kvinnor;Svenska medborgare;30-49;287
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Män;Ej svenska medborgare;30-49;25
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Kvinnor;Ej svenska medborgare;30-49;12
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Män;Svenska medborgare;50-64;141
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Kvinnor;Svenska medborgare;50-64;176
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Män;Ej svenska medborgare;50-64;9
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Kvinnor;Ej svenska medborgare;50-64;7
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Män;Svenska medborgare;65-;74
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Kvinnor;Svenska medborgare;65-;86
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Män;Ej svenska medborgare;65-;8
2018;rf;14801011;Majorna-Linné, Gröna Vallen;Kvinnor;Ej svenska medborgare;65-;7
2018;rf;14801012;Majorna-Linné, Klippan;Män;Svenska medborgare;18-29 förstagångsväljare;17
2018;rf;14801012;Majorna-Linné, Klippan;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;22
2018;rf;14801012;Majorna-Linné, Klippan;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2018;rf;14801012;Majorna-Linné, Klippan;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;1
2018;rf;14801012;Majorna-Linné, Klippan;Män;Svenska medborgare;18-29 ej förstagångsväljare;73
2018;rf;14801012;Majorna-Linné, Klippan;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;84
2018;rf;14801012;Majorna-Linné, Klippan;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;6
2018;rf;14801012;Majorna-Linné, Klippan;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;8
2018;rf;14801012;Majorna-Linné, Klippan;Män;Svenska medborgare;30-49;207
2018;rf;14801012;Majorna-Linné, Klippan;Kvinnor;Svenska medborgare;30-49;228
2018;rf;14801012;Majorna-Linné, Klippan;Män;Ej svenska medborgare;30-49;19
2018;rf;14801012;Majorna-Linné, Klippan;Kvinnor;Ej svenska medborgare;30-49;17
2018;rf;14801012;Majorna-Linné, Klippan;Män;Svenska medborgare;50-64;132
2018;rf;14801012;Majorna-Linné, Klippan;Kvinnor;Svenska medborgare;50-64;160
2018;rf;14801012;Majorna-Linné, Klippan;Män;Ej svenska medborgare;50-64;4
2018;rf;14801012;Majorna-Linné, Klippan;Kvinnor;Ej svenska medborgare;50-64;3
2018;rf;14801012;Majorna-Linné, Klippan;Män;Svenska medborgare;65-;92
2018;rf;14801012;Majorna-Linné, Klippan;Kvinnor;Svenska medborgare;65-;102
2018;rf;14801012;Majorna-Linné, Klippan;Män;Ej svenska medborgare;65-;3
2018;rf;14801012;Majorna-Linné, Klippan;Kvinnor;Ej svenska medborgare;65-;2
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Män;Svenska medborgare;18-29 förstagångsväljare;19
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;29
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Män;Ej svenska medborgare;18-29 förstagångsväljare;0
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;1
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Män;Svenska medborgare;18-29 ej förstagångsväljare;140
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;168
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;5
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;10
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Män;Svenska medborgare;30-49;206
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Kvinnor;Svenska medborgare;30-49;251
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Män;Ej svenska medborgare;30-49;18
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Kvinnor;Ej svenska medborgare;30-49;11
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Män;Svenska medborgare;50-64;104
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Kvinnor;Svenska medborgare;50-64;155
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Män;Ej svenska medborgare;50-64;7
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Kvinnor;Ej svenska medborgare;50-64;5
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Män;Svenska medborgare;65-;51
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Kvinnor;Svenska medborgare;65-;81
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Män;Ej svenska medborgare;65-;4
2018;rf;14801013;Majorna-Linné, Kungsladugård, Västra;Kvinnor;Ej svenska medborgare;65-;1
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Män;Svenska medborgare;18-29 förstagångsväljare;16
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;21
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Män;Ej svenska medborgare;18-29 förstagångsväljare;1
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Män;Svenska medborgare;18-29 ej förstagångsväljare;99
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;113
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;5
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;10
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Män;Svenska medborgare;30-49;271
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Kvinnor;Svenska medborgare;30-49;246
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Män;Ej svenska medborgare;30-49;17
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Kvinnor;Ej svenska medborgare;30-49;20
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Män;Svenska medborgare;50-64;97
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Kvinnor;Svenska medborgare;50-64;107
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Män;Ej svenska medborgare;50-64;7
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Kvinnor;Ej svenska medborgare;50-64;4
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Män;Svenska medborgare;65-;47
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Kvinnor;Svenska medborgare;65-;75
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Män;Ej svenska medborgare;65-;3
2018;rf;14801014;Majorna-Linné, Kungsladugård, Östra;Kvinnor;Ej svenska medborgare;65-;2
2018;rf;14801015;Majorna-Linné, Mariaplan;Män;Svenska medborgare;18-29 förstagångsväljare;22
2018;rf;14801015;Majorna-Linné, Mariaplan;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;20
2018;rf;14801015;Majorna-Linné, Mariaplan;Män;Ej svenska medborgare;18-29 förstagångsväljare;3
2018;rf;14801015;Majorna-Linné, Mariaplan;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2018;rf;14801015;Majorna-Linné, Mariaplan;Män;Svenska medborgare;18-29 ej förstagångsväljare;68
2018;rf;14801015;Majorna-Linné, Mariaplan;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;89
2018;rf;14801015;Majorna-Linné, Mariaplan;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;5
2018;rf;14801015;Majorna-Linné, Mariaplan;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;11
2018;rf;14801015;Majorna-Linné, Mariaplan;Män;Svenska medborgare;30-49;224
2018;rf;14801015;Majorna-Linné, Mariaplan;Kvinnor;Svenska medborgare;30-49;266
2018;rf;14801015;Majorna-Linné, Mariaplan;Män;Ej svenska medborgare;30-49;20
2018;rf;14801015;Majorna-Linné, Mariaplan;Kvinnor;Ej svenska medborgare;30-49;11
2018;rf;14801015;Majorna-Linné, Mariaplan;Män;Svenska medborgare;50-64;125
2018;rf;14801015;Majorna-Linné, Mariaplan;Kvinnor;Svenska medborgare;50-64;136
2018;rf;14801015;Majorna-Linné, Mariaplan;Män;Ej svenska medborgare;50-64;10
2018;rf;14801015;Majorna-Linné, Mariaplan;Kvinnor;Ej svenska medborgare;50-64;4
2018;rf;14801015;Majorna-Linné, Mariaplan;Män;Svenska medborgare;65-;44
2018;rf;14801015;Majorna-Linné, Mariaplan;Kvinnor;Svenska medborgare;65-;44
2018;rf;14801015;Majorna-Linné, Mariaplan;Män;Ej svenska medborgare;65-;2
2018;rf;14801015;Majorna-Linné, Mariaplan;Kvinnor;Ej svenska medborgare;65-;2
2018;rf;14801016;Majorna-Linné, Skytteskogen;Män;Svenska medborgare;18-29 förstagångsväljare;32
2018;rf;14801016;Majorna-Linné, Skytteskogen;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;45
2018;rf;14801016;Majorna-Linné, Skytteskogen;Män;Ej svenska medborgare;18-29 förstagångsväljare;1
2018;rf;14801016;Majorna-Linné, Skytteskogen;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2018;rf;14801016;Majorna-Linné, Skytteskogen;Män;Svenska medborgare;18-29 ej förstagångsväljare;69
2018;rf;14801016;Majorna-Linné, Skytteskogen;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;90
2018;rf;14801016;Majorna-Linné, Skytteskogen;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;11
2018;rf;14801016;Majorna-Linné, Skytteskogen;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;6
2018;rf;14801016;Majorna-Linné, Skytteskogen;Män;Svenska medborgare;30-49;168
2018;rf;14801016;Majorna-Linné, Skytteskogen;Kvinnor;Svenska medborgare;30-49;175
2018;rf;14801016;Majorna-Linné, Skytteskogen;Män;Ej svenska medborgare;30-49;25
2018;rf;14801016;Majorna-Linné, Skytteskogen;Kvinnor;Ej svenska medborgare;30-49;15
2018;rf;14801016;Majorna-Linné, Skytteskogen;Män;Svenska medborgare;50-64;179
2018;rf;14801016;Majorna-Linné, Skytteskogen;Kvinnor;Svenska medborgare;50-64;166
2018;rf;14801016;Majorna-Linné, Skytteskogen;Män;Ej svenska medborgare;50-64;10
2018;rf;14801016;Majorna-Linné, Skytteskogen;Kvinnor;Ej svenska medborgare;50-64;6
2018;rf;14801016;Majorna-Linné, Skytteskogen;Män;Svenska medborgare;65-;196
2018;rf;14801016;Majorna-Linné, Skytteskogen;Kvinnor;Svenska medborgare;65-;205
2018;rf;14801016;Majorna-Linné, Skytteskogen;Män;Ej svenska medborgare;65-;12
2018;rf;14801016;Majorna-Linné, Skytteskogen;Kvinnor;Ej svenska medborgare;65-;4
2018;rf;14801017;Majorna-Linné, Svalebo;Män;Svenska medborgare;18-29 förstagångsväljare;34
2018;rf;14801017;Majorna-Linné, Svalebo;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;22
2018;rf;14801017;Majorna-Linné, Svalebo;Män;Ej svenska medborgare;18-29 förstagångsväljare;3
2018;rf;14801017;Majorna-Linné, Svalebo;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;1
2018;rf;14801017;Majorna-Linné, Svalebo;Män;Svenska medborgare;18-29 ej förstagångsväljare;85
2018;rf;14801017;Majorna-Linné, Svalebo;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;103
