ar;val;kod;namn;summa_kategorier;rostberattigade_resultatfil;diff;kalla_fil
2010;rd;14800111;Gunnared, Lövgärdets Centrum;1026;1026;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800112;Gunnared, Övre Lövgärdet;1391;1391;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800113;Gunnared, Nedre Lövgärdet;1691;1691;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800121;Gunnared, Södra Rannebergen;1389;1389;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800122;Gunnared, Norra Rannebergen;1586;1586;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800131;Gunnared, Västra Gårdsten;903;903;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800132;Gunnared, Norra Gårdsten;1376;1376;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800133;Gunnared, Östra Gårdsten;1251;1251;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800134;Gunnared, Södra Gårdsten;894;894;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800141;Gunnared, Angereds Centrum;1372;1372;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800142;Gunnared, Trädgårdsgärdet;1144;1144;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800211;Lärjedalen, Agnesberg;797;797;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800221;Lärjedalen, Västra Hammarkullen;1522;1522;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800222;Lärjedalen, Östra Hammarkullen;1581;1581;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800223;Lärjedalen, Sandeslätt;1278;1278;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800231;Lärjedalen, Gunnilse-Linnarhult;1404;1404;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800251;Lärjedalen, Björsared-Knipared;1396;1396;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800252;Lärjedalen, Olofstorp;1684;1684;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800261;Lärjedalen, Södra Hjällbo;799;799;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800262;Lärjedalen, Skolspåret;933;933;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800263;Lärjedalen, Norra Hjällbo;1263;1263;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800264;Lärjedalen, Bläsebo;1246;1246;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800271;Lärjedalen, Eriksbo;1328;1328;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800311;Kortedala, Gamlestaden;1704;1704;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800312;Kortedala, Nylöse;1514;1514;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800313;Kortedala, Kviberg;1648;1648;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800314;Kortedala, Bellevue;1173;1173;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800321;Kortedala, Utbynäs;1063;1063;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800322;Kortedala, Utby;1423;1423;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800323;Kortedala, Fjällbo;1436;1436;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800331;Kortedala, Gregorianska gatan m fl;1204;1204;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800332;Kortedala, Västra Kortedala;1378;1378;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800333;Kortedala, Östra Kortedala;1471;1471;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800334;Kortedala, Kortedala Centrum;1334;1334;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800335;Kortedala, Södra Kortedala;1250;1250;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800341;Kortedala, Adventsparken;1386;1386;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800342;Kortedala, Norra Kortedala;1659;1659;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800343;Kortedala, Månadsgatorna m fl;1484;1484;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800411;Bergsjön, Gärdsås;942;942;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800412;Bergsjön, Siriusgatan;1392;1392;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800413;Bergsjön, Gärdsmosse;1177;1177;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800414;Bergsjön, Norra Bergsjön;921;921;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800421;Bergsjön, Södra Bergsjön;1163;1163;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800422;Bergsjön, Östra Bergsjön;1238;1238;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800423;Bergsjön, Rymdtorget;780;780;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800424;Bergsjön, Komettorget;1225;1225;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800511;Härlanda, Härlanda;1261;1261;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800521;Härlanda, Södra Kålltorp;1628;1628;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800522;Härlanda, Västra Kålltorp;1057;1057;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800523;Härlanda, Östra Kålltorp;1056;1056;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800524;Härlanda, Vidkärr;1351;1351;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800525;Härlanda, Munkebäck;1683;1683;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800531;Härlanda, Torpa;1752;1752;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800532;Härlanda, Fräntorp;1081;1081;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800541;Härlanda, Södra Björkekärr;1814;1814;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800542;Härlanda, Västra Björkekärr;1649;1649;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800543;Härlanda, Norra Björkekärr;846;846;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800544;Härlanda, Robertshöjd;1671;1671;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800611;Örgryte, Gubbero;1815;1815;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800612;Örgryte, Olskroken;1310;1310;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800613;Örgryte, Redberget;1733;1733;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800621;Örgryte, Bagaregården;1003;1003;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800622;Örgryte, Ånäs;1110;1110;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800631;Örgryte, Strömmensberg;1489;1489;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800632;Örgryte, Redbergslid;1459;1459;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800641;Örgryte, Västra Kallebäck;1466;1466;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800642;Örgryte, Östra Kallebäck;1420;1420;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800651;Örgryte, Södra Skår;1168;1168;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800652;Örgryte, Jakobsdal;1368;1368;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800653;Örgryte, Norra Skår;1083;1083;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800661;Örgryte, Örgryte;956;956;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800662;Örgryte, Bö;941;941;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800671;Örgryte, Torp;1797;1797;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800681;Örgryte, Överås;1911;1911;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800682;Örgryte, Gamla Lunden;1469;1469;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14800683;Örgryte, Nobelplatsen;1320;1320;0;slutligt_valresultat_valdistrikt_R.xls
