ar;val;typ;kod;namn;Män/Svenska medborgare/18-29 förstagångsväljare;Kvinnor/Svenska medborgare/18-29 förstagångsväljare;Män/Ej svenska medborgare/18-29 förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 förstagångsväljare;Män/Svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Svenska medborgare/18-29 ej förstagångsväljare;Män/Ej svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 ej förstagångsväljare;Män/Svenska medborgare/30-49;Kvinnor/Svenska medborgare/30-49;Män/Ej svenska medborgare/30-49;Kvinnor/Ej svenska medborgare/30-49;Män/Svenska medborgare/50-64;Kvinnor/Svenska medborgare/50-64;Män/Ej svenska medborgare/50-64;Kvinnor/Ej svenska medborgare/50-64;Män/Svenska medborgare/65-;Kvinnor/Svenska medborgare/65-;Män/Ej svenska medborgare/65-;Kvinnor/Ej svenska medborgare/65-;totalt
2010;rd;distrikt;14800911;Majorna, Svalebo;29;33;0;0;105;127;0;0;225;179;0;0;139;125;0;0;84;134;0;0;1180
2010;rd;distrikt;14800912;Majorna, Skytteskogen;57;51;0;0;153;206;0;0;261;266;0;0;210;185;0;0;112;147;0;0;1648
2010;rd;distrikt;14800913;Majorna, Kungsladugård;42;32;0;0;139;187;0;0;318;347;0;0;111;124;0;0;45;60;0;0;1405
2010;rd;distrikt;14800914;Majorna, Mariaplan;31;37;0;0;114;138;0;0;309;334;0;0;118;126;0;0;40;40;0;0;1287
2010;rd;distrikt;14800915;Majorna, Silverkällan;41;54;0;0;119;158;0;0;333;376;0;0;140;138;0;0;44;58;0;0;1461
2010;rd;distrikt;14800916;Majorna, Klippan;49;46;0;0;173;186;0;0;338;382;0;0;173;200;0;0;79;74;0;0;1700
2010;rd;distrikt;14800921;Majorna, Sandarne;40;36;0;0;204;247;0;0;346;338;0;0;115;126;0;0;93;152;0;0;1697
2010;rd;distrikt;14800931;Majorna, Slottsskogsgatan m fl;33;25;0;0;150;219;0;0;308;240;0;0;167;181;0;0;175;239;0;0;1737
2010;rd;distrikt;14800932;Majorna, Majorna;31;21;0;0;124;150;0;0;204;206;0;0;129;107;0;0;121;204;0;0;1297
2010;rd;distrikt;14800933;Majorna, Hängmattan;36;27;0;0;72;89;0;0;261;270;0;0;101;121;0;0;61;95;0;0;1133
2010;rd;distrikt;14800934;Majorna, Gråberget;19;21;0;0;130;163;0;0;316;222;0;0;169;167;0;0;148;246;0;0;1601
2010;rd;distrikt;14800935;Majorna, Marieberg;66;48;0;0;156;189;0;0;393;396;0;0;193;212;0;0;83;125;0;0;1861
2010;rd;distrikt;14800936;Majorna, Godhem;33;30;0;0;129;152;0;0;239;274;0;0;120;107;0;0;51;59;0;0;1194
2010;rd;distrikt;14800941;Majorna, Söderlingska ängen;47;33;0;0;121;151;0;0;288;326;0;0;110;127;0;0;58;89;0;0;1350
2010;rd;distrikt;14800942;Majorna, Karl Johans torg;43;47;0;0;185;207;0;0;367;402;0;0;166;191;0;0;61;55;0;0;1724
2010;rd;distrikt;14800943;Majorna, Djurgårdsgatan m fl;45;34;0;0;143;180;0;0;361;383;0;0;152;153;0;0;26;30;0;0;1507
2010;rd;distrikt;14800944;Majorna, Gatenhielmska;40;37;0;0;115;125;0;0;270;259;0;0;103;118;0;0;59;93;0;0;1219
2010;rd;summa_urval;;Summa distrikt med namn som börjar med 'Majorna,' (17 st);682;612;0;0;2332;2874;0;0;5137;5200;0;0;2416;2508;0;0;1340;1900;0;0;25001
2010;rd;goteborg;;Göteborgs kommun totalt (282 distrikt);12722;12622;0;0;33127;34148;0;0;70864;67850;0;0;41446;42352;0;0;31925;42765;0;0;389821
2010;rf;distrikt;14800911;Majorna, Svalebo;29;31;1;0;104;120;4;4;217;171;20;13;134;124;2;0;82;132;3;4;1195
2010;rf;distrikt;14800912;Majorna, Skytteskogen;57;51;2;1;149;200;14;9;251;249;21;13;206;183;10;8;110;146;6;2;1688
2010;rf;distrikt;14800913;Majorna, Kungsladugård;42;32;1;0;138;183;11;7;306;322;18;13;109;122;8;7;44;60;0;1;1424
2010;rf;distrikt;14800914;Majorna, Mariaplan;31;37;0;0;111;137;4;5;292;319;21;10;115;125;8;6;38;39;1;2;1301
2010;rf;distrikt;14800915;Majorna, Silverkällan;41;53;0;2;115;156;6;5;321;361;24;14;137;136;3;7;42;57;3;3;1486
2010;rf;distrikt;14800916;Majorna, Klippan;49;46;0;1;168;182;8;10;320;369;26;15;167;200;9;6;76;74;9;4;1739
2010;rf;distrikt;14800921;Majorna, Sandarne;40;35;1;1;199;241;8;18;331;322;20;11;112;123;5;2;92;152;6;1;1720
2010;rf;distrikt;14800931;Majorna, Slottsskogsgatan m fl;33;24;0;1;146;209;6;3;292;221;18;17;165;181;5;4;173;237;4;8;1747
2010;rf;distrikt;14800932;Majorna, Majorna;31;19;0;1;123;148;3;7;196;197;19;10;122;106;8;4;121;204;4;11;1334
2010;rf;distrikt;14800933;Majorna, Hängmattan;35;27;0;1;70;87;5;3;248;258;17;11;97;120;7;4;58;89;4;4;1145
2010;rf;distrikt;14800934;Majorna, Gråberget;19;21;2;3;129;157;4;12;307;212;14;15;164;166;8;8;144;246;5;3;1639
2010;rf;distrikt;14800935;Majorna, Marieberg;65;45;1;0;154;183;7;12;365;366;43;22;179;185;9;4;72;92;8;4;1816
2010;rf;distrikt;14800936;Majorna, Godhem;33;30;0;1;124;146;6;4;229;259;13;10;119;107;1;4;50;59;7;2;1204
2010;rf;distrikt;14800941;Majorna, Söderlingska ängen;46;33;0;1;120;150;4;4;273;306;19;20;105;126;5;3;57;89;6;6;1373
2010;rf;distrikt;14800942;Majorna, Karl Johans torg;43;46;2;2;184;203;5;9;356;385;27;16;159;189;13;7;60;53;3;3;1765
2010;rf;distrikt;14800943;Majorna, Djurgårdsgatan m fl;43;34;2;1;142;178;5;10;340;363;28;19;149;152;7;6;26;29;3;1;1538
2010;rf;distrikt;14800944;Majorna, Gatenhielmska;39;36;0;2;113;121;4;6;258;249;18;14;102;116;6;6;56;93;0;0;1239
2010;rf;summa_urval;;Summa distrikt med namn som börjar med 'Majorna,' (17 st);676;600;12;18;2289;2801;104;128;4902;4929;366;243;2341;2461;114;86;1301;1851;72;59;25353
2010;rf;goteborg;;Göteborgs kommun totalt (282 distrikt);12458;12324;649;590;32213;33049;3468;3029;67040;63930;8051;5778;39961;41194;2764;2358;31062;41826;1591;1698;405033
2010;kf;distrikt;14800911;Majorna, Svalebo;29;31;1;0;104;120;4;4;217;171;20;13;134;124;2;0;82;132;3;4;1195
2010;kf;distrikt;14800912;Majorna, Skytteskogen;57;51;2;1;149;200;14;9;251;249;21;13;206;183;10;8;110;146;6;2;1688
2010;kf;distrikt;14800913;Majorna, Kungsladugård;42;32;1;0;138;183;11;7;306;322;18;13;109;122;8;7;44;60;0;1;1424
2010;kf;distrikt;14800914;Majorna, Mariaplan;31;37;0;0;111;137;4;5;292;319;21;10;115;125;8;6;38;39;1;2;1301
2010;kf;distrikt;14800915;Majorna, Silverkällan;41;53;0;2;115;156;6;5;321;361;24;14;137;136;3;7;42;57;3;3;1486
2010;kf;distrikt;14800916;Majorna, Klippan;49;46;0;1;168;182;8;10;320;369;26;15;167;200;9;6;76;74;9;4;1739
2010;kf;distrikt;14800921;Majorna, Sandarne;40;35;1;1;199;241;8;18;331;322;20;11;112;123;5;2;92;152;6;1;1720
2010;kf;distrikt;14800931;Majorna, Slottsskogsgatan m fl;33;24;0;1;146;209;6;3;292;221;18;17;165;181;5;4;173;237;4;8;1747
2010;kf;distrikt;14800932;Majorna, Majorna;31;19;0;1;123;148;3;7;196;197;19;10;122;106;8;4;121;204;4;11;1334
2010;kf;distrikt;14800933;Majorna, Hängmattan;35;27;0;1;70;87;5;3;248;258;17;11;97;120;7;4;58;89;4;4;1145
2010;kf;distrikt;14800934;Majorna, Gråberget;19;21;2;3;129;157;4;12;307;212;14;15;164;166;8;8;144;246;5;3;1639
2010;kf;distrikt;14800935;Majorna, Marieberg;65;45;1;0;154;183;7;12;365;366;43;22;179;185;9;4;72;92;8;4;1816
2010;kf;distrikt;14800936;Majorna, Godhem;33;30;0;1;124;146;6;4;229;259;13;10;119;107;1;4;50;59;7;2;1204
2010;kf;distrikt;14800941;Majorna, Söderlingska ängen;46;33;0;1;120;150;4;4;273;306;19;20;105;126;5;3;57;89;6;6;1373
2010;kf;distrikt;14800942;Majorna, Karl Johans torg;43;46;2;2;184;203;5;9;356;385;27;16;159;189;13;7;60;53;3;3;1765
2010;kf;distrikt;14800943;Majorna, Djurgårdsgatan m fl;43;34;2;1;142;178;5;10;340;363;28;19;149;152;7;6;26;29;3;1;1538
2010;kf;distrikt;14800944;Majorna, Gatenhielmska;39;36;0;2;113;121;4;6;258;249;18;14;102;116;6;6;56;93;0;0;1239
2010;kf;summa_urval;;Summa distrikt med namn som börjar med 'Majorna,' (17 st);676;600;12;18;2289;2801;104;128;4902;4929;366;243;2341;2461;114;86;1301;1851;72;59;25353
2010;kf;goteborg;;Göteborgs kommun totalt (282 distrikt);12458;12324;649;590;32213;33049;3468;3029;67040;63930;8051;5778;39961;41194;2764;2358;31062;41826;1591;1698;405033
