ar;val;kod;namn;parti_kalla;parti;roster;andel
2002;kf;14800101;Domkyrko 1;SFV;SFV;4;
2002;kf;14800102;Domkyrko 2;AFF;AFF;1;
2002;kf;14800102;Domkyrko 2;SFV;SFV;5;
2002;kf;14800102;Domkyrko 2;SOC.P;SOC.P;1;
2002;kf;14800102;Domkyrko 2;ÖVR;ÖVR;1;
2002;kf;14800103;Domkyrko 3;ND;ND;1;
2002;kf;14800103;Domkyrko 3;PPG;PPG;1;
2002;kf;14800103;Domkyrko 3;SFV;SFV;7;
2002;kf;14800103;Domkyrko 3;ÖVR;ÖVR;1;
2002;kf;14800104;Domkyrko 4;AFF;AFF;2;
2002;kf;14800104;Domkyrko 4;ND;ND;3;
2002;kf;14800104;Domkyrko 4;PPG;PPG;3;
2002;kf;14800104;Domkyrko 4;SFV;SFV;7;
2002;kf;14800104;Domkyrko 4;ÖVR;ÖVR;1;
2002;kf;14800105;Domkyrko 5;SFV;SFV;9;
2002;kf;14800105;Domkyrko 5;SOC.P;SOC.P;1;
2002;kf;14800106;Domkyrko 6;AFF;AFF;1;
2002;kf;14800106;Domkyrko 6;ND;ND;2;
2002;kf;14800106;Domkyrko 6;PPG;PPG;1;
2002;kf;14800106;Domkyrko 6;SFV;SFV;2;
2002;kf;14800107;Domkyrko 7;SFV;SFV;6;
2002;kf;14800108;Domkyrko 8;ND;ND;3;
2002;kf;14800108;Domkyrko 8;SFV;SFV;12;
2002;kf;14800108;Domkyrko 8;SOC.P;SOC.P;1;
2002;kf;14800108;Domkyrko 8;ÖVR;ÖVR;2;
2002;kf;14800401;Nylöse 1;AFF;AFF;2;
2002;kf;14800401;Nylöse 1;ND;ND;2;
2002;kf;14800401;Nylöse 1;PPG;PPG;1;
2002;kf;14800401;Nylöse 1;SFV;SFV;15;
2002;kf;14800401;Nylöse 1;SOC.P;SOC.P;4;
2002;kf;14800401;Nylöse 1;ÖVR;ÖVR;4;
2002;kf;14800402;Nylöse 2;ND;ND;2;
2002;kf;14800402;Nylöse 2;SFV;SFV;5;
2002;kf;14800402;Nylöse 2;SOC.P;SOC.P;2;
2002;kf;14800402;Nylöse 2;ÖVR;ÖVR;1;
2002;kf;14800403;Nylöse 3;PPG;PPG;1;
2002;kf;14800403;Nylöse 3;SFV;SFV;15;
2002;kf;14800403;Nylöse 3;ÖVR;ÖVR;1;
2002;kf;14800404;Nylöse 4;SFV;SFV;18;
2002;kf;14800405;Nylöse 5;ND;ND;1;
2002;kf;14800405;Nylöse 5;SFV;SFV;17;
2002;kf;14800405;Nylöse 5;SOC.P;SOC.P;3;
2002;kf;14800406;Nylöse 6;AFF;AFF;2;
2002;kf;14800406;Nylöse 6;PPG;PPG;2;
2002;kf;14800406;Nylöse 6;SFV;SFV;9;
2002;kf;14800407;Nylöse 7;PPG;PPG;4;
2002;kf;14800407;Nylöse 7;SFV;SFV;22;
2002;kf;14800407;Nylöse 7;ÖVR;ÖVR;3;
2002;kf;14800501;Kortedala 1;ND;ND;3;
2002;kf;14800501;Kortedala 1;PPG;PPG;1;
