ar;val;kod;namn;parti_kalla;parti;roster;andel
2002;rd;14800101;Domkyrko 1;ENH;ENH;1;
2002;rd;14800101;Domkyrko 1;SD;SD;12;
2002;rd;14800101;Domkyrko 1;SOC.P;SOC.P;1;
2002;rd;14800101;Domkyrko 1;SPI;SPI;2;
2002;rd;14800102;Domkyrko 2;NYF;NYF;1;
2002;rd;14800102;Domkyrko 2;SD;SD;8;
2002;rd;14800102;Domkyrko 2;SOC.P;SOC.P;1;
2002;rd;14800103;Domkyrko 3;SD;SD;4;
2002;rd;14800103;Domkyrko 3;SPI;SPI;1;
2002;rd;14800103;Domkyrko 3;ÖVR;ÖVR;2;
2002;rd;14800104;Domkyrko 4;SD;SD;11;
2002;rd;14800104;Domkyrko 4;SPI;SPI;4;
2002;rd;14800104;Domkyrko 4;ÖVR;ÖVR;4;
2002;rd;14800105;Domkyrko 5;NYF;NYF;2;
2002;rd;14800105;Domkyrko 5;SD;SD;14;
2002;rd;14800105;Domkyrko 5;SOC.P;SOC.P;2;
2002;rd;14800105;Domkyrko 5;SPI;SPI;4;
2002;rd;14800106;Domkyrko 6;KOMM;KOMM;1;
2002;rd;14800106;Domkyrko 6;SD;SD;7;
2002;rd;14800106;Domkyrko 6;SPI;SPI;1;
2002;rd;14800106;Domkyrko 6;ÖVR;ÖVR;1;
2002;rd;14800107;Domkyrko 7;SD;SD;9;
2002;rd;14800107;Domkyrko 7;SOC.P;SOC.P;1;
2002;rd;14800107;Domkyrko 7;SPI;SPI;3;
2002;rd;14800108;Domkyrko 8;SD;SD;9;
2002;rd;14800108;Domkyrko 8;SPI;SPI;5;
2002;rd;14800108;Domkyrko 8;ÖVR;ÖVR;4;
2002;rd;14800401;Nylöse 1;KOMM;KOMM;1;
2002;rd;14800401;Nylöse 1;NYF;NYF;1;
2002;rd;14800401;Nylöse 1;SD;SD;19;
2002;rd;14800401;Nylöse 1;SOC.P;SOC.P;2;
2002;rd;14800401;Nylöse 1;SPI;SPI;1;
2002;rd;14800401;Nylöse 1;ÖVR;ÖVR;3;
2002;rd;14800402;Nylöse 2;NBP;NBP;1;
2002;rd;14800402;Nylöse 2;NYF;NYF;1;
2002;rd;14800402;Nylöse 2;SD;SD;11;
2002;rd;14800402;Nylöse 2;SOC.P;SOC.P;1;
2002;rd;14800402;Nylöse 2;ÖVR;ÖVR;3;
2002;rd;14800403;Nylöse 3;KOMM;KOMM;1;
2002;rd;14800403;Nylöse 3;NYF;NYF;1;
2002;rd;14800403;Nylöse 3;SD;SD;9;
2002;rd;14800403;Nylöse 3;SPI;SPI;5;
2002;rd;14800403;Nylöse 3;ÖVR;ÖVR;2;
2002;rd;14800404;Nylöse 4;KOMM;KOMM;1;
2002;rd;14800404;Nylöse 4;NYF;NYF;4;
2002;rd;14800404;Nylöse 4;SD;SD;16;
2002;rd;14800404;Nylöse 4;SPI;SPI;2;
2002;rd;14800405;Nylöse 5;KOMM;KOMM;3;
2002;rd;14800405;Nylöse 5;NYF;NYF;1;
2002;rd;14800405;Nylöse 5;SD;SD;13;
2002;rd;14800405;Nylöse 5;SPI;SPI;2;
2002;rd;14800405;Nylöse 5;ÖVR;ÖVR;3;
2002;rd;14800406;Nylöse 6;SD;SD;10;
2002;rd;14800406;Nylöse 6;SPI;SPI;1;
2002;rd;14800406;Nylöse 6;ÖVR;ÖVR;1;
2002;rd;14800407;Nylöse 7;KOMM;KOMM;1;
2002;rd;14800407;Nylöse 7;SD;SD;15;
2002;rd;14800407;Nylöse 7;SPI;SPI;4;
2002;rd;14800407;Nylöse 7;ÖVR;ÖVR;2;
2002;rd;14800501;Kortedala 1;NBP;NBP;2;
2002;rd;14800501;Kortedala 1;SD;SD;25;
2002;rd;14800501;Kortedala 1;SOC.P;SOC.P;1;
2002;rd;14800501;Kortedala 1;SPI;SPI;2;
2002;rd;14800501;Kortedala 1;ÖVR;ÖVR;5;
2002;rd;14800502;Kortedala 2;SD;SD;31;
2002;rd;14800502;Kortedala 2;SPI;SPI;1;
2002;rd;14800502;Kortedala 2;ÖVR;ÖVR;1;
2002;rd;14800503;Kortedala 3;KOMM;KOMM;2;
2002;rd;14800503;Kortedala 3;SD;SD;24;
2002;rd;14800503;Kortedala 3;SOC.P;SOC.P;2;
2002;rd;14800503;Kortedala 3;SPI;SPI;6;
2002;rd;14800503;Kortedala 3;ÖVR;ÖVR;3;
2002;rd;14800504;Kortedala 4;KOMM;KOMM;1;
2002;rd;14800504;Kortedala 4;SD;SD;12;
2002;rd;14800504;Kortedala 4;SOC.P;SOC.P;1;
2002;rd;14800504;Kortedala 4;SPI;SPI;13;
2002;rd;14800505;Kortedala 5;KOMM;KOMM;1;
2002;rd;14800505;Kortedala 5;KommF;KOMMF;3;
2002;rd;14800505;Kortedala 5;SD;SD;12;
2002;rd;14800505;Kortedala 5;SOC.P;SOC.P;3;
2002;rd;14800505;Kortedala 5;SPI;SPI;1;
2002;rd;14800505;Kortedala 5;ÖVR;ÖVR;4;
2002;rd;14800506;Kortedala 6;NYF;NYF;1;
2002;rd;14800506;Kortedala 6;SD;SD;23;
2002;rd;14800506;Kortedala 6;SOC.P;SOC.P;1;
