ar;val;kod;namn;parti_kalla;parti;roster;andel
2002;rf;14800101;Domkyrko 1;KPML;KPML;13;
2002;rf;14800101;Domkyrko 1;ÖVR;ÖVR;2;
2002;rf;14800102;Domkyrko 2;KPML;KPML;6;
2002;rf;14800102;Domkyrko 2;ÖVR;ÖVR;1;
2002;rf;14800103;Domkyrko 3;KPML;KPML;5;
2002;rf;14800103;Domkyrko 3;PPG;PPG;1;
2002;rf;14800103;Domkyrko 3;ÖVR;ÖVR;1;
2002;rf;14800104;Domkyrko 4;KPML;KPML;1;
2002;rf;14800104;Domkyrko 4;ND;ND;3;
2002;rf;14800104;Domkyrko 4;PPG;PPG;3;
2002;rf;14800105;Domkyrko 5;0332;0332;1;
2002;rf;14800105;Domkyrko 5;KPML;KPML;4;
2002;rf;14800105;Domkyrko 5;PPG;PPG;1;
2002;rf;14800105;Domkyrko 5;ÖVR;ÖVR;1;
2002;rf;14800106;Domkyrko 6;0332;0332;1;
2002;rf;14800106;Domkyrko 6;KPML;KPML;8;
2002;rf;14800106;Domkyrko 6;ND;ND;2;
2002;rf;14800106;Domkyrko 6;PPG;PPG;1;
2002;rf;14800107;Domkyrko 7;KPML;KPML;6;
2002;rf;14800107;Domkyrko 7;PPG;PPG;2;
2002;rf;14800108;Domkyrko 8;0332;0332;2;
2002;rf;14800108;Domkyrko 8;KPML;KPML;1;
2002;rf;14800108;Domkyrko 8;ND;ND;2;
2002;rf;14800108;Domkyrko 8;ÖVR;ÖVR;3;
2002;rf;14800401;Nylöse 1;KPML;KPML;17;
2002;rf;14800401;Nylöse 1;ND;ND;2;
2002;rf;14800401;Nylöse 1;PPG;PPG;1;
2002;rf;14800401;Nylöse 1;ÖVR;ÖVR;4;
2002;rf;14800402;Nylöse 2;KPML;KPML;28;
2002;rf;14800402;Nylöse 2;ND;ND;2;
2002;rf;14800402;Nylöse 2;ÖVR;ÖVR;1;
2002;rf;14800403;Nylöse 3;KPML;KPML;2;
2002;rf;14800403;Nylöse 3;ND;ND;1;
2002;rf;14800403;Nylöse 3;PPG;PPG;1;
2002;rf;14800403;Nylöse 3;ÖVR;ÖVR;1;
2002;rf;14800404;Nylöse 4;KPML;KPML;16;
2002;rf;14800404;Nylöse 4;PPG;PPG;1;
2002;rf;14800405;Nylöse 5;KPML;KPML;14;
2002;rf;14800405;Nylöse 5;ND;ND;2;
2002;rf;14800406;Nylöse 6;0332;0332;1;
2002;rf;14800406;Nylöse 6;KPML;KPML;5;
2002;rf;14800406;Nylöse 6;PPG;PPG;2;
2002;rf;14800407;Nylöse 7;KPML;KPML;1;
2002;rf;14800407;Nylöse 7;PPG;PPG;4;
2002;rf;14800407;Nylöse 7;ÖVR;ÖVR;2;
2002;rf;14800501;Kortedala 1;KPML;KPML;24;
2002;rf;14800501;Kortedala 1;ND;ND;3;
2002;rf;14800501;Kortedala 1;PPG;PPG;1;
2002;rf;14800501;Kortedala 1;ÖVR;ÖVR;1;
2002;rf;14800502;Kortedala 2;KPML;KPML;12;
2002;rf;14800502;Kortedala 2;ND;ND;2;
2002;rf;14800503;Kortedala 3;KPML;KPML;13;
2002;rf;14800503;Kortedala 3;ND;ND;1;
2002;rf;14800503;Kortedala 3;ÖVR;ÖVR;2;
2002;rf;14800504;Kortedala 4;KPML;KPML;14;
2002;rf;14800504;Kortedala 4;ND;ND;1;
2002;rf;14800504;Kortedala 4;PPG;PPG;5;
2002;rf;14800504;Kortedala 4;ÖVR;ÖVR;2;
2002;rf;14800505;Kortedala 5;KommF;KOMMF;3;
2002;rf;14800505;Kortedala 5;KPML;KPML;14;
2002;rf;14800505;Kortedala 5;ND;ND;1;
2002;rf;14800505;Kortedala 5;ÖVR;ÖVR;2;
2002;rf;14800506;Kortedala 6;KPML;KPML;15;
2002;rf;14800506;Kortedala 6;ND;ND;3;
2002;rf;14800507;Kortedala 7;KPML;KPML;29;
2002;rf;14800507;Kortedala 7;ND;ND;3;
2002;rf;14800507;Kortedala 7;ÖVR;ÖVR;1;
2002;rf;14800508;Kortedala 8;KPML;KPML;18;
2002;rf;14800508;Kortedala 8;PPG;PPG;1;
2002;rf;14800509;Kortedala 9;KPML;KPML;15;
2002;rf;14800509;Kortedala 9;ND;ND;1;
2002;rf;14800509;Kortedala 9;ÖVR;ÖVR;2;
2002;rf;14800601;Härlanda 1;KPML;KPML;9;
2002;rf;14800601;Härlanda 1;PPG;PPG;3;
2002;rf;14800602;Härlanda 2;KPML;KPML;19;
2002;rf;14800602;Härlanda 2;ND;ND;2;
2002;rf;14800602;Härlanda 2;PPG;PPG;4;
2002;rf;14800603;Härlanda 3;KPML;KPML;8;
2002;rf;14800603;Härlanda 3;PPG;PPG;2;
2002;rf;14800604;Härlanda 4;KPML;KPML;4;
2002;rf;14800604;Härlanda 4;PPG;PPG;3;
2002;rf;14800604;Härlanda 4;ÖVR;ÖVR;1;
2002;rf;14800605;Härlanda 5;0332;0332;1;
2002;rf;14800605;Härlanda 5;KPML;KPML;10;
2002;rf;14800605;Härlanda 5;ND;ND;3;
2002;rf;14800605;Härlanda 5;PPG;PPG;2;
2002;rf;14800605;Härlanda 5;ÖVR;ÖVR;1;
2002;rf;14800606;Härlanda 6;KPML;KPML;5;
2002;rf;14800606;Härlanda 6;ND;ND;1;
2002;rf;14800606;Härlanda 6;PPG;PPG;4;
2002;rf;14800607;Härlanda 7;KPML;KPML;2;
2002;rf;14800607;Härlanda 7;ND;ND;1;
2002;rf;14800607;Härlanda 7;PPG;PPG;5;
2002;rf;14800607;Härlanda 7;ÖVR;ÖVR;1;
2002;rf;14800608;Härlanda 8;KPML;KPML;17;
2002;rf;14800608;Härlanda 8;ND;ND;1;
2002;rf;14800608;Härlanda 8;PPG;PPG;1;
2002;rf;14800608;Härlanda 8;ÖVR;ÖVR;1;
2002;rf;14800609;Härlanda 9;KPML;KPML;10;
2002;rf;14800609;Härlanda 9;ND;ND;1;
2002;rf;14800609;Härlanda 9;PPG;PPG;3;
2002;rf;14800609;Härlanda 9;ÖVR;ÖVR;1;
2002;rf;14800610;Härlanda 10;KPML;KPML;8;
2002;rf;14800610;Härlanda 10;PPG;PPG;5;
2002;rf;14800610;Härlanda 10;ÖVR;ÖVR;3;
2002;rf;14800611;Härlanda 11;KPML;KPML;7;
2002;rf;14800611;Härlanda 11;ND;ND;1;
2002;rf;14800701;Vasa 1;KPML;KPML;1;
2002;rf;14800701;Vasa 1;ÖVR;ÖVR;3;
2002;rf;14800702;Vasa 2;KPML;KPML;3;
2002;rf;14800702;Vasa 2;ND;ND;1;
2002;rf;14800703;Vasa 3;KPML;KPML;2;
2002;rf;14800703;Vasa 3;ND;ND;1;
2002;rf;14800703;Vasa 3;PPG;PPG;1;
2002;rf;14800704;Vasa 4;PPG;PPG;2;
2002;rf;14800705;Vasa 5;KPML;KPML;2;
2002;rf;14800706;Vasa 6;0332;0332;1;
2002;rf;14800706;Vasa 6;KPML;KPML;8;
2002;rf;14800706;Vasa 6;ÖVR;ÖVR;1;
2002;rf;14800707;Vasa 7;KPML;KPML;5;
2002;rf;14800708;Vasa 8;KPML;KPML;4;
2002;rf;14800708;Vasa 8;PPG;PPG;1;
2002;rf;14800708;Vasa 8;ÖVR;ÖVR;1;
2002;rf;14800709;Vasa 9;KPML;KPML;7;
2002;rf;14800710;Vasa 10;ND;ND;2;
2002;rf;14800801;Johanneberg 1;KPML;KPML;2;
2002;rf;14800801;Johanneberg 1;ND;ND;2;
2002;rf;14800801;Johanneberg 1;ÖVR;ÖVR;2;
2002;rf;14800802;Johanneberg 2;KPML;KPML;1;
2002;rf;14800802;Johanneberg 2;ND;ND;2;
2002;rf;14800802;Johanneberg 2;PPG;PPG;1;
2002;rf;14800802;Johanneberg 2;ÖVR;ÖVR;1;
2002;rf;14800803;Johanneberg 3;ND;ND;1;
2002;rf;14800803;Johanneberg 3;PPG;PPG;2;
2002;rf;14800803;Johanneberg 3;ÖVR;ÖVR;1;
2002;rf;14800804;Johanneberg 4;KPML;KPML;4;
2002;rf;14800804;Johanneberg 4;ND;ND;1;
2002;rf;14800805;Johanneberg 5;KPML;KPML;2;
2002;rf;14800805;Johanneberg 5;ND;ND;1;
