ar;val;kod;namn;parti_kalla;parti;roster;andel
2006;kf;14800101;Backa-Brunnsbo 1;M;M;252;24.25
2006;kf;14800101;Backa-Brunnsbo 1;C;C;30;2.89
2006;kf;14800101;Backa-Brunnsbo 1;FP;L;93;8.95
2006;kf;14800101;Backa-Brunnsbo 1;KD;KD;61;5.87
2006;kf;14800101;Backa-Brunnsbo 1;S;S;416;40.04
2006;kf;14800101;Backa-Brunnsbo 1;V;V;53;5.10
2006;kf;14800101;Backa-Brunnsbo 1;MP;MP;47;4.52
2006;kf;14800101;Backa-Brunnsbo 1;K;K;21;2.02
2006;kf;14800101;Backa-Brunnsbo 1;SD;SD;41;3.95
2006;kf;14800101;Backa-Brunnsbo 1;SPI;SPI;8;0.77
2006;kf;14800101;Backa-Brunnsbo 1;Fi;FI;12;1.15
2006;kf;14800101;Backa-Brunnsbo 1;ND;ND;3;0.29
2006;kf;14800101;Backa-Brunnsbo 1;RS;RS;1;0.10
2006;kf;14800101;Backa-Brunnsbo 1;SOC.P;SOC.P;1;0.10
2006;kf;14800102;Backa-Brunnsbo 2;M;M;140;13.11
2006;kf;14800102;Backa-Brunnsbo 2;C;C;23;2.15
2006;kf;14800102;Backa-Brunnsbo 2;FP;L;75;7.02
2006;kf;14800102;Backa-Brunnsbo 2;KD;KD;42;3.93
2006;kf;14800102;Backa-Brunnsbo 2;S;S;543;50.84
2006;kf;14800102;Backa-Brunnsbo 2;V;V;110;10.30
2006;kf;14800102;Backa-Brunnsbo 2;MP;MP;58;5.43
2006;kf;14800102;Backa-Brunnsbo 2;K;K;13;1.22
2006;kf;14800102;Backa-Brunnsbo 2;SD;SD;48;4.49
2006;kf;14800102;Backa-Brunnsbo 2;SPI;SPI;3;0.28
2006;kf;14800102;Backa-Brunnsbo 2;Fi;FI;9;0.84
2006;kf;14800102;Backa-Brunnsbo 2;ND;ND;1;0.09
2006;kf;14800102;Backa-Brunnsbo 2;SOC.P;SOC.P;2;0.19
2006;kf;14800102;Backa-Brunnsbo 2;ÖVR;ÖVR;1;0.09
2006;kf;14800103;Backa-Brunnsbo 3;M;M;206;15.81
2006;kf;14800103;Backa-Brunnsbo 3;C;C;30;2.30
2006;kf;14800103;Backa-Brunnsbo 3;FP;L;116;8.90
2006;kf;14800103;Backa-Brunnsbo 3;KD;KD;67;5.14
2006;kf;14800103;Backa-Brunnsbo 3;S;S;606;46.51
2006;kf;14800103;Backa-Brunnsbo 3;V;V;113;8.67
2006;kf;14800103;Backa-Brunnsbo 3;MP;MP;79;6.06
2006;kf;14800103;Backa-Brunnsbo 3;K;K;15;1.15
2006;kf;14800103;Backa-Brunnsbo 3;SD;SD;41;3.15
2006;kf;14800103;Backa-Brunnsbo 3;SPI;SPI;6;0.46
2006;kf;14800103;Backa-Brunnsbo 3;Fi;FI;18;1.38
2006;kf;14800103;Backa-Brunnsbo 3;ND;ND;2;0.15
2006;kf;14800103;Backa-Brunnsbo 3;SOC.P;SOC.P;2;0.15
2006;kf;14800103;Backa-Brunnsbo 3;ÖVR;ÖVR;2;0.15
2006;kf;14800104;Backa-Brunnsbo 4;M;M;110;11.38
2006;kf;14800104;Backa-Brunnsbo 4;C;C;21;2.17
2006;kf;14800104;Backa-Brunnsbo 4;FP;L;48;4.96
2006;kf;14800104;Backa-Brunnsbo 4;KD;KD;35;3.62
2006;kf;14800104;Backa-Brunnsbo 4;S;S;501;51.81
2006;kf;14800104;Backa-Brunnsbo 4;V;V;92;9.51
2006;kf;14800104;Backa-Brunnsbo 4;MP;MP;81;8.38
2006;kf;14800104;Backa-Brunnsbo 4;K;K;12;1.24
2006;kf;14800104;Backa-Brunnsbo 4;SD;SD;45;4.65
2006;kf;14800104;Backa-Brunnsbo 4;SPI;SPI;2;0.21
2006;kf;14800104;Backa-Brunnsbo 4;Fi;FI;9;0.93
2006;kf;14800104;Backa-Brunnsbo 4;RS;RS;1;0.10
2006;kf;14800104;Backa-Brunnsbo 4;SOC.P;SOC.P;10;1.03
2006;kf;14800105;Backa-Brunnsbo 5;M;M;130;12.10
2006;kf;14800105;Backa-Brunnsbo 5;C;C;17;1.58
2006;kf;14800105;Backa-Brunnsbo 5;FP;L;61;5.68
