ar;val;kod;namn;parti_kalla;parti;roster;andel
2006;rd;14800101;Backa-Brunnsbo 1;M;M;253;24.80
2006;rd;14800101;Backa-Brunnsbo 1;C;C;44;4.31
2006;rd;14800101;Backa-Brunnsbo 1;FP;L;86;8.43
2006;rd;14800101;Backa-Brunnsbo 1;KD;KD;84;8.24
2006;rd;14800101;Backa-Brunnsbo 1;S;S;362;35.49
2006;rd;14800101;Backa-Brunnsbo 1;V;V;72;7.06
2006;rd;14800101;Backa-Brunnsbo 1;MP;MP;47;4.61
2006;rd;14800101;Backa-Brunnsbo 1;0524;0524;10;0.98
2006;rd;14800101;Backa-Brunnsbo 1;AKTD;AKTD;1;0.10
2006;rd;14800101;Backa-Brunnsbo 1;ENH;ENH;2;0.20
2006;rd;14800101;Backa-Brunnsbo 1;Fi;FI;13;1.27
2006;rd;14800101;Backa-Brunnsbo 1;JL;JL;2;0.20
2006;rd;14800101;Backa-Brunnsbo 1;ND;ND;3;0.29
2006;rd;14800101;Backa-Brunnsbo 1;NYF;NYF;1;0.10
2006;rd;14800101;Backa-Brunnsbo 1;SD;SD;37;3.63
2006;rd;14800101;Backa-Brunnsbo 1;Sjvåp;SJVÅP;1;0.10
2006;rd;14800101;Backa-Brunnsbo 1;SPI;SPI;2;0.20
2006;rd;14800102;Backa-Brunnsbo 2;M;M;158;14.68
2006;rd;14800102;Backa-Brunnsbo 2;C;C;33;3.07
2006;rd;14800102;Backa-Brunnsbo 2;FP;L;78;7.25
2006;rd;14800102;Backa-Brunnsbo 2;KD;KD;43;4.00
2006;rd;14800102;Backa-Brunnsbo 2;S;S;512;47.58
2006;rd;14800102;Backa-Brunnsbo 2;V;V;130;12.08
2006;rd;14800102;Backa-Brunnsbo 2;MP;MP;53;4.93
2006;rd;14800102;Backa-Brunnsbo 2;0524;0524;13;1.21
2006;rd;14800102;Backa-Brunnsbo 2;0603;0603;1;0.09
2006;rd;14800102;Backa-Brunnsbo 2;AKTD;AKTD;1;0.09
2006;rd;14800102;Backa-Brunnsbo 2;ENH;ENH;1;0.09
2006;rd;14800102;Backa-Brunnsbo 2;Fi;FI;4;0.37
2006;rd;14800102;Backa-Brunnsbo 2;JL;JL;1;0.09
2006;rd;14800102;Backa-Brunnsbo 2;ND;ND;1;0.09
2006;rd;14800102;Backa-Brunnsbo 2;SD;SD;37;3.44
2006;rd;14800102;Backa-Brunnsbo 2;Sjvåp;SJVÅP;5;0.46
2006;rd;14800102;Backa-Brunnsbo 2;SPI;SPI;4;0.37
2006;rd;14800102;Backa-Brunnsbo 2;ÖVR;ÖVR;1;0.09
2006;rd;14800103;Backa-Brunnsbo 3;M;M;236;18.18
2006;rd;14800103;Backa-Brunnsbo 3;C;C;59;4.55
2006;rd;14800103;Backa-Brunnsbo 3;FP;L;115;8.86
2006;rd;14800103;Backa-Brunnsbo 3;KD;KD;75;5.78
2006;rd;14800103;Backa-Brunnsbo 3;S;S;507;39.06
2006;rd;14800103;Backa-Brunnsbo 3;V;V;132;10.17
2006;rd;14800103;Backa-Brunnsbo 3;MP;MP;88;6.78
2006;rd;14800103;Backa-Brunnsbo 3;0524;0524;12;0.92
