ar;val;kod;namn;parti_kalla;parti;roster;andel
2010;kf;14801313;Askim, Askim;M;M;478;51.68
2010;kf;14801313;Askim, Askim;C;C;19;2.05
2010;kf;14801313;Askim, Askim;FP;L;114;12.32
2010;kf;14801313;Askim, Askim;KD;KD;44;4.76
2010;kf;14801313;Askim, Askim;S;S;130;14.05
2010;kf;14801313;Askim, Askim;V;V;17;1.84
2010;kf;14801313;Askim, Askim;MP;MP;41;4.43
2010;kf;14801313;Askim, Askim;SD;SD;31;3.35
2010;kf;14801313;Askim, Askim;SOC.P;SOC.P;0;0
2010;kf;14801313;Askim, Askim;RS;RS;0;0
2010;kf;14801313;Askim, Askim;K;K;4;0.43
2010;kf;14801313;Askim, Askim;PP;PP;6;0.65
2010;kf;14801313;Askim, Askim;FI;FI;3;0.32
2010;kf;14801313;Askim, Askim;VägV;VÄGV;38;4.11
2010;kf;14801313;Askim, Askim;0450;0450;0;0
2010;kf;14801313;Askim, Askim;0470;0470;0;0
2010;kf;14801313;Askim, Askim;1016;1016;0;0
2010;kf;14801313;Askim, Askim;1027;1027;0;0
2010;kf;14801313;Askim, Askim;ÖVR;ÖVR;0;0
2010;kf;14801331;Askim, Billdal;M;M;833;51.14
2010;kf;14801331;Askim, Billdal;C;C;51;3.13
2010;kf;14801331;Askim, Billdal;FP;L;243;14.92
2010;kf;14801331;Askim, Billdal;KD;KD;92;5.65
2010;kf;14801331;Askim, Billdal;S;S;170;10.44
2010;kf;14801331;Askim, Billdal;V;V;23;1.41
2010;kf;14801331;Askim, Billdal;MP;MP;109;6.69
2010;kf;14801331;Askim, Billdal;SD;SD;33;2.03
2010;kf;14801331;Askim, Billdal;SOC.P;SOC.P;2;0.12
2010;kf;14801331;Askim, Billdal;RS;RS;0;0
2010;kf;14801331;Askim, Billdal;K;K;0;0
2010;kf;14801331;Askim, Billdal;PP;PP;6;0.37
2010;kf;14801331;Askim, Billdal;FI;FI;2;0.12
2010;kf;14801331;Askim, Billdal;VägV;VÄGV;61;3.74
2010;kf;14801331;Askim, Billdal;0450;0450;0;0
2010;kf;14801331;Askim, Billdal;0470;0470;0;0
2010;kf;14801331;Askim, Billdal;1016;1016;1;0.06
2010;kf;14801331;Askim, Billdal;1027;1027;0;0
2010;kf;14801331;Askim, Billdal;ÖVR;ÖVR;3;0.18
2010;kf;14801334;Askim, Brottkärr;M;M;466;63.66
2010;kf;14801334;Askim, Brottkärr;C;C;23;3.14
2010;kf;14801334;Askim, Brottkärr;FP;L;100;13.66
2010;kf;14801334;Askim, Brottkärr;KD;KD;40;5.46
2010;kf;14801334;Askim, Brottkärr;S;S;35;4.78
2010;kf;14801334;Askim, Brottkärr;V;V;2;0.27
2010;kf;14801334;Askim, Brottkärr;MP;MP;10;1.37
2010;kf;14801334;Askim, Brottkärr;SD;SD;17;2.32
2010;kf;14801334;Askim, Brottkärr;SOC.P;SOC.P;1;0.14
2010;kf;14801334;Askim, Brottkärr;RS;RS;0;0
